"POINTID","Coarse","Clay","Sand","Silt","geometry"
31643458,6,9,50,41,c(-7.414790544, 52.9728756)
31661638,26,31,19,50,c(-2.924971476, 36.93484756)
31661668,21,17,30,52,c(-2.975181321, 37.20305489)
31661692,32,20,45,35,c(-3.015750108, 37.41752205)
31662136,25,14,42,44,c(-3.83611702, 41.36985629)
31681666,27,18,43,38,c(-2.949685956, 37.18823702)
31681696,37,27,33,41,c(-3.000333695, 37.45633024)
31682116,17,24,30,46,c(-3.772633726, 41.19571389)
31682146,15,28,31,40,c(-3.832693776, 41.46184757)
31682152,18,25,31,44,c(-3.844790395, 41.51505925)
31701674,57,13,46,41,c(-2.940983056, 37.26279873)
31701692,46,19,36,45,c(-2.971344695, 37.42365746)
31702312,17,17,24,59,c(-4.154032925, 42.93559224)
31721688,41,26,28,45,c(-2.942385968, 37.39097339)
31722110,14,17,26,57,c(-3.713822764, 41.14901511)
31722120,12,18,46,36,c(-3.733654459, 41.23775954)
31722128,10,26,18,56,c(-3.749575502, 41.30874505)
31722134,18,39,20,41,c(-3.761548906, 41.36197834)
31741664,41,19,41,40,c(-2.87994322, 37.17950053)
31741694,15,21,40,39,c(-2.930307474, 37.44764409)
31741740,6,37,11,52,c(-3.008624959, 37.85853441)
31742078,24,4,83,13,c(-3.627533272, 40.86818513)
31742100,40,11,59,30,c(-3.67065514, 41.06351457)
31742108,13,20,28,52,c(-3.686427334, 41.13452671)
31742118,14,9,70,21,c(-3.706211695, 41.22327934)
31742132,10,23,21,55,c(-3.734039543, 41.34750965)
31761666,41,7,56,37,c(-2.861146076, 37.20041865)
31762110,23,22,22,56,c(-3.666931182, 41.15553606)
31762134,12,47,13,40,c(-3.714503632, 41.36852534)
31763412,17,17,18,65,c(-7.079428494, 52.59837821)
31781658,47,8,59,33,c(-2.825703906, 37.13191831)
31782094,19,11,64,25,c(-3.612063983, 41.0167423)
31782102,18,13,46,41,c(-3.627748655, 41.08776972)
31782120,12,15,43,42,c(-3.663218018, 41.2475489)
31782138,24,15,47,38,c(-3.698936941, 41.40728315)
31783422,26,26,20,54,c(-7.085260317, 52.68956921)
31783462,26,10,46,44,c(-7.225577192, 53.03743081)
31801666,36,10,46,44,c(-2.816866141, 37.20647839)
31801728,23,41,22,37,c(-2.921135611, 37.760559)
31801746,24,10,61,29,c(-2.951858286, 37.92131343)
31802332,40,27,13,60,c(-4.076221939, 43.12941592)
31821654,46,8,56,35,c(-2.774849116, 37.10218681)
31822144,6,2,93,5,c(-3.663776226, 41.46704255)
31822148,29,34,21,45,c(-3.671740734, 41.50253401)
31822266,24,37,15,48,c(-3.912418706, 42.54854719)
31822288,29,30,14,56,c(-3.958547662, 42.74335731)
31823598,4,22,21,57,c(-7.664188753, 54.22709486)
31842088,20,14,46,40,c(-3.530182305, 40.97315398)
31842118,23,10,57,34,c(-3.588827998, 41.23953419)
31842150,28,25,36,40,c(-3.652143511, 41.52353616)
31842298,28,27,11,62,c(-3.955572548, 42.83522614)
31862098,21,9,53,38,c(-3.52623559, 41.06518489)
31881692,6,23,39,39,c(-2.77143665, 37.45100952)
31882142,22,31,38,31,c(-3.589117298, 41.45903798)
31882196,34,28,30,41,c(-3.697084896, 41.93809103)
31883456,13,22,42,36,c(-7.058989064, 53.00631838)
31901678,15,4,75,21,c(-2.72596857, 37.32885069)
31901732,34,35,28,37,c(-2.816305147, 37.81149576)
31902120,22,17,46,37,c(-3.522286794, 41.26697817)
31921676,13,10,47,43,c(-2.70047918, 37.31396727)
31921784,21,21,45,34,c(-2.882543742, 38.27890725)
31962130,21,26,25,49,c(-3.471315827, 41.36541327)
31962148,22,35,23,42,c(-3.50665113, 41.52521027)
31962270,7,22,44,34,c(-3.752854779, 42.60712288)
31962306,6,11,45,44,c(-3.827810753, 42.92599421)
31963524,20,10,29,61,c(-7.183474012, 53.61451555)
31981674,44,5,61,34,c(-2.630648089, 37.30504988)
31981678,13,15,46,39,c(-2.637224363, 37.34082587)
31981684,19,12,56,32,c(-2.64710699, 37.39448539)
31981728,34,23,22,55,c(-2.720253365, 37.78782514)
31982268,23,17,28,56,c(-3.724730736, 42.59268618)
31982322,11,9,48,43,c(-3.837296117, 43.07097375)
31983442,24,12,34,54,c(-6.864971921, 52.90532332)
31983550,26,15,23,62,c(-7.248108737, 53.84474529)
32001654,29,14,50,37,c(-2.575787236, 37.12910412)
32001820,14,19,37,44,c(-2.854527252, 38.61238933)
32021736,29,21,28,51,c(-2.688977289, 37.86531962)
32022132,21,16,41,43,c(-3.404599865, 41.39277987)
32022142,40,46,18,36,c(-3.424118143, 41.48157477)
32022208,49,6,77,16,c(-3.554876837, 42.06728212)
32022232,5,21,27,52,c(-3.603275002, 42.2801214)
32022322,24,8,56,36,c(-3.788936126, 43.07758523)
32041688,36,13,55,32,c(-2.587049516, 37.43919572)
32041732,47,24,32,44,c(-2.659937406, 37.83256914)
32042128,31,27,29,44,c(-3.373279238, 41.36044794)
32042138,43,59,9,32,c(-3.392734692, 41.4492536)
32042218,23,33,16,51,c(-3.551156971, 42.1592131)
32042254,23,22,25,54,c(-3.624095218, 42.47841502)
32043538,17,18,23,59,c(-7.115798694, 53.75313115)
32061656,32,13,31,56,c(-2.512644956, 37.1558812)
32061692,21,10,65,25,c(-2.57139304, 37.47794024)
32062142,34,45,16,39,c(-3.376956096, 41.4879638)
32062214,14,57,9,34,c(-3.519297863, 42.12696629)
32062286,10,17,51,33,c(-3.665749136, 42.76527622)
32081660,44,6,55,39,c(-2.496986704, 37.19462711)
32081774,15,9,54,37,c(-2.685702951, 38.21380904)
32082146,38,20,20,60,c(-3.361161588, 41.52667055)
32082228,20,20,39,41,c(-3.523579783, 42.25436893)
32082278,7,10,52,38,c(-3.625231847, 42.69764756)
32101744,11,28,28,44,c(-2.612881903, 37.94877265)
32102068,21,14,42,43,c(-3.188083438, 40.83677007)
32102126,19,34,34,33,c(-3.298799909, 41.35221818)
32102212,16,39,16,45,c(-3.467658042, 42.11566803)
32102216,2,46,11,43,c(-3.475651927, 42.15115324)
32102230,20,30,14,56,c(-3.503730369, 42.27533473)
32102284,18,17,53,30,c(-3.613506817, 42.75407716)
32102294,38,29,18,53,c(-3.63409632, 42.84269092)
32103428,19,12,37,50,c(-6.642926529, 52.80808518)
32121666,46,6,59,35,c(-2.462389451, 37.25420991)
32122062,13,23,28,49,c(-3.153439365, 40.78655492)
32122110,23,26,19,56,c(-3.244522211, 41.21322933)
32122124,23,26,22,52,c(-3.271410083, 41.33761721)
32122142,26,31,26,43,c(-3.306196929, 41.49750562)
32122286,21,26,19,55,c(-3.593549134, 42.7750548)
32141694,28,12,56,32,c(-2.485706338, 37.50766419)
32141730,24,12,56,32,c(-2.544884464, 37.82958554)
32142120,16,19,40,41,c(-3.240193398, 41.30523837)
32142126,32,17,45,38,c(-3.251724403, 41.35854576)
32142130,35,35,26,38,c(-3.259426765, 41.39408132)
32142180,19,15,57,28,c(-3.356731415, 41.83809465)
32142198,10,26,15,59,c(-3.39223178, 41.99785764)
32142202,11,15,44,40,c(-3.400155026, 42.03335467)
32143584,32,20,20,60,c(-7.134259641, 54.17418121)
32161828,48,21,27,53,c(-2.687430224, 38.70797986)
32161854,37,23,44,33,c(-2.732203523, 38.940006)
32162098,56,21,22,57,c(-3.174692294, 41.11287719)
32162128,20,35,17,47,c(-3.232026686, 41.37947032)
32162134,21,17,31,52,c(-3.243574353, 41.43277441)
32162182,5,25,20,55,c(-3.336939651, 41.8590335)
32162236,34,33,16,51,c(-3.444107125, 42.33820831)
32181636,41,13,34,53,c(-2.347826139, 36.99444741)
32181684,27,34,23,43,c(-2.424966215, 37.42408636)
32181698,7,46,25,29,c(-2.447724015, 37.54933362)
32181716,23,12,60,29,c(-2.477157882, 37.71032356)
32181726,28,20,43,37,c(-2.493595112, 37.79974194)
32181730,37,17,52,31,c(-2.500187109, 37.8355052)
32181744,40,18,36,47,c(-2.523336422, 37.96065828)
32181780,9,22,31,47,c(-2.583420434, 38.28234997)
32182122,18,22,38,41,c(-3.196975953, 41.3293092)
32182184,19,7,68,25,c(-3.317135595, 41.87996836)
32182206,20,14,62,24,c(-3.360481833, 42.07524045)
32182238,15,24,23,53,c(-3.424207655, 42.35915822)
32201704,16,17,55,28,c(-2.435234984, 37.60594256)
32201710,27,31,25,43,c(-2.445029542, 37.65960854)
32201740,26,18,47,36,c(-2.494330721, 37.92785964)
32201782,4,24,24,51,c(-2.564283638, 38.30319182)
32202078,13,46,10,43,c(-3.090059384, 40.94132523)
32202096,8,8,52,39,c(-3.123998624, 41.10136294)
32202118,20,23,29,48,c(-3.165804128, 41.29690528)
32202208,7,23,32,44,c(-3.340626633, 42.09617736)
32202240,21,22,27,51,c(-3.404295631, 42.38010414)
32203504,25,19,31,50,c(-6.758969918, 53.49064806)
32221702,3,41,10,49,c(-2.409700367, 37.59098696)
32222102,35,11,57,32,c(-3.1118947, 41.15782541)
32222200,40,16,45,39,c(-3.301044929, 42.02835268)
32222206,6,15,49,36,c(-3.312864028, 42.08160882)
32222210,4,20,31,49,c(-3.32075901, 42.11711028)
32222242,15,21,29,50,c(-3.384371036, 42.40104608)
32222326,13,6,59,35,c(-3.555261288, 43.14573996)
32241736,67,19,27,54,c(-2.442984325, 37.89799401)
32241758,6,20,34,46,c(-2.479311002, 38.09466099)
32241812,38,21,25,53,c(-2.569751626, 38.57709369)
32241830,30,44,19,37,c(-2.600307456, 38.73781199)
32242118,20,6,77,16,c(-3.118759253, 41.30316895)
32242124,41,20,39,42,c(-3.130184375, 41.35649367)
32242132,36,27,31,42,c(-3.145459598, 41.42758579)
32242172,1,29,36,35,c(-3.222557937, 41.78291854)
32242222,10,15,55,29,c(-3.320653329, 42.22678641)
32243528,10,12,36,52,c(-6.784322729, 53.70788307)
32261702,10,25,40,35,c(-2.365146253, 37.59683977)
32261768,8,16,49,35,c(-2.473458138, 38.18698533)
32261814,57,15,47,38,c(-2.550540734, 38.59792798)
32262002,13,21,33,45,c(-2.87986946, 40.27433552)
32262092,12,9,47,44,c(-3.046116213, 41.07514951)
32262102,28,10,39,50,c(-3.064948675, 41.16406137)
32262116,40,20,35,46,c(-3.091437711, 41.28851545)
32262242,11,16,31,52,c(-3.336502693, 42.40743108)
32281694,37,17,43,40,c(-2.329939702, 37.52817901)
32281722,11,24,28,49,c(-2.375352538, 37.77866591)
32281852,41,49,16,35,c(-2.592520619, 38.94016193)
32282068,12,29,20,51,c(-2.977848365, 40.86479848)
32282078,27,34,28,39,c(-2.996474178, 40.9537477)
32282108,21,18,30,52,c(-3.05278801, 41.22051482)
32282118,30,28,18,54,c(-3.071706029, 41.30941042)
32282136,24,30,29,40,c(-3.105945253, 41.46938891)
32282154,3,11,70,19,c(-3.140426593, 41.62932431)
32282230,21,38,28,34,c(-3.288737453, 42.30413531)
32283536,28,15,27,57,c(-6.753365766, 53.78580289)
32283558,24,16,25,59,c(-6.831529754, 53.97733025)
32283648,5,9,37,54,c(-7.160489135, 54.76013496)
32301768,11,15,56,29,c(-2.428525652, 38.19287627)
32301818,34,41,13,46,c(-2.512086572, 38.63958449)
32301854,30,44,23,33,c(-2.573229111, 38.9609947)
32302088,38,4,76,20,c(-2.991739169, 41.04578042)
32302092,20,10,51,39,c(-2.999226068, 41.08135302)
32302116,3,5,83,13,c(-3.044393243, 41.29474374)
32302124,28,25,11,64,c(-3.059543195, 41.3658569)
32321694,46,18,38,44,c(-2.285420293, 37.53399346)
32321698,34,22,30,49,c(-2.291856792, 37.56978781)
32321760,12,8,61,31,c(-2.392854313, 38.12430374)
32321850,53,27,33,40,c(-2.543688464, 38.92826666)
32322036,29,26,36,38,c(-2.872189194, 40.58620596)
32322112,36,22,23,54,c(-3.013323563, 41.26228771)
32323602,63,10,43,46,c(-6.930437735, 54.36855426)
32341720,2,35,22,43,c(-2.305093885, 37.76952603)
32341732,68,13,47,40,c(-2.32458574, 37.87686216)
32341746,17,13,55,32,c(-2.34743645, 38.00206139)
32341750,4,37,18,45,c(-2.353987132, 38.03782741)
32341804,37,13,44,43,c(-2.443385618, 38.52044465)
32341828,18,45,20,35,c(-2.483702477, 38.73480809)
32341846,53,29,22,50,c(-2.514179819, 38.89552731)
32341882,50,23,52,26,c(-2.575758935, 39.21682932)
32342056,42,34,18,48,c(-2.885591747, 40.76726705)
32342062,24,28,22,50,c(-2.896649767, 40.82065701)
32342070,15,24,26,50,c(-2.911433864, 40.8918361)
32342110,38,15,44,41,c(-2.986047764, 41.24760316)
32342124,26,30,27,43,c(-3.012438645, 41.37207127)
32342188,11,15,44,41,c(-3.134943613, 41.94073831)
32342232,8,16,44,40,c(-3.220976137, 42.33138502)
32361694,6,9,64,27,c(-2.240894408, 37.53978704)
32361698,43,15,43,42,c(-2.247308657, 37.5755849)
32361730,20,20,49,31,c(-2.298966599, 37.86188429)
32362072,17,33,20,48,c(-2.891748711, 40.91270175)
32362122,51,7,54,39,c(-2.985110766, 41.35738952)
32362184,18,15,53,32,c(-3.103444273, 41.90834268)
32381692,12,18,31,51,c(-2.215431041, 37.52477533)
32381700,57,17,56,27,c(-2.22823728, 37.59637455)
32381710,23,31,19,50,c(-2.244298561, 37.68586052)
32381728,11,42,21,37,c(-2.273359487, 37.84689882)
32381776,20,19,37,44,c(-2.35181388, 38.27610661)
32382078,14,28,32,40,c(-2.879446981, 40.96915162)
32382106,27,20,38,42,c(-2.931537487, 41.21820964)
32382186,15,6,69,26,c(-3.083548799, 41.92923266)
32382190,5,13,58,28,c(-3.091275555, 41.96476175)
32401696,38,33,33,34,c(-2.199556877, 37.56346072)
32401702,51,11,61,28,c(-2.209155515, 37.61716014)
32401714,24,24,46,30,c(-2.228416966, 37.72454335)
32401720,25,52,18,30,c(-2.238079904, 37.77822715)
32401724,9,43,19,38,c(-2.244533836, 37.81401347)
32401732,43,10,70,20,c(-2.25747052, 37.8855792)
32401786,6,17,48,34,c(-2.345809159, 38.36840804)
32401822,16,27,37,36,c(-2.405700803, 38.69006364)
32401828,19,32,20,48,c(-2.415761699, 38.74365513)
32402110,15,19,47,34,c(-2.915511267, 41.25686138)
32402116,22,37,14,50,c(-2.926745817, 41.3102173)
32402120,23,25,12,62,c(-2.934250157, 41.34578527)
32402188,7,15,52,33,c(-3.063640941, 41.95011862)
32402210,28,27,23,50,c(-3.106249864, 42.14550871)
32403658,4,10,39,51,c(-7.015799432, 54.8724193)
32421728,26,30,31,39,c(-2.228633609, 37.85269091)
32421826,22,19,53,28,c(-2.389760972, 38.72872932)
32421848,35,36,19,45,c(-2.426753665, 38.92520448)
32422100,42,26,9,65,c(-2.873361344, 41.17099411)
32422106,38,13,43,44,c(-2.88453281, 41.22436104)
32422114,38,19,34,46,c(-2.899468839, 41.29550954)
32422124,38,30,35,35,c(-2.918204629, 41.38443329)
32422142,13,4,83,12,c(-2.952114337, 41.54446282)
32422186,4,10,50,41,c(-3.036020515, 41.93546723)
32422190,8,11,55,34,c(-3.043720684, 41.97100055)
32422226,46,18,38,43,c(-3.113572923, 42.29070684)
32422232,31,7,69,25,c(-3.125312137, 42.34397489)
32441714,17,15,39,46,c(-2.183766479, 37.73031265)
32441724,46,18,43,39,c(-2.199827196, 37.81979155)
32441738,20,17,52,31,c(-2.222412738, 37.94503788)
32441760,19,12,56,33,c(-2.258143073, 38.14179686)
32441768,11,15,27,58,c(-2.271208798, 38.21332846)
32441828,29,25,18,57,c(-2.370459155, 38.74952655)
32442092,13,11,44,45,c(-2.835046292, 41.10289105)
32442102,13,29,22,48,c(-2.853589754, 41.19184896)
32442110,21,16,53,31,c(-2.868476673, 41.26300578)
32442164,2,17,31,52,c(-2.970191373, 41.743094)
32461694,50,20,39,41,c(-2.129551503, 37.55417967)
32461700,18,17,46,37,c(-2.139092876, 37.60788866)
32461726,23,40,22,38,c(-2.180685109, 37.84056766)
32461748,20,20,44,36,c(-2.21619389, 38.03737411)
32461762,36,19,45,36,c(-2.238942426, 38.16257858)
32461852,36,32,29,39,c(-2.388065901, 38.96680278)
32462108,29,40,20,39,c(-2.841236682, 41.24828022)
32462114,18,27,17,56,c(-2.852404278, 41.30164693)
32462150,14,4,84,12,c(-2.919963126, 41.62174786)
32462154,5,9,65,26,c(-2.927528691, 41.65730415)
32462168,34,4,82,14,c(-2.954102025, 41.78173471)
32462176,22,10,67,24,c(-2.969352644, 41.85282641)
32462180,8,6,70,23,c(-2.976995997, 41.88836914)
32481692,33,43,18,38,c(-2.104107931, 37.53913751)
32481738,24,33,33,34,c(-2.177620575, 37.95080729)
32481746,37,14,44,43,c(-2.190534219, 38.02237108)
32481818,34,16,23,61,c(-2.308510677, 38.66603648)
32481828,63,15,57,28,c(-2.325149682, 38.75537669)
32481836,40,22,39,39,c(-2.338506049, 38.82683878)
32482146,3,17,49,34,c(-2.888769839, 41.58926627)
32482160,13,12,66,22,c(-2.915213765, 41.71371871)
32482232,53,11,41,47,c(-3.05354098, 42.35335789)
32501694,43,13,56,31,c(-2.085003118, 37.55990018)
32501698,33,26,32,43,c(-2.091339374, 37.59571021)
32501706,43,11,66,24,c(-2.104040107, 37.66732337)
32501968,15,56,8,35,c(-2.541753603, 40.00766806)
32502072,11,31,16,52,c(-2.727974094, 40.9340528)
32502156,8,20,50,30,c(-2.883968991, 41.68123985)
32521696,38,13,58,30,c(-2.065887909, 37.58065877)
32521732,29,13,48,39,c(-2.123195765, 37.90287159)
32521750,35,20,54,26,c(-2.152138702, 38.06390851)
32521764,7,39,24,37,c(-2.174784567, 38.1891276)
32522074,13,26,33,41,c(-2.70821843, 40.95488283)
32522116,27,46,17,37,c(-2.785501002, 41.32860224)
32522178,11,9,75,16,c(-2.901931231, 41.87986149)
32541738,10,34,20,45,c(-2.110420044, 37.95942201)
32541744,42,16,38,46,c(-2.12005066, 38.01310361)
32541752,29,40,13,47,c(-2.132925033, 38.08467112)
32541766,3,17,48,35,c(-2.155547872, 38.20989242)
32542068,12,21,30,49,c(-2.673887268, 40.90449591)
32542122,15,43,17,40,c(-2.773077689, 41.38501958)
32542158,13,25,42,33,c(-2.840377566, 41.70515679)
32542176,25,12,58,30,c(-2.874386159, 41.86516229)
32561746,19,43,18,38,c(-2.100839519, 38.0338609)
32561764,15,29,38,33,c(-2.129831361, 38.19487785)
32561800,33,7,78,14,c(-2.188403721, 38.51677457)
32562028,26,46,17,37,c(-2.578474428, 40.55129967)
32562088,30,23,30,48,c(-2.686921737, 41.08553734)
32562168,9,28,21,51,c(-2.835521069, 41.7971197)
32562172,4,10,69,21,c(-2.843074204, 41.832677)
32562186,7,13,55,32,c(-2.86960417, 41.95711126)
32581742,16,41,15,44,c(-2.072006869, 38.00093067)
32581768,12,17,58,25,c(-2.11380997, 38.23352215)
32581810,77,12,39,49,c(-2.18220288, 38.60904572)
32582066,10,26,28,46,c(-2.623473102, 40.89271393)
32582074,15,37,30,33,c(-2.637974284, 40.96393689)
32582128,31,15,47,37,c(-2.737048376, 41.44447242)
32582174,3,9,72,19,c(-2.823112861, 41.85351816)
32601818,33,23,60,17,c(-2.172716049, 38.68343198)
32601970,8,24,35,41,c(-2.429822281, 40.04033292)
32601974,20,37,18,45,c(-2.436791377, 40.07599846)
32602088,11,38,15,48,c(-2.639996588, 41.09157078)
32602106,16,31,32,37,c(-2.672910999, 41.25176768)
32602244,34,24,41,35,c(-2.933135635, 42.47855092)
32621810,33,37,18,44,c(-2.136974374, 38.61480514)
32621954,9,31,24,45,c(-2.379007535, 39.90059258)
32621966,17,37,19,44,c(-2.399782071, 40.00761423)
32622188,10,10,58,32,c(-2.80203298, 41.98408034)
32641820,51,21,29,50,c(-2.130713691, 38.70706431)
32641826,51,23,46,31,c(-2.140556934, 38.76069011)
32641960,11,33,39,28,c(-2.366317667, 39.95704654)
32642078,15,29,20,51,c(-2.574941421, 41.0085555)
32642126,35,21,33,46,c(-2.662575669, 41.43576413)
32642154,6,13,64,22,c(-2.714461001, 41.68483117)
32661818,19,18,34,48,c(-2.104795753, 38.69205793)
32662124,35,41,25,34,c(-2.635305152, 41.42098511)
32681814,40,26,20,54,c(-2.075630709, 38.65916462)
32682054,16,24,34,42,c(-2.485011425, 40.80079392)
32682102,43,24,29,47,c(-2.571521849, 41.22820037)
32682108,32,33,21,46,c(-2.582449884, 41.28160509)
32682112,33,30,21,48,c(-2.589749488, 41.31720565)
32682144,6,4,85,11,c(-2.648559686, 41.60193566)
32682156,7,28,29,43,c(-2.67080459, 41.7086754)
32701756,24,49,15,36,c(-1.959693989, 38.14325554)
32701818,44,30,23,48,c(-2.059507094, 38.69778196)
32701972,40,20,39,41,c(-2.317785584, 40.07287077)
32702098,17,16,40,44,c(-2.540744935, 41.19558584)
32702124,14,41,19,40,c(-2.588126725, 41.4269991)
32702142,6,6,76,18,c(-2.62121322, 41.58715719)
32702146,1,5,81,14,c(-2.628597567, 41.62274222)
32702214,17,18,23,59,c(-2.755928946, 42.22737478)
32703676,3,24,22,54,c(-6.625119415, 55.09148798)
32721968,12,17,61,21,c(-2.287786311, 40.04011742)
32722058,19,39,27,34,c(-2.445402371, 40.84236004)
32722080,14,40,17,43,c(-2.484773051, 41.03830208)
32722098,23,10,69,20,c(-2.517237178, 41.1985715)
32722104,14,11,49,40,c(-2.528109313, 41.2519853)
32722108,27,45,14,42,c(-2.535371572, 41.28759192)
32722180,3,20,40,40,c(-2.668058977, 41.92815925)
32742034,22,29,20,51,c(-2.379529161, 40.63148176)
32742100,33,31,17,52,c(-2.497342179, 41.21935772)
32742168,10,11,70,19,c(-2.621943524, 41.82445942)
32743594,25,27,21,52,c(-6.270595987, 54.38495954)
32761948,13,28,33,39,c(-2.207418709, 39.86750588)
32761984,22,19,43,37,c(-2.269109985, 40.18866085)
32761990,12,36,25,39,c(-2.279475025, 40.24216995)
32762098,31,43,20,37,c(-2.470215714, 41.20452616)
32762120,6,41,22,37,c(-2.510062209, 41.40037594)
32762138,13,7,74,19,c(-2.54292015, 41.5605704)
32762170,2,15,58,28,c(-2.601911055, 41.84525828)
32781992,33,21,45,34,c(-2.259758254, 40.26292299)
32782060,16,39,19,42,c(-2.378798845, 40.86904323)
32782118,21,56,13,31,c(-2.482846924, 41.38555291)
32782132,5,7,76,17,c(-2.508317254, 41.51016277)
32782150,5,9,73,18,c(-2.541271083, 41.67033863)
32782154,8,23,31,47,c(-2.548625871, 41.70592765)
32782222,28,17,49,35,c(-2.675450367, 42.3106306)
32802056,15,42,16,42,c(-2.34832867, 40.83634873)
32802074,10,11,63,26,c(-2.380260705, 40.99670947)
32802092,21,17,44,39,c(-2.412417237, 41.15702829)
32802128,25,28,23,48,c(-2.477412373, 41.47754085)
32802134,5,14,61,24,c(-2.488334253, 41.53094347)
32802138,30,7,71,22,c(-2.495629806, 41.56654266)
32802152,2,10,70,20,c(-2.521254712, 41.69112376)
32802170,69,9,69,22,c(-2.554409142, 41.85126284)
32821848,40,17,53,31,c(-1.972209577, 38.98303438)
32821946,16,25,19,56,c(-2.134905799, 39.858331)
32822060,14,31,22,46,c(-2.332009998, 40.87492741)
32822086,48,24,19,58,c(-2.378194463, 41.10654533)
32822154,3,12,60,28,c(-2.501225975, 41.7119048)
32842038,23,35,25,40,c(-2.269966361, 40.68179783)
32842088,36,24,23,54,c(-2.35827926, 41.12730591)
32842142,39,10,63,27,c(-2.455612077, 41.60809371)
32842152,3,21,46,32,c(-2.47386397, 41.69708769)
32842164,2,11,72,17,c(-2.495861272, 41.80386374)
32842178,5,12,63,25,c(-2.521656664, 41.92841279)
32861932,11,35,26,40,c(-2.065293037, 39.73910892)
32862036,8,32,14,54,c(-2.243146544, 40.66688751)
32862048,18,32,29,39,c(-2.264131039, 40.77384783)
32862126,22,28,42,30,c(-2.402944954, 41.46863748)
32862138,10,11,63,26,c(-2.424679154, 41.57545912)
32862162,15,7,79,14,c(-2.468456276, 41.78904759)
32862166,2,10,74,16,c(-2.475792768, 41.82463858)
32882088,39,32,18,50,c(-2.311298876, 41.13318413)
32882170,22,7,77,16,c(-2.459380641, 41.86320455)
32882178,10,12,49,39,c(-2.474084945, 41.93438049)
32882182,4,13,59,29,c(-2.48145454, 41.96996544)
32901936,28,41,24,35,c(-2.025974498, 39.78054247)
32901942,16,10,56,34,c(-2.03602208, 39.83410928)
32901950,14,48,13,39,c(-2.049454791, 39.90552427)
32901968,28,16,27,57,c(-2.079829372, 40.0661771)
32902000,15,14,49,37,c(-2.134349966, 40.35167695)
32902014,26,27,22,51,c(-2.158414891, 40.47654102)
32902062,22,37,14,49,c(-2.241919742, 40.90445321)
32902068,13,8,68,24,c(-2.252467633, 40.95792131)
32902080,14,19,27,54,c(-2.273637455, 41.06484363)
32902090,35,23,29,48,c(-2.291354754, 41.15393146)
32902094,27,22,32,46,c(-2.298461051, 41.18956301)
32902116,3,23,33,44,c(-2.337744877, 41.38550002)
32902122,15,37,25,38,c(-2.348517483, 41.43892669)
32902130,17,35,27,38,c(-2.362920431, 41.51015513)
32902134,4,46,8,45,c(-2.370138877, 41.54576631)
32902162,4,25,26,50,c(-2.420987055, 41.79498792)
32902166,6,32,32,37,c(-2.428296954, 41.83058293)
32902176,2,37,11,52,c(-2.446622252, 41.91956166)
32921970,19,37,16,47,c(-2.060095685, 40.08689399)
32922082,16,34,10,56,c(-2.253699715, 41.08558455)
32922088,23,34,25,42,c(-2.264310707, 41.13904016)
32941940,42,18,42,40,c(-1.98661015, 39.82195954)
32942044,19,33,21,46,c(-2.163713496, 40.74982364)
32942092,27,23,52,26,c(-2.247888569, 41.1775963)
32942138,12,36,25,39,c(-2.330050173, 41.58726944)
32942164,4,31,22,47,c(-2.377149915, 41.81870555)
32942170,14,35,20,45,c(-2.388087782, 41.87210182)
32942188,3,18,28,54,c(-2.421057336, 42.03226359)
32962078,19,20,21,58,c(-2.199708163, 41.05576906)
32962124,16,18,42,40,c(-2.281271291, 41.4655464)
32962154,25,9,77,14,c(-2.335262403, 41.73264825)
32962168,6,31,31,38,c(-2.360677259, 41.85725708)
32962208,36,21,23,55,c(-2.434070685, 42.21314737)
32982084,38,37,20,42,c(-2.186775964, 41.1121402)
32982206,15,21,26,53,c(-2.40648199, 42.1983246)
33001938,5,14,70,16,c(-1.914188047, 39.81261667)
33001952,51,14,38,48,c(-1.937471336, 39.93762679)
33001960,31,28,27,45,c(-1.950832263, 40.0090496)
33002010,19,20,42,38,c(-2.035275448, 40.45525288)
33002014,26,25,12,63,c(-2.042101472, 40.49093512)
33002072,17,21,34,45,c(-2.142276735, 41.00809619)
33002132,8,23,27,50,c(-2.248315826, 41.54263915)
33002136,3,36,24,40,c(-2.255474109, 41.57825918)
33002172,22,22,29,49,c(-2.320408299, 41.89874923)
33002186,3,22,20,58,c(-2.345910626, 42.02334056)
33021720,31,18,42,41,c(-1.544754769, 37.86537522)
33021926,19,30,33,38,c(-1.871334777, 39.7082665)
33021954,29,15,44,41,c(-1.917726602, 39.9583179)
33021990,14,34,18,48,c(-1.978110065, 40.27966178)
33021998,6,18,41,41,c(-1.991642583, 40.35104863)
33022016,31,15,44,42,c(-2.022243908, 40.51163875)
33022026,7,28,15,57,c(-2.039336851, 40.60083742)
33022074,23,35,20,45,c(-2.122311993, 41.0288124)
33022092,14,20,40,40,c(-2.153829407, 41.18922727)
33022098,31,18,56,25,c(-2.164384526, 41.24268976)
33022134,5,29,27,44,c(-2.228238543, 41.56336926)
33022142,4,38,25,37,c(-2.242551237, 41.63460924)
33022170,24,21,29,51,c(-2.293002171, 41.88388612)
33022200,51,24,24,53,c(-2.347679453, 42.1508602)
33022206,37,21,23,56,c(-2.358693103, 42.20424164)
33041850,20,45,14,41,c(-1.725114319, 39.03181495)
33041958,22,21,23,56,c(-1.901299466, 39.99686213)
33041986,19,17,36,47,c(-1.948177221, 40.2468091)
