"POINTID","Coarse","Clay","Sand","Silt","geometry"
29462088,51,17,50,34,c(-6.297354023, 40.55106527)
29462254,50,8,42,50,c(-6.693554521, 42.01164484)
29481636,30,20,33,46,c(-5.314649141, 36.55432372)
29482076,48,22,28,50,c(-6.246603616, 40.44916511)
29482094,38,18,36,46,c(-6.2881047, 40.60780856)
29501704,17,40,15,45,c(-5.426929272, 37.16204034)
29502024,32,20,33,47,c(-6.105372523, 39.99438313)
29522350,16,6,68,27,c(-6.862826542, 42.86634924)
29542250,26,18,22,60,c(-6.589223782, 41.99236219)
29542262,26,10,34,56,c(-6.618666971, 42.09780997)
29542268,20,16,33,52,c(-6.633440505, 42.15052502)
29542352,12,9,47,45,c(-6.843972194, 42.887917)
29561652,26,34,18,47,c(-5.258353207, 36.71094588)
29562038,25,9,62,29,c(-6.068034254, 40.12936931)
29582082,18,40,26,35,c(-6.144885179, 40.52129288)
29582266,44,12,37,51,c(-6.581153205, 42.14087135)
29602038,22,8,64,28,c(-6.022076805, 40.13698434)
29621680,28,52,12,35,c(-5.247344003, 36.97056438)
29622346,29,13,23,64,c(-6.732931427, 42.85131405)
29641674,30,19,57,25,c(-5.213604822, 36.92083548)
29642278,43,16,44,40,c(-6.539529661, 42.2581622)
29661680,27,41,20,40,c(-5.203374035, 36.97774003)
29661968,16,21,26,53,c(-5.798524741, 39.53008672)
29662086,45,23,31,46,c(-6.061535348, 40.57186521)
29662386,37,12,44,44,c(-6.786725618, 43.21023417)
29681628,24,8,64,28,c(-5.08062713, 36.51896044)
29683378,37,4,76,21,c(-9.913644226, 51.83298261)
29701642,43,16,25,59,c(-5.085677015, 36.64704244)
29702264,45,12,43,45,c(-6.434138056, 42.14690774)
29702300,43,18,42,40,c(-6.522442765, 42.4632909)
29722262,26,15,50,34,c(-6.405581797, 42.1332391)
29762010,13,6,77,17,c(-5.776234893, 39.91992976)
29762032,30,5,74,21,c(-5.82482861, 40.11424735)
29762042,16,9,54,37,c(-5.847051383, 40.20254746)
29782232,31,14,37,49,c(-6.26230483, 41.8810477)
29802264,53,18,23,59,c(-6.315644216, 42.16643047)
29822290,32,18,34,48,c(-6.355082666, 42.39894173)
29842266,37,14,49,38,c(-6.27305587, 42.19179218)
29862060,18,9,59,32,c(-5.771907585, 40.38024137)
29862340,50,12,47,42,c(-6.430431384, 42.84615864)
29882020,11,9,67,25,c(-5.660551153, 40.03065872)
29882098,46,17,39,44,c(-5.833951052, 40.71940442)
29882354,32,9,53,38,c(-6.441282565, 42.97305707)
29902028,12,8,66,27,c(-5.655113766, 40.10506259)
29902060,21,13,50,36,c(-5.725747452, 40.38772144)
29902262,37,19,30,52,c(-6.192278414, 42.16821794)
29902286,23,29,20,51,c(-6.250186524, 42.37932964)
29922272,25,9,58,33,c(-6.192594298, 42.26005753)
29922282,48,18,35,47,c(-6.216718577, 42.34802254)
29922350,42,12,35,53,c(-6.383313427, 42.94576409)
29923358,20,12,31,56,c(-9.499034545, 51.71858324)
29941942,22,24,23,52,c(-5.424010486, 39.35191646)
29942046,19,4,75,21,c(-5.648653659, 40.27152011)
29942222,41,15,38,47,c(-6.049794621, 41.82382157)
29942284,39,16,38,45,c(-6.197767029, 42.36948119)
29961684,23,35,23,42,c(-4.881036466, 37.06648076)
29962070,17,25,24,50,c(-5.678649537, 40.48721619)
29962314,49,14,39,46,c(-6.246783342, 42.63717319)
29982048,8,10,41,48,c(-5.606954445, 40.29661014)
29982310,9,17,12,71,c(-6.213147489, 42.60587759)
30001912,49,37,27,36,c(-5.29286564, 39.0972088)
30002304,40,22,29,49,c(-6.174698523, 42.55697914)
30002322,39,25,22,53,c(-6.218506044, 42.71526123)
30022058,22,10,55,35,c(-5.582806599, 40.39236333)
30022324,31,16,51,33,c(-6.199462775, 42.73671656)
30042042,10,6,58,35,c(-5.524653866, 40.25468063)
30042052,16,4,74,22,c(-5.546541884, 40.34304852)
30042340,34,13,26,61,c(-6.214657861, 42.88125119)
30062066,13,14,40,46,c(-5.554207704, 40.47043446)
30062074,23,6,61,33,c(-5.571848527, 40.54110427)
30062308,29,15,48,38,c(-6.11276671, 42.60372344)
30062336,53,11,33,56,c(-6.180877172, 42.8499561)
30082006,15,7,70,23,c(-5.40066484, 39.94374291)
30082070,16,10,62,28,c(-5.539888641, 40.50946526)
30082312,47,30,14,56,c(-6.098551999, 42.64275382)
30102048,12,8,66,26,c(-5.468577878, 40.31874779)
30102056,17,7,65,27,c(-5.486049428, 40.38945001)
30102368,26,21,20,60,c(-6.211477251, 43.13897712)
30122054,19,5,79,16,c(-5.458587536, 40.37544966)
30122060,16,6,73,20,c(-5.471698136, 40.42847514)
30122072,16,6,75,19,c(-5.498009825, 40.53450899)
30122312,32,15,17,68,c(-6.050746663, 42.6504305)
30142056,23,5,77,18,c(-5.43985703, 40.39679549)
30142062,13,6,78,15,c(-5.452959513, 40.44982262)
30161932,26,24,31,45,c(-5.152931224, 39.30321455)
30162054,10,15,33,52,c(-5.412402567, 40.38278194)
30162072,15,11,56,34,c(-5.451715777, 40.54186268)
30162346,33,21,19,60,c(-6.085300908, 42.95715681)
30182074,27,9,66,25,c(-5.432944036, 40.56320506)
30182314,17,17,39,44,c(-5.983826339, 42.67950212)
30182326,14,9,41,50,c(-6.012754557, 42.78508164)
30182344,19,16,41,43,c(-6.056406063, 42.94340906)
30202314,16,12,37,51,c(-5.959904862, 42.68331647)
30202338,21,18,33,50,c(-6.017819505, 42.89446897)
30202356,18,29,30,40,c(-6.061619459, 43.05277488)
30221862,27,20,34,46,c(-4.941750643, 38.69334742)
30221962,53,20,44,36,c(-5.147154296, 39.57969912)
30222060,10,4,81,15,c(-5.356127542, 40.44678301)
30223342,18,11,37,52,c(-9.017487154, 51.6511488)
30241876,8,25,34,40,c(-4.947464745, 38.82107338)
30242062,22,4,79,17,c(-5.337346973, 40.46810933)
30242074,33,3,88,10,c(-5.363460085, 40.57418218)
30242314,15,9,62,28,c(-5.912053806, 42.69092828)
30243370,25,12,36,52,c(-9.094491585, 51.89753989)
30261908,25,30,22,48,c(-4.989932039, 39.10837859)
30262064,13,8,67,26,c(-5.318555267, 40.48943197)
30262322,20,19,28,53,c(-5.907288142, 42.76513552)
30281930,14,26,39,35,c(-5.012369576, 39.3069356)
30282048,23,5,76,19,c(-5.26085651, 40.35158937)
30282080,16,9,65,27,c(-5.330190813, 40.63450819)
30282318,27,16,30,55,c(-5.873753032, 42.7337263)
30302068,19,10,67,23,c(-5.280938384, 40.53206617)
30302072,26,6,76,18,c(-5.289612866, 40.56742962)
30302082,12,8,61,31,c(-5.311357413, 40.65582735)
30303364,22,17,23,60,c(-8.987291116, 51.85970782)
30303392,26,15,31,53,c(-9.093049304, 52.10143123)
30322080,14,13,48,39,c(-5.283810495, 40.64178448)
30322326,55,11,55,33,c(-5.844968227, 42.81171879)
30322350,22,23,21,56,c(-5.902677458, 43.02292151)
30341842,14,13,59,28,c(-4.766649261, 38.53693711)
30361876,16,20,40,40,c(-4.811938213, 38.84220507)
30361894,39,12,63,25,c(-4.848175337, 39.00189526)
30362016,22,14,54,32,c(-5.100370252, 40.08289138)
30363420,17,18,17,65,c(-9.114771901, 52.35708656)
30382072,54,8,51,41,c(-5.196931404, 40.58191981)
30382086,27,8,75,17,c(-5.227225781, 40.70570533)
30383382,24,6,67,27,c(-8.94193047, 52.03370953)
30401830,3,4,78,18,c(-4.675501618, 38.44082559)
30402028,15,6,66,28,c(-5.079729353, 40.19626479)
30402312,13,9,70,21,c(-5.715807083, 42.70353722)
30402322,28,9,65,26,c(-5.739519467, 42.79159645)
30402352,38,24,23,54,c(-5.811224907, 43.05568287)
30402384,4,13,45,42,c(-5.888662592, 43.33722431)
30421912,21,15,51,33,c(-4.816556567, 39.17208775)
30422056,21,11,66,23,c(-5.11625092, 40.44760717)
30422084,16,10,63,27,c(-5.176459873, 40.69525014)
30441944,20,23,48,29,c(-4.858951215, 39.45934184)
30442082,22,8,70,22,c(-5.148926307, 40.68116933)
30442088,23,8,72,20,c(-5.161884273, 40.73422529)
30442322,44,13,48,39,c(-5.691561374, 42.79910593)
30462002,25,4,82,13,c(-4.955999221, 39.97677661)
30462080,15,6,77,18,c(-5.121406023, 40.66708011)
30462084,14,15,51,34,c(-5.13002242, 40.70245495)
30462314,18,11,67,22,c(-5.648680992, 42.73239055)
30481928,21,20,31,49,c(-4.780794733, 39.32450475)
30481942,34,34,15,51,c(-4.809269098, 39.4486441)
30482324,32,28,24,48,c(-5.648319607, 42.82420802)
30482338,20,31,13,55,c(-5.681514297, 42.94749744)
