"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","geometry"
30662072,"ES","ES4","ES41","ES411",c(-4.872255948, 40.63195018)
30662104,"ES","ES4","ES41","ES411",c(-4.940359651, 40.91510621)
30662118,"ES","ES4","ES41","ES411",c(-4.97042043, 41.03893819)
30662168,"ES","ES4","ES41","ES418",c(-5.079121304, 41.4809536)
30662190,"ES","ES4","ES41","ES418",c(-5.127623487, 41.67532111)
30662204,"ES","ES4","ES41","ES418",c(-5.158706151, 41.79897167)
30662208,"ES","ES4","ES41","ES418",c(-5.167618223, 41.834295)
30662276,"ES","ES4","ES41","ES413",c(-5.321285291, 42.43442516)
30662324,"ES","ES4","ES41","ES413",c(-5.432267931, 42.85763091)
30662334,"ES","ES4","ES41","ES413",c(-5.455656916, 42.9457556)
30662388,"ES","ES1","ES12","ES120",c(-5.583584593, 43.42137225)
30663346,"IE","IE0","IE05","IE053",c(-8.413238204, 51.78639604)
30663392,"IE","IE0","IE05","IE053",c(-8.582136958, 52.18442839)
30681656,"ES","ES6","ES61","ES614",c(-4.036018431, 36.93983337)
30681774,"ES","ES6","ES61","ES616",c(-4.253954825, 37.99087471)
30682044,"ES","ES4","ES41","ES411",c(-4.790226257, 40.38757776)
30682052,"ES","ES4","ES41","ES411",c(-4.806967944, 40.45841997)
30682088,"ES","ES4","ES41","ES411",c(-4.882945248, 40.77708962)
30682116,"ES","ES4","ES41","ES411",c(-4.942771445, 41.02480804)
30682206,"ES","ES4","ES41","ES418",c(-5.139530161, 41.82024564)
30682278,"ES","ES4","ES41","ES413",c(-5.302002044, 42.45572194)
30682308,"ES","ES4","ES41","ES413",c(-5.371073278, 42.72027567)
30682344,"ES","ES4","ES41","ES413",c(-5.455052786, 43.03756359)
30701712,"ES","ES6","ES61","ES613",c(-4.116096403, 37.44224404)
30702012,"ES","ES4","ES42","ES425",c(-4.700741921, 40.10760461)
30702048,"ES","ES4","ES41","ES411",c(-4.775453697, 40.42651366)
30702072,"ES","ES4","ES41","ES411",c(-4.825837184, 40.63901026)
30702094,"ES","ES4","ES41","ES411",c(-4.872432313, 40.83372215)
30702108,"ES","ES4","ES41","ES411",c(-4.902290201, 40.95759161)
30702180,"ES","ES4","ES41","ES418",c(-5.058429385, 41.59416832)
30702256,"ES","ES4","ES41","ES418",c(-5.228072776, 42.26526778)
30702274,"ES","ES4","ES41","ES413",c(-5.268999548, 42.42408623)
30702324,"ES","ES4","ES41","ES413",c(-5.384227304, 42.86499599)
30702378,"ES","ES1","ES12","ES120",c(-5.511277432, 43.34076231)
30702390,"ES","ES1","ES12","ES120",c(-5.539885836, 43.44642957)
30721674,"ES","ES6","ES61","ES614",c(-4.0245189, 37.106931)
30721702,"ES","ES6","ES61","ES614",c(-4.075566102, 37.35647901)
30721728,"ES","ES6","ES61","ES616",c(-4.123439937, 37.58809005)
30721738,"ES","ES6","ES61","ES616",c(-4.141975445, 37.67714258)
30721756,"ES","ES6","ES61","ES616",c(-4.175512347, 37.83739715)
30722002,"ES","ES4","ES42","ES425",c(-4.657170398, 40.02246592)
30722052,"ES","ES4","ES41","ES411",c(-4.760667308, 40.46544626)
30722062,"ES","ES4","ES41","ES411",c(-4.781605563, 40.55399677)
30722074,"ES","ES4","ES41","ES411",c(-4.806837874, 40.66023739)
30722152,"ES","ES4","ES41","ES418",c(-4.973726644, 41.35027184)
30722214,"ES","ES4","ES41","ES418",c(-5.11003677, 41.89810941)
30722254,"ES","ES4","ES41","ES418",c(-5.199751799, 42.25124854)
30722260,"ES","ES4","ES41","ES413",c(-5.213331301, 42.30419888)
30722268,"ES","ES4","ES41","ES413",c(-5.231487391, 42.374791)
30722290,"ES","ES4","ES41","ES413",c(-5.281713695, 42.56887036)
30741676,"ES","ES6","ES61","ES614",c(-4.006071637, 37.12806588)
30741708,"ES","ES6","ES61","ES613",c(-4.064410795, 37.413259)
30742058,"ES","ES4","ES41","ES411",c(-4.750048572, 40.52208679)
30742122,"ES","ES4","ES41","ES411",c(-4.885571605, 41.08852774)
30742152,"ES","ES4","ES41","ES418",c(-4.950261722, 41.35383486)
30742162,"ES","ES4","ES41","ES418",c(-4.971993159, 41.4422406)
30742170,"ES","ES4","ES41","ES418",c(-4.989439321, 41.51295442)
30742198,"ES","ES4","ES41","ES418",c(-5.050931437, 41.76037748)
30742212,"ES","ES4","ES41","ES418",c(-5.081930866, 41.88404515)
30742224,"ES","ES4","ES41","ES418",c(-5.108637533, 41.99002278)
30742242,"ES","ES4","ES41","ES418",c(-5.148934284, 42.14894906)
30742266,"ES","ES4","ES41","ES413",c(-5.203109481, 42.36077591)
30743386,"IE","IE0","IE05","IE053",c(-8.44624701, 52.15065268)
30743490,"IE","IE0","IE04","IE042",c(-8.838820681, 53.04974828)
30761664,"ES","ES6","ES61","ES614",c(-3.962324686, 37.02437102)
30761848,"ES","ES4","ES42","ES422",c(-4.305359774, 38.66246016)
30761988,"ES","ES4","ES42","ES425",c(-4.582621032, 39.90529585)
30762052,"ES","ES4","ES41","ES411",c(-4.71435772, 40.47245081)
30762060,"ES","ES4","ES41","ES411",c(-4.731052887, 40.54330154)
30762064,"ES","ES4","ES41","ES411",c(-4.739419725, 40.57872328)
30762172,"ES","ES4","ES41","ES418",c(-4.97027846, 41.53420075)
30762208,"ES","ES4","ES41","ES418",c(-5.049409977, 41.85230548)
30762276,"ES","ES4","ES41","ES413",c(-5.201965264, 42.4526445)
30762358,"ES","ES1","ES12","ES120",c(-5.391475214, 43.17567317)
30763356,"IE","IE0","IE05","IE053",c(-8.308318893, 51.89543933)
30763396,"IE","IE0","IE05","IE053",c(-8.454671493, 52.24170799)
30781660,"ES","ES6","ES61","ES614",c(-3.933085956, 36.99198842)
30781768,"ES","ES6","ES61","ES616",c(-4.131008035, 37.9542453)
30781868,"ES","ES4","ES42","ES422",c(-4.321466615, 38.84358662)
30781994,"ES","ES4","ES42","ES425",c(-4.57185265, 39.96195465)
30782134,"ES","ES4","ES41","ES418",c(-4.864534144, 41.2017551)
30782138,"ES","ES4","ES41","ES418",c(-4.873130866, 41.23713468)
30782174,"ES","ES4","ES41","ES418",c(-4.951105836, 41.55544333)
30782188,"ES","ES4","ES41","ES418",c(-4.981726067, 41.67917786)
30782198,"ES","ES4","ES41","ES418",c(-5.003700438, 41.7675418)
30782210,"ES","ES4","ES41","ES418",c(-5.030183458, 41.87355893)
30782218,"ES","ES4","ES41","ES418",c(-5.047908125, 41.94422513)
30782234,"ES","ES4","ES41","ES418",c(-5.083524891, 42.08552905)
30782288,"ES","ES4","ES41","ES413",c(-5.205402695, 42.56215004)
30782344,"ES","ES4","ES41","ES413",c(-5.334580157, 43.0559692)
30782390,"ES","ES1","ES12","ES120",c(-5.442872575, 43.46126133)
30801664,"ES","ES6","ES61","ES614",c(-3.918227795, 37.03094522)
30801700,"ES","ES6","ES61","ES614",c(-3.983328296, 37.35189823)
30801772,"ES","ES6","ES61","ES616",c(-4.116147335, 37.99318734)
30801836,"ES","ES4","ES42","ES422",c(-4.237221722, 38.56253832)
30801848,"ES","ES4","ES42","ES422",c(-4.260246551, 38.66922057)
30801988,"ES","ES4","ES42","ES425",c(-4.536689952, 39.91220698)
30802006,"ES","ES4","ES42","ES425",c(-4.573307951, 40.07180217)
30802052,"ES","ES4","ES41","ES411",c(-4.668039205, 40.47943362)
30802096,"ES","ES4","ES41","ES411",c(-4.760230059, 40.86904346)
30802118,"ES","ES4","ES41","ES411",c(-4.806915455, 41.06373942)
30802150,"ES","ES4","ES41","ES418",c(-4.875535608, 41.34680435)
30802172,"ES","ES4","ES41","ES418",c(-4.923209465, 41.54132289)
30802190,"ES","ES4","ES41","ES418",c(-4.962520684, 41.70042087)
30802214,"ES","ES4","ES41","ES418",c(-5.015367952, 41.91247668)
30802240,"ES","ES4","ES41","ES418",c(-5.073183437, 42.14210749)
30802268,"ES","ES4","ES41","ES413",c(-5.136111715, 42.38929045)
30802294,"ES","ES4","ES41","ES413",c(-5.19517191, 42.61871391)
30802312,"ES","ES4","ES41","ES413",c(-5.236417904, 42.77748722)
30802376,"ES","ES1","ES12","ES120",c(-5.385490403, 43.34162902)
30803590,"IE","IE0","IE04","IE042",c(-9.146994982, 53.9266399)
30821768,"ES","ES6","ES61","ES616",c(-4.086340837, 37.96091271)
30822110,"ES","ES4","ES41","ES411",c(-4.766550896, 40.99646572)
30822134,"ES","ES4","ES41","ES418",c(-4.817701592, 41.2088214)
30822182,"ES","ES4","ES41","ES418",c(-4.921444811, 41.63327532)
30822210,"ES","ES4","ES41","ES418",c(-4.982865164, 41.88071546)
30822264,"ES","ES4","ES41","ES413",c(-5.103242302, 42.35759404)
30822300,"ES","ES4","ES41","ES413",c(-5.1849311, 42.67527432)
30822344,"ES","ES4","ES41","ES413",c(-5.286372508, 43.06329167)
30823370,"IE","IE0","IE05","IE053",c(-8.274159418, 52.03011498)
30841686,"ES","ES6","ES61","ES614",c(-3.913686896, 37.23368286)
30841708,"ES","ES6","ES61","ES616",c(-3.953570959, 37.42978993)
30842072,"ES","ES4","ES41","ES411",c(-4.663300253, 40.66354885)
30842118,"ES","ES4","ES41","ES411",c(-4.760178875, 41.07077608)
30842132,"ES","ES4","ES41","ES418",c(-4.790007366, 41.1946521)
30842162,"ES","ES4","ES41","ES418",c(-4.854474162, 41.46000247)
30842212,"ES","ES4","ES41","ES418",c(-4.963608862, 41.90195643)
30842216,"ES","ES4","ES41","ES414",c(-4.972432257, 41.93729676)
30842222,"ES","ES4","ES41","ES418",c(-4.98569335, 41.99030284)
30842226,"ES","ES4","ES41","ES418",c(-4.994551455, 42.02563728)
30842234,"ES","ES4","ES41","ES418",c(-5.012309505, 42.09629907)
30842244,"ES","ES4","ES41","ES418",c(-5.034585821, 42.18461303)
30842252,"ES","ES4","ES41","ES418",c(-5.052470169, 42.2552536)
30842262,"ES","ES4","ES41","ES413",c(-5.074905119, 42.34354106)
30842276,"ES","ES4","ES41","ES413",c(-5.106463327, 42.46711879)
30861660,"ES","ES6","ES61","ES614",c(-3.844920752, 37.00508784)
30861756,"ES","ES6","ES61","ES616",c(-4.019416263, 37.86070877)
30862070,"ES","ES4","ES41","ES411",c(-4.635904601, 40.64931869)
30862116,"ES","ES4","ES41","ES411",c(-4.732565375, 41.05658606)
30862152,"ES","ES4","ES41","ES418",c(-4.809422516, 41.37509712)
30862182,"ES","ES4","ES41","ES418",c(-4.874297406, 41.6403761)
30862278,"ES","ES4","ES41","ES413",c(-5.087097448, 42.48837614)
30881676,"ES","ES6","ES61","ES614",c(-3.851488529, 37.15106255)
30881748,"ES","ES6","ES61","ES616",c(-3.982353036, 37.79276796)
30881760,"ES","ES6","ES61","ES616",c(-4.004503883, 37.89963949)
30881910,"ES","ES4","ES42","ES422",c(-4.289906784, 39.23364565)
30881968,"ES","ES4","ES42","ES425",c(-4.404647473, 39.74853498)
30881994,"ES","ES4","ES42","ES425",c(-4.456908196, 39.97918169)
30882072,"ES","ES4","ES41","ES411",c(-4.616840868, 40.67051078)
30882130,"ES","ES4","ES41","ES418",c(-4.738914928, 41.18398592)
30882288,"ES","ES4","ES41","ES413",c(-5.085806642, 42.58023786)
30882342,"ES","ES4","ES41","ES413",c(-5.209411924, 43.05659795)
30882346,"ES","ES1","ES12","ES120",c(-5.218674169, 43.09186695)
30882378,"ES","ES1","ES12","ES120",c(-5.293308639, 43.37393511)
30901656,"ES","ES6","ES61","ES614",c(-3.793711027, 36.97592018)
30901666,"ES","ES6","ES61","ES614",c(-3.81152185, 37.06513162)
30901972,"ES","ES4","ES42","ES425",c(-4.389724541, 39.78744292)
30901990,"ES","ES4","ES42","ES425",c(-4.425851076, 39.94713126)
30902056,"ES","ES4","ES41","ES411",c(-4.560459329, 40.53223786)
30902070,"ES","ES4","ES41","ES411",c(-4.589453085, 40.65626745)
30902116,"ES","ES4","ES41","ES416",c(-4.68582751, 41.06358745)
30902146,"ES","ES4","ES41","ES418",c(-4.749611108, 41.32906155)
30902164,"ES","ES4","ES41","ES418",c(-4.788239767, 41.48828206)
30902196,"ES","ES4","ES41","ES418",c(-4.857586194, 41.77122263)
30902236,"ES","ES4","ES41","ES418",c(-4.945500468, 42.12468638)
30902242,"ES","ES4","ES41","ES414",c(-4.958807241, 42.17768568)
30902250,"ES","ES4","ES41","ES414",c(-4.976598619, 42.2483432)
30902260,"ES","ES4","ES41","ES413",c(-4.998916951, 42.33665193)
30902278,"ES","ES4","ES41","ES413",c(-5.039312887, 42.49557074)
30902290,"ES","ES4","ES41","ES413",c(-5.066403897, 42.60149031)
30902340,"ES","ES4","ES41","ES413",c(-5.180684253, 43.04259569)
30922076,"ES","ES4","ES41","ES411",c(-4.57867921, 40.71288361)
30922090,"ES","ES4","ES41","ES411",c(-4.607853683, 40.83687937)
30922116,"ES","ES4","ES41","ES416",c(-4.662455132, 41.06707991)
30922176,"ES","ES4","ES41","ES418",c(-4.79058035, 41.5979299)
30922224,"ES","ES4","ES41","ES414",c(-4.895262893, 42.02222796)
30922242,"ES","ES4","ES41","ES414",c(-4.935030187, 42.18125257)
30922248,"ES","ES4","ES41","ES414",c(-4.948348728, 42.23425023)
30922274,"ES","ES4","ES41","ES413",c(-5.00642836, 42.46384594)
30922278,"ES","ES4","ES41","ES413",c(-5.015416811, 42.4991596)
30922284,"ES","ES4","ES41","ES413",c(-5.02892622, 42.5521257)
30922310,"ES","ES4","ES41","ES413",c(-5.087840103, 42.78158485)
30922324,"ES","ES4","ES41","ES413",c(-5.119816183, 42.905099)
30922374,"ES","ES1","ES12","ES120",c(-5.235487239, 43.34598848)
30923436,"IE","IE0","IE05","IE051",c(-8.374209397, 52.62397391)
30941650,"ES","ES6","ES61","ES614",c(-3.739009004, 36.92887426)
30941754,"ES","ES6","ES61","ES616",c(-3.926500784, 37.85610038)
30941854,"ES","ES4","ES42","ES422",c(-4.113719309, 38.74607028)
30942046,"ES","ES4","ES41","ES411",c(-4.493532028, 40.45052728)
30942114,"ES","ES4","ES41","ES416",c(-4.634867104, 41.05286154)
30942150,"ES","ES4","ES41","ES418",c(-4.711209966, 41.37146686)
30942168,"ES","ES4","ES41","ES418",c(-4.749784035, 41.5306978)
30942186,"ES","ES4","ES41","ES418",c(-4.788629933, 41.68988106)
30942294,"ES","ES4","ES41","ES413",c(-5.027561423, 42.64398395)
30942340,"ES","ES4","ES41","ES413",c(-5.132472181, 43.04984489)
30942376,"ES","ES1","ES12","ES120",c(-5.21593173, 43.36726109)
30943536,"IE","IE0","IE04","IE042",c(-8.726552423, 53.49320954)
30961660,"ES","ES6","ES61","ES614",c(-3.734674468, 37.02134631)
30961768,"ES","ES6","ES61","ES616",c(-3.929946372, 37.9840841)
30961900,"ES","ES4","ES42","ES422",c(-4.179495278, 39.15830168)
30962066,"ES","ES4","ES41","ES411",c(-4.511496251, 40.63120884)
30962098,"ES","ES4","ES41","ES411",c(-4.577956834, 40.9146688)
30962228,"ES","ES4","ES41","ES414",c(-4.856606027, 42.06467096)
30962246,"ES","ES4","ES41","ES414",c(-4.896317877, 42.22370675)
30962290,"ES","ES4","ES41","ES413",c(-4.99458798, 42.61226213)
30962308,"ES","ES4","ES41","ES413",c(-5.035286009, 42.77113547)
30981646,"ES","ES6","ES61","ES614",c(-3.687907414, 36.89964175)
30981674,"ES","ES6","ES61","ES614",c(-3.737459559, 37.14949229)
30981692,"ES","ES6","ES61","ES614",c(-3.76958437, 37.31004501)
30981704,"ES","ES6","ES61","ES614",c(-3.791119331, 37.41705178)
30981722,"ES","ES6","ES61","ES616",c(-3.823600773, 37.5775195)
30981728,"ES","ES6","ES61","ES616",c(-3.834475931, 37.63099745)
30981866,"ES","ES4","ES42","ES422",c(-4.091406968, 38.85944697)
30981880,"ES","ES4","ES42","ES422",c(-4.118219926, 38.9839085)
30982132,"ES","ES4","ES41","ES416",c(-4.62604808, 41.219164)
30982154,"ES","ES4","ES41","ES418",c(-4.672761889, 41.41385702)
30982250,"ES","ES4","ES41","ES414",c(-4.881370248, 42.26259653)
30982262,"ES","ES4","ES41","ES414",c(-4.908004257, 42.36859442)
31001666,"ES","ES6","ES61","ES614",c(-3.701177471, 37.08135308)
31001702,"ES","ES6","ES61","ES614",c(-3.765353799, 37.40247033)
31001840,"ES","ES4","ES42","ES422",c(-4.019429138, 38.63154519)
31001850,"ES","ES4","ES42","ES422",c(-4.038352607, 38.72049429)
31001954,"ES","ES4","ES42","ES425",c(-4.239433476, 39.64466208)
31002074,"ES","ES4","ES41","ES411",c(-4.48153602, 40.70898677)
31002080,"ES","ES4","ES41","ES411",c(-4.49393606, 40.76214673)
31002120,"ES","ES4","ES41","ES416",c(-4.577341477, 41.11641053)
31002188,"ES","ES4","ES41","ES418",c(-4.722137372, 41.71811874)
31002200,"ES","ES4","ES41","ES418",c(-4.748090949, 41.82423224)
31002206,"ES","ES4","ES41","ES414",c(-4.761113577, 41.87728111)
31002254,"ES","ES4","ES41","ES414",c(-4.866407731, 42.30148321)
31002264,"ES","ES4","ES41","ES414",c(-4.888595944, 42.38981649)
31002282,"ES","ES4","ES41","ES413",c(-4.928756637, 42.54877982)
31003388,"IE","IE0","IE05","IE051",c(-8.083540764, 52.22612913)
31003394,"IE","IE0","IE05","IE051",c(-8.105284765, 52.27812644)
31003478,"IE","IE0","IE04","IE042",c(-8.416390912, 53.0054671)
31021664,"ES","ES6","ES61","ES614",c(-3.67556815, 37.06673511)
31021708,"ES","ES6","ES61","ES614",c(-3.753944803, 37.45921923)
31021812,"ES","ES4","ES42","ES422",c(-3.944341532, 38.38570708)
31021866,"ES","ES4","ES42","ES422",c(-4.04614713, 38.86610978)
31021880,"ES","ES4","ES42","ES422",c(-4.072879229, 38.99058589)
31022060,"ES","ES4","ES41","ES411",c(-4.429504473, 40.5883594)
31022078,"ES","ES4","ES41","ES411",c(-4.466534485, 40.74787074)
31022086,"ES","ES4","ES41","ES416",c(-4.483074915, 40.81874928)
31022118,"ES","ES4","ES41","ES416",c(-4.549750361, 41.10216906)
31022136,"ES","ES4","ES41","ES416",c(-4.587620169, 41.26152646)
31022172,"ES","ES4","ES41","ES418",c(-4.66415981, 41.58009869)
31022194,"ES","ES4","ES41","ES418",c(-4.711466198, 41.7746884)
31022252,"ES","ES4","ES41","ES414",c(-4.838158235, 42.28735972)
31022262,"ES","ES4","ES41","ES414",c(-4.860295818, 42.37570195)
31041882,"ES","ES4","ES42","ES422",c(-4.054030473, 39.01169752)
31042070,"ES","ES4","ES41","ES416",c(-4.426802545, 40.68041617)
31042080,"ES","ES4","ES41","ES416",c(-4.447391326, 40.76903032)
31042164,"ES","ES4","ES41","ES418",c(-4.623519569, 41.51280841)
31042182,"ES","ES4","ES41","ES418",c(-4.662015924, 41.67205499)
31042188,"ES","ES4","ES41","ES418",c(-4.674908354, 41.72512668)
31042196,"ES","ES4","ES41","ES418",c(-4.692145433, 41.79588078)
31042322,"ES","ES4","ES41","ES413",c(-4.970920887, 42.90903359)
31042344,"ES","ES4","ES41","ES413",c(-5.021041952, 43.10315862)
31061644,"ES","ES6","ES61","ES614",c(-3.596323011, 36.89465341)
31061688,"ES","ES6","ES61","ES614",c(-3.673889452, 37.28731851)
31061706,"ES","ES6","ES61","ES614",c(-3.705984346, 37.44786651)
31061760,"ES","ES6","ES61","ES616",c(-3.803558016, 37.9292071)
31061766,"ES","ES6","ES61","ES616",c(-3.814520396, 37.98266143)
31062058,"ES","ES4","ES41","ES411",c(-4.378992903, 40.57748096)
31062076,"ES","ES4","ES41","ES416",c(-4.415883007, 40.73701777)
31062184,"ES","ES4","ES41","ES418",c(-4.642704884, 41.69323942)
31062202,"ES","ES4","ES41","ES418",c(-4.681445317, 41.85244411)
31062246,"ES","ES4","ES41","ES414",c(-4.777305093, 42.24141317)
31062252,"ES","ES4","ES41","ES414",c(-4.790506101, 42.29443269)
31062270,"ES","ES4","ES41","ES414",c(-4.830297469, 42.45346004)
31062274,"ES","ES4","ES41","ES414",c(-4.839178554, 42.4887931)
31062288,"ES","ES4","ES41","ES414",c(-4.870373489, 42.61244064)
31063480,"IE","IE0","IE04","IE042",c(-8.336991678, 53.03630996)
31081642,"ES","ES6","ES61","ES614",c(-3.570811818, 36.87999965)
31081710,"ES","ES6","ES61","ES614",c(-3.690946727, 37.48677156)
31081714,"ES","ES6","ES61","ES616",c(-3.698107495, 37.52244145)
31081962,"ES","ES4","ES42","ES425",c(-4.163569776, 39.72916986)
31082110,"ES","ES4","ES41","ES416",c(-4.462895547, 41.04167993)
31082224,"ES","ES4","ES41","ES414",c(-4.705430176, 42.05047503)
31082232,"ES","ES4","ES41","ES414",c(-4.722860159, 42.1211968)
31082236,"ES","ES4","ES41","ES414",c(-4.731595768, 42.15655421)
31082242,"ES","ES4","ES41","ES414",c(-4.744725035, 42.209586)
31083442,"IE","IE0","IE05","IE051",c(-8.166351019, 52.7117757)
31083448,"IE","IE0","IE05","IE051",c(-8.188542213, 52.76374418)
31101870,"ES","ES4","ES42","ES422",c(-3.96318108, 38.91494769)
31101964,"ES","ES4","ES42","ES425",c(-4.144576334, 39.75028722)
31102104,"ES","ES4","ES41","ES416",c(-4.42707114, 40.99196908)
31102176,"ES","ES4","ES41","ES418",c(-4.578408529, 41.62942721)
31102202,"ES","ES4","ES41","ES418",c(-4.634111287, 41.85943513)
31102220,"ES","ES4","ES41","ES414",c(-4.673008828, 42.01861403)
31102234,"ES","ES4","ES41","ES414",c(-4.703453404, 42.14238747)
31102260,"ES","ES4","ES41","ES414",c(-4.760441171, 42.37217743)
31102270,"ES","ES4","ES41","ES414",c(-4.782515955, 42.46053226)
31102292,"ES","ES4","ES41","ES414",c(-4.831389547, 42.65486228)
31102296,"ES","ES4","ES41","ES414",c(-4.840321609, 42.69018755)
31102302,"ES","ES4","ES41","ES414",c(-4.853746367, 42.74317114)
31102306,"ES","ES4","ES41","ES414",c(-4.862714027, 42.77849067)
31103548,"IE","IE0","IE04","IE042",c(-8.538749295, 53.63356837)
31121740,"ES","ES6","ES61","ES616",c(-3.700343313, 37.76071795)
31121772,"ES","ES6","ES61","ES616",c(-3.758391576, 38.04588991)
31121872,"ES","ES4","ES42","ES422",c(-3.944315905, 38.93604007)
31122070,"ES","ES4","ES41","ES416",c(-4.33381061, 40.69409529)
31122088,"ES","ES4","ES41","ES416",c(-4.370703755, 40.85363052)
31122114,"ES","ES4","ES41","ES416",c(-4.424449022, 41.08398651)
31122150,"ES","ES4","ES41","ES416",c(-4.499766042, 41.40277805)
31122190,"ES","ES4","ES41","ES418",c(-4.584700179, 41.75676992)
31122250,"ES","ES4","ES41","ES414",c(-4.714625469, 42.28732383)
31122280,"ES","ES4","ES41","ES414",c(-4.780750476, 42.55240642)
31122298,"ES","ES4","ES41","ES414",c(-4.82080468, 42.71139398)
31122304,"ES","ES4","ES41","ES414",c(-4.834219898, 42.76437952)
31122366,"ES","ES1","ES12","ES120",c(-4.974741589, 43.31159551)
31122376,"ES","ES1","ES12","ES120",c(-4.997735107, 43.3998048)
31123392,"IE","IE0","IE05","IE051",c(-7.92680793, 52.28727705)
31123410,"IE","IE0","IE05","IE051",c(-7.991798711, 52.44334705)
31141652,"ES","ES6","ES61","ES614",c(-3.522155397, 36.97886558)
31141666,"ES","ES6","ES61","ES614",c(-3.546621582, 37.10384659)
31141720,"ES","ES6","ES61","ES616",c(-3.642179272, 37.58562888)
31141750,"ES","ES6","ES61","ES616",c(-3.696095171, 37.85308975)
31141756,"ES","ES6","ES61","ES616",c(-3.706950383, 37.90656522)
31141966,"ES","ES4","ES42","ES425",c(-4.102635249, 39.77475013)
31142216,"ES","ES4","ES41","ES414",c(-4.616906257, 41.9902302)
31142218,"ES","ES4","ES41","ES414",c(-4.621225314, 42.00791737)
31142272,"ES","ES4","ES41","ES414",c(-4.739136619, 42.4852536)
31142296,"ES","ES4","ES41","ES414",c(-4.792355974, 42.69726878)
31142300,"ES","ES4","ES41","ES414",c(-4.801275309, 42.73259663)
31161704,"ES","ES6","ES61","ES614",c(-3.591478009, 37.44613693)
31161722,"ES","ES6","ES61","ES616",c(-3.623516269, 37.6066836)
31161740,"ES","ES6","ES61","ES616",c(-3.655768235, 37.76718005)
31161848,"ES","ES4","ES42","ES422",c(-3.853874237, 38.72911314)
31162010,"ES","ES4","ES42","ES425",c(-4.166521818, 40.16870765)
31162082,"ES","ES4","ES41","ES416",c(-4.311793702, 40.80727754)
31162160,"ES","ES4","ES41","ES418",c(-4.473798356, 41.49820652)
31162204,"ES","ES4","ES41","ES414",c(-4.56738122, 41.88757223)
31162208,"ES","ES4","ES41","ES414",c(-4.575969038, 41.92295527)
31162226,"ES","ES4","ES41","ES414",c(-4.614781754, 42.08215043)
31162232,"ES","ES4","ES41","ES414",c(-4.62778055, 42.13520514)
31162316,"ES","ES4","ES41","ES414",c(-4.813040838, 42.87742952)
31163396,"IE","IE0","IE05","IE051",c(-7.88404535, 52.33074445)
31163428,"IE","IE0","IE05","IE051",c(-7.9998672, 52.60820924)
31181706,"ES","ES6","ES61","ES614",c(-3.57283057, 37.46718465)
31181714,"ES","ES6","ES61","ES614",c(-3.587032116, 37.53854632)
31181796,"ES","ES6","ES61","ES616",c(-3.735048159, 38.26943381)
31181858,"ES","ES4","ES42","ES422",c(-3.850001232, 38.8213733)
31182080,"ES","ES4","ES41","ES416",c(-4.284414768, 40.79295051)
31182116,"ES","ES4","ES41","ES416",c(-4.358406655, 41.11198149)
31182138,"ES","ES4","ES41","ES416",c(-4.404134952, 41.3068521)
31182188,"ES","ES4","ES41","ES418",c(-4.509532166, 41.74947929)
31182218,"ES","ES4","ES41","ES414",c(-4.573767745, 42.01488259)
31182242,"ES","ES4","ES41","ES414",c(-4.625704717, 42.22711217)
31182246,"ES","ES4","ES41","ES414",c(-4.634408772, 42.26247574)
31182272,"ES","ES4","ES41","ES414",c(-4.691321907, 42.49228315)
31182380,"ES","ES1","ES12","ES120",c(-4.934136836, 43.44583691)
31201668,"ES","ES6","ES61","ES614",c(-3.483846436, 37.13126405)
31201708,"ES","ES6","ES61","ES614",c(-3.554173031, 37.4882285)
31201772,"ES","ES6","ES61","ES616",c(-3.668878155, 38.05885625)
31201866,"ES","ES4","ES42","ES422",c(-3.842380748, 38.89582987)
31201884,"ES","ES4","ES42","ES422",c(-3.87630729, 39.05594885)
31201952,"ES","ES4","ES42","ES425",c(-4.006574174, 39.66040468)
31202126,"ES","ES4","ES41","ES416",c(-4.35570795, 41.20398886)
31202150,"ES","ES4","ES41","ES416",c(-4.405730805, 41.41655036)
31202186,"ES","ES4","ES41","ES418",c(-4.48164849, 41.73523666)
31202190,"ES","ES4","ES41","ES414",c(-4.490149966, 41.77063472)
31202252,"ES","ES4","ES41","ES414",c(-4.623646189, 42.31901115)
31202262,"ES","ES4","ES41","ES414",c(-4.645485196, 42.40740744)
31202276,"ES","ES4","ES41","ES414",c(-4.676205458, 42.53113829)
31202288,"ES","ES4","ES41","ES414",c(-4.702673235, 42.63717106)
31221710,"ES","ES6","ES61","ES614",c(-3.535505379, 37.50926845)
31222070,"ES","ES4","ES41","ES416",c(-4.217521176, 40.71107121)
31222080,"ES","ES4","ES41","ES416",c(-4.237830141, 40.79973557)
31222092,"ES","ES4","ES41","ES416",c(-4.26230466, 40.9061136)
31222146,"ES","ES4","ES41","ES416",c(-4.373859403, 41.38455619)
31222178,"ES","ES4","ES41","ES418",c(-4.441080861, 41.66787895)
31222260,"ES","ES4","ES41","ES414",c(-4.61723697, 42.39322282)
31241716,"ES","ES6","ES61","ES614",c(-3.523905935, 37.56598867)
31241766,"ES","ES6","ES61","ES616",c(-3.613274417, 38.01183252)
31241770,"ES","ES6","ES61","ES616",c(-3.620495712, 38.04748345)
31241860,"ES","ES4","ES42","ES422",c(-3.785854634, 38.84898601)
