"POINTID_2015","POINTID_2018","SURVEY_DATE","Revisited_point","Elevation","Coarse","Clay","Sand","Silt","pH_CaCl2_2015","pH_CaCl2_2018","pH_H20","pH_H2O","EC_2015","EC_2018","OC_2015","OC_2018","OC..20.30.cm.","CaCO3_2015","CaCO3_2018","CaCO3..20.30.cm.","P_2015","P_2018","N_2015","N_2018","K_2015","K_2018","LC_2015","LC_2018","LU_2015","LU_2018","NUTS_0_2015","NUTS_0_2018","NUTS_1_2015","NUTS_1_2018","NUTS_2_2015","NUTS_2_2018","NUTS_3_2015","NUTS_3_2018","Soil_Stones","Depth","Ox_Al","Ox_Fe","Elev","TH_LAT","TH_LONG"
28842200,28842200,"09-08-18","No",378,NA,NA,NA,NA,5.4,4.9,5.65,5.99,9.73,5.35,17.4,"16.5","",0,NA,NA,37.1,"31.1",1.9,"2.1",264.8,"148","B12","B16","U111","U111","PT","PT","PT1","PT1","PT11","PT11","PT11E","PT11E",1,"0-20 cm",NA,NA,423,41.41215899,-7.287754038
28842290,28842290,"21-07-18","No",1103,36,10,28,62,3.2,3.1,4.03,4.35,21.3,8.08,135.9,"170.6","",0,NA,NA,23.2,"11.9",11.7,"11.8",247.8,"168.4","D20","D20","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES113","ES113",1,"0-20 cm",NA,NA,1325,42.20104377,-7.517581542
28842314,28842314,"18-06-18","No",231,NA,NA,NA,NA,4.4,4.3,5.05,5,3.84,6.52,64.2,"75.1","",0,"4",NA,0,"< LOD",3.6,"4.5",44.2,"37.3","C32","C32","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,623,42.41117609,-7.580243026
28842386,28842386,"16-05-18","No",53,NA,NA,NA,NA,4.5,4.4,4.57,4.66,43.6,54.15,45.1,"69.6","",1,"1",NA,9.4,"12.6",5,"6.3",55.5,"179.6","E20","E20","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,515,43.04097366,-7.771814422
28861884,28861884,"07-08-18","No",198,NA,NA,NA,NA,6,6.2,6.29,6.52,17.17,4.86,6.7,"6.5","",0,NA,NA,58.4,"61.1",0.6,"0.6",259.3,"245.1","B81","B81","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",NA,NA,338,38.63507557,-6.518251844
28862140,28862140,"12-06-18","No",1210,NA,NA,NA,NA,4.7,5.4,5.52,5.96,2.68,4.66,5.4,"12.9","6.6",0,NA,NA,19.8,"22.8",0.7,"1.2",66.5,"85.8","D10","D10","U420","U420","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",2,"0-20 cm",NA,NA,489,40.88952602,-7.115728921
28862248,28862248,"26-07-18","No",237,NA,NA,NA,NA,4.1,4.8,4.78,5.83,2.22,6.31,10.8,"16.3","",0,NA,NA,19.9,"58.7",1.3,"1.7",41.7,"209","D20","D20","U120","U120","PT","PT","PT1","PT1","PT11","PT11","PT11B","PT11B",1,"0-20 cm",NA,NA,482,41.8372148,-7.385803515
28862294,28862294,"21-07-18","No",1461,33,7,41,52,3.7,3.9,4.15,4.39,7.16,8.22,90,"95.4","",0,NA,NA,15.9,"< LOD",5.3,"5.7",47.3,"54.3","D20","D20","U420","U420","ES","ES","ES1","ES1","ES11","ES11","ES113","ES113",3,"0-20 cm",NA,NA,1319,42.2402476,-7.504314867
28882080,28882080,"22-07-18","No",503,37,4,75,21,5.9,4.9,6.32,5.58,7.46,15.77,23.4,"49.9","",1,NA,NA,27.6,"38.7",2,"4.9",175.9,"191.5","E20","E20","U111","U111","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",1,"0-20 cm",NA,NA,910,40.3661851,-6.947443508
28882296,28882296,"21-07-18","No",975,23,9,43,48,4.2,4.1,4.82,4.49,9.69,21.8,83.9,"106.6","",1,NA,NA,10.2,"14.6",7.7,"8.6",112,"162.8","C10","C10","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES113","ES113",1,"0-20 cm",NA,NA,1093,42.26193318,-7.485837328
28882332,28882332,"16-06-18","No",84,NA,NA,NA,NA,4.3,4.3,4.83,4.81,4.88,13.59,68.7,"96.9","",0,NA,NA,10.5,"31.1",4.9,"6.4",103.4,"238.8","D20","D20","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,570,42.57710793,-7.580042734
28882422,28882422,"02-06-18","No",1779,NA,NA,NA,NA,4.3,4.4,4.9,4.72,9.11,31.18,51.2,"112.9","",0,NA,NA,16.5,"73",3.8,"8.8",110.4,"202.3","E20","E20","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,575,43.36406399,-7.821491718
28901658,28901658,"17-07-18","No",50,NA,NA,NA,NA,7.6,7.6,8.24,8.03,17.12,23.8,2.5,"4","",38,"20",NA,36.6,"25.5",0.7,"0.5",203.6,"214.5","B34","B34","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",1,"0-20 cm",NA,NA,66,36.64281418,-5.992368545
28901850,28901850,"24-06-18","No",1088,NA,NA,NA,NA,5.9,6.8,6.26,7.14,18.92,20.3,7.8,"9","",1,"4",NA,12.4,"< LOD",1.1,"1.2",148.5,"87.1","F40","B11","U112","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",0.5,1.9,573,38.34255565,-6.398400661
28901914,28901914,"01-08-18","No",1110,NA,NA,NA,NA,6.9,6.5,7.01,6.61,12.47,8.06,6.4,"5.7","",0,NA,NA,9.4,"< LOD",0.8,"0.8",109.1,"68.5","B12","E30","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",NA,NA,247,38.9076952,-6.540253076
28902018,28902018,"01-06-18","No",71,25,17,34,49,5.9,5.5,6.14,5.96,6.37,27.02,20.3,"15.6","",0,NA,NA,29,"27.7",2.3,"2.1",144.3,"172.8","E20","E20","U410","U111","ES","ES","ES4","ES4","ES43","ES43","ES432","ES432",3,"0-20 cm",NA,NA,373,39.82452511,-6.778119257
28902084,28902084,"22-07-18","No",303,NA,NA,NA,NA,5.4,5.2,5.84,6.1,2.88,2.94,7.7,"10.6","",0,NA,NA,4.2,"< LOD",0.7,"1.1",71,"100.5","E10","D10","U111","U415","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",1,"0-20 cm",1,1.6,888,40.40538675,-6.933982987
28902094,28902094,"31-07-18","No",372,NA,NA,NA,NA,4.4,4.6,4.92,5.49,7.05,3.99,13.1,"34.7","",0,NA,NA,25.1,"11.6",1.4,"2.6",30.7,"121.7","D10","D10","U111","U111","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",1,"0-20 cm",NA,NA,777,40.49333039,-6.957941428
28902148,28902148,"12-06-18","No",1227,NA,NA,NA,NA,5.5,4.8,5.83,5.35,6.28,13.09,10.7,"10.1","",0,NA,NA,26.8,"26.5",1.1,"1.1",109.2,"85.7","B81","B81","U111","U111","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",2,"0-20 cm",NA,NA,502,40.96792769,-7.088910136
28902174,28902174,"08-08-18","No",1419,NA,NA,NA,NA,4.3,4.1,4.78,4.91,8.24,9.8,4.2,"5.2","",0,NA,NA,51.8,"73.2",0.6,"0.7",118.4,"106.8","B82","B82","U111","U111","PT","PT","PT1","PT1","PT11","PT11","PT11D","PT11D",1,"0-20 cm",NA,NA,604,41.19625808,-7.152942799
28902202,28902202,"09-08-18","No",1507,NA,NA,NA,NA,4.9,4.7,5.41,5.67,3.1,3.4,5.4,"6.4","4.8",0,NA,NA,7.7,"< LOD",0.8,"0.7",103,"82.9","B81","B81","U111","U111","PT","PT","PT1","PT1","PT11","PT11","PT11E","PT11E",2,"0-20 cm",NA,NA,417,41.44202201,-7.222622029
28902396,28902396,"23-05-18","No",1470,NA,NA,NA,NA,4.2,4.2,4.75,4.9,6.59,7.49,22,"39.1","",0,NA,NA,13.1,"13.4",2.1,"3",96.9,"113.1","C22","C22","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,553,43.14110222,-7.726847656
28921674,28921674,"20-07-18","No",1179,NA,NA,NA,NA,7.5,7.4,8.12,7.67,15.61,13,11.7,"10.9","",337,"334",NA,19,"22",1.3,"1.3",286.2,"237.2","B31","E30","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",2,"0-20 cm",NA,NA,128,36.78847971,-6.003230649
28921678,28921678,"08-07-18","No",1408,NA,NA,NA,NA,7.6,7.5,8.21,7.63,15.84,13.91,12.9,"12.2","",329,"343",NA,17.1,"15.8",1.2,"1.3",363.4,"380.3","B31","F40","U111","U112","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",1,"0-20 cm",NA,NA,128,36.82394847,-6.011439937
28921702,28921702,"07-07-18","No",1197,NA,NA,NA,NA,7.8,7.8,8.04,8.3,156.7,54.97,14.2,"9.3","",154,"189",NA,49.2,"27.8",1.8,"1.1",1224.9,"1031.1","B34","B34","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",1,"0-20 cm",0.8,1.3,52,37.03670128,-6.060947078
28921890,28921890,"06-08-18","No",834,NA,NA,NA,NA,7.5,7.7,8.16,8.12,12.53,18.18,8.3,"7.8","",250,"385",NA,11,"< LOD",0.7,"0.7",147.1,"147.5","B82","E30","U111","U112","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",2,"0-20 cm",NA,NA,359,38.69974729,-6.464186566
28921962,28921962,"12-07-18","No",1291,34,25,39,36,4.7,6.1,5.41,6.56,4.65,13.04,13.3,"9.4","",0,"2",NA,0,"< LOD",1,"0.8",36.8,"48.6","E10","C10","U111","U120","ES","ES","ES4","ES4","ES43","ES43","ES432","ES432",3,"0-20 cm",NA,NA,435,39.33502044,-6.626206372
28922052,28922052,"02-06-18","No",1329,28,20,18,62,4.4,4.3,5.03,4.74,5.45,16.62,17.4,"18.8","",1,"2",NA,9.4,"14.3",1.9,"2.1",132.7,"109.4","C10","C10","U120","U120","ES","ES","ES4","ES4","ES43","ES43","ES432","ES432",3,"0-20 cm",NA,NA,490,40.12784697,-6.834987103
28922062,28922062,"02-06-18","No",1656,21,7,69,24,4.8,4.9,5.31,5.16,7.75,24.95,15.9,"19.6","",0,NA,NA,76.1,"107.5",1.6,"2",161.2,"194.2","B81","B81","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES432","ES432",2,"0-20 cm",NA,NA,523,40.21585232,-6.85862645
28922200,28922200,"09-08-18","No",1114,NA,NA,NA,NA,5.8,5.1,6.02,5.94,14.24,4.95,51.4,"19.7","",0,"1",NA,21.1,"< LOD",3.9,"1.7",331.4,"132.6","C10","C10","U120","U120","PT","PT","PT1","PT1","PT11","PT11","PT11E","PT11E",2,"0-20 cm",NA,NA,391,41.42856531,-7.194236448
28922268,28922268,"13-07-18","No",1169,36,23,16,61,4.8,4.6,5.49,5.6,3.75,6.46,11.8,"14.4","",0,NA,NA,0,"< LOD",1.4,"1.6",100.8,"73","D10","D10","U120","U420","ES","ES","ES1","ES1","ES11","ES11","ES113","ES113",3,"0-20 cm",NA,NA,1031,42.02492812,-7.366290708
28922404,28922404,"23-05-18","No",1458,NA,NA,NA,NA,4.4,4.5,4.61,4.63,50.5,37.01,41.3,"39.4","",0,NA,NA,23.8,"15.4",4.4,"4.1",71.1,"230.7","B55","B55","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,481,43.21526513,-7.724443416
28941636,28941636,"18-07-18","No",1062,30,43,18,39,7.3,7.3,7.69,7.56,13.58,15.7,14.9,"15.1","",33,"25",NA,0,"< LOD",2.1,"1.7",600.6,"564.1","B81","B81","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",1,"0-20 cm",0.6,1.5,148,36.45512909,-5.90403163
28941672,28941672,"14-07-18","No",1270,NA,NA,NA,NA,7.5,7.3,8.03,7.62,16.15,15.05,14.4,"9.1","",294,"337",NA,12.3,"27.8",1.2,"1.2",407,"491.4","B31","B11","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",3,"0-20 cm",NA,NA,118,36.77450891,-5.977236243
28941694,28941694,"08-07-18","No",1503,NA,NA,NA,NA,7.7,7.5,8.33,8.02,21.5,26.9,8.7,"10.3","",325,"321",NA,20.3,"12.1",1.4,"1.2",510.4,"651.2","B34","B34","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",1,"0-20 cm",NA,NA,56,36.96957192,-6.022445377
28941730,28941730,"20-06-18","No",395,NA,NA,NA,NA,7.5,7.3,8.04,7.73,19.33,12.8,13.6,"7.6","",193,"248",NA,19.5,"11.1",1.3,"1.1",331.9,"226.8","B81","B81","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",1,"0-20 cm",NA,NA,70,37.28858078,-6.097209413
28941888,28941888,"06-08-18","No",1475,NA,NA,NA,NA,7.7,7.5,8.15,8.33,15.08,13.44,6.7,"5.3","",84,"103",NA,21.7,"< LOD",0.6,"0.6",339.1,"308.7","B82","B82","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",1.3,0.6,370,38.68597704,-6.437274992
28942306,28942306,"31-05-18","No",1336,NA,NA,NA,NA,5,4.7,5.56,5.01,10.7,33,32.9,"46.1","",0,NA,NA,22.2,"27.5",3.4,"4.8",278.3,"338.2","E20","E20","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES113","ES113",2,"0-20 cm",NA,NA,830,42.36200421,-7.440723215
28942378,28942378,"10-05-18","No",447,NA,NA,NA,NA,4.1,3.9,4.96,4.47,7.17,7.21,55.1,"52.4","",0,NA,NA,7.6,"< LOD",3.2,"2.8",37.1,"62.1","C10","C10","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",2,"0-20 cm",NA,NA,483,42.99215988,-7.630526801
28961740,28961740,"20-06-18","No",337,NA,NA,NA,NA,7.5,7.3,8.04,7.74,13.58,14.22,13,"9.3","",340,"375",NA,0,"< LOD",1,"1",171.9,"167.9","B81","B81","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",1,"0-20 cm",NA,NA,141,37.38095128,-6.096078098
28961916,28961916,"01-08-18","No",1041,NA,NA,NA,NA,7.6,7.6,8.17,8.11,14.13,19.45,13.3,"18","",250,"281",NA,24.7,"39",0.9,"1.4",186.1,"369.7","B81","B81","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",NA,NA,276,38.93706228,-6.477087825
28961938,28961938,"10-07-18","No",788,17,21,41,38,5.2,5.9,5.56,6.65,13.69,7.38,11.5,"20","",0,"2",NA,0,"< LOD",1.4,"2.1",60.4,"156.6","E10","C10","U111","U120","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",2,"0-20 cm",NA,NA,382,39.13119642,-6.526486796
28962042,28962042,"23-06-18","No",756,31,16,51,33,4.7,4.4,5.13,5.2,4.06,9.88,10.6,"10.7","",0,NA,NA,26.5,"39.6",1.1,"1.2",23.9,"87.2","B55","B16","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES432","ES432",2,"0-20 cm",NA,NA,330,40.0477875,-6.765611529
28962222,28962222,"17-08-18","No",1383,NA,NA,NA,NA,4.6,4.6,5.3,5.22,2.7,2.62,10.7,"8.8","5.1",0,NA,NA,53.6,"61.5",1,"0.8",65.9,"46","B81","B81","U111","U111","PT","PT","PT1","PT1","PT11","PT11","PT11E","PT11E",2,"0-20 cm",NA,NA,441,41.62979351,-7.2024936
28962240,28962240,"26-07-18","No",1350,NA,NA,NA,NA,4.2,4.3,4.96,5.21,3.48,5.94,9.7,"12.9","11.2",0,NA,NA,20,"24.8",1.1,"1.1",127.8,"227.4","B74","B74","U111","U111","PT","PT","PT1","PT1","PT11","PT11","PT11B","PT11B",2,"0-20 cm",NA,NA,768,41.78768818,-7.247870435
28962348,28962348,"08-05-18","No",1168,NA,NA,NA,NA,3.9,3.6,4.21,4.23,20.9,13.93,81.4,"87.4","",0,NA,NA,29.9,"22.3",4.6,"4.4",44.2,"70.5","C22","C32","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,644,42.73388883,-7.526929234
28962388,28962388,"22-05-18","No",468,NA,NA,NA,NA,4.2,4,4.63,4.28,21.1,22.49,19.6,"32.6","",0,NA,NA,115.9,"100.2",2.1,"2.8",230.5,"275.8","C22","D10","U120","U420","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",4,"0-20 cm",NA,NA,483,43.0838252,-7.633329548
28962406,28962406,"06-08-18","No",1266,NA,NA,NA,NA,5.8,4.8,5.86,5.23,100.2,34.6,64.3,"54.9","",4,"2",NA,13.9,"< LOD",6.4,"5.1",185.8,"189.3","E20","C10","U111","U420","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,486,43.24120678,-7.68176274
28962438,28962438,"01-06-18","No",508,NA,NA,NA,NA,4.1,5.4,4.16,5.72,24.4,19.96,66.2,"36.5","",0,"1",NA,14.5,"< LOD",5.1,"3.2",88,"43","D20","D20","U420","U420","ES","ES","ES1","ES1","ES11","ES11","ES111","ES111",1,"0-20 cm",NA,NA,710,43.52085848,-7.768727579
28981598,28981598,"22-07-18","No",478,7,23,45,33,6.4,6.3,6.7,6.6,17.35,17.1,23.5,"42.8","",1,"3",NA,0,"46",2,"3.7",302,"552","C10","C10","U120","U120","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",1,"0-20 cm",NA,NA,103,36.12518816,-5.78437054
28981732,28981732,"20-06-18","No",975,NA,NA,NA,NA,7.6,7.3,8.15,7.69,16.14,13.21,4,"11.6","",411,"353",NA,11,"< LOD",1,"1.2",126.2,"149.8","B12","B12","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",2,"0-20 cm",0.6,0.3,89,37.31387783,-6.057283997
28982012,28982012,"08-06-18","No",900,43,5,75,20,5.6,5.5,6.11,6.38,2.58,15.36,6.1,"11.8","",0,NA,NA,9.7,"27.8",0.7,"1.5",59.1,"255.2","B81","B81","U111","U415","ES","ES","ES4","ES4","ES43","ES43","ES432","ES432",1,"0-20 cm",NA,NA,380,39.78753259,-6.672839732
28982044,28982044,"23-06-18","No",1539,25,18,46,36,4.3,4.4,5,5.71,2.76,2.65,8,"11.9","",1,NA,NA,0,"< LOD",0.9,"1.4",28.8,"66.7","D20","E10","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES432","ES432",4,"0-20 cm",NA,NA,361,40.06937079,-6.747380246
29001674,29001674,"14-07-18","No",1508,NA,NA,NA,NA,7.5,7.4,8.02,7.64,22.3,14.44,3.9,"6","",458,"431",NA,33.5,"22.4",1.5,"1.2",464.8,"372","B81","B81","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",2,"0-20 cm",0.3,0.4,157,36.80351219,-5.915621028
29001728,29001728,"27-06-18","No",1604,NA,NA,NA,NA,7.2,7.3,8.08,7.98,21.7,15.53,15.1,"11","",223,"257",NA,8,"22.4",0.7,"0.8",222.6,"228.5","B31","B34","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",1,"0-20 cm",NA,NA,56,37.2822212,-6.026896833
29001862,29001862,"17-06-18","No",399,NA,NA,NA,NA,7.5,7.4,7.96,7.8,11.23,13.15,7,"6.1","",6,"150",NA,9.2,"15.3",0.7,"0.7",119.2,"83.2","B82","B82","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",NA,NA,566,38.46791574,-6.312725995
29001908,29001908,"08-08-18","No",1057,NA,NA,NA,NA,5.8,5.4,6.1,5.63,22.8,21.27,10.8,"8.3","",0,NA,NA,23,"20.9",1.1,"0.9",271.8,"230.3","B12","B81","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",0.3,1.6,293,38.87422328,-6.414156402
29002312,29002312,"02-08-18","No",128,NA,NA,NA,NA,4.2,4.1,4.66,4.94,4.35,4.02,41.1,"73.4","",0,"1",NA,5.5,"< LOD",2.6,"3.7",29,"58.3","C22","C22","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES113","ES113",1,"0-20 cm",NA,NA,733,42.42701396,-7.385102902
29002366,29002366,"03-05-18","No",230,NA,NA,NA,NA,4.3,4.3,4.53,4.62,28.7,19.11,42,"34.2","",0,"1",NA,10.7,"< LOD",3.6,"3.1",137.3,"128.5","C32","C10","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,427,42.8997741,-7.52675981
29002376,29002376,"04-05-18","No",53,NA,NA,NA,NA,4.2,4.7,4.34,5.31,23.8,10.71,76,"27.7","",0,"1",NA,20.8,"< LOD",5.2,"2.2",65.4,"50.3","C33","C33","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,461,42.98726747,-7.553325605
29002384,29002384,"26-05-18","No",1098,NA,NA,NA,NA,4.8,4.7,5.06,4.92,32.6,78.2,41.3,"108.6","",1,"1",NA,18.4,"18.7",4.3,"10.4",91.1,"361.2","E20","E20","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,470,43.05724983,-7.57465414
29002402,29002402,"06-08-18","No",1247,NA,NA,NA,NA,4.1,4.2,4.81,4.58,10.53,22.37,46.2,"70.5","",0,NA,NA,9.3,"14.6",3.4,"5.4",78.3,"236.6","C22","D20","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",3,"0-20 cm",NA,NA,515,43.21467001,-7.622891612
29002406,29002406,"06-08-18","No",163,NA,NA,NA,NA,4,3.7,4.09,4.1,41.2,44,55.5,"155.9","",0,NA,NA,19,"22.8",5.4,"10.9",161,"252.7","C10","C10","U120","U120","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,568,43.24964473,-7.633657985
29021648,29021648,"17-07-18","No",1130,17,53,10,37,7.4,7.4,7.93,7.71,15.69,15.45,8.1,"6","",685,"716",NA,8.5,"16",1.3,"1.4",276.6,"208.8","B31","B11","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",2,"0-20 cm",0.4,0.4,204,36.57656968,-5.840977587
29021660,29021660,"16-07-18","No",205,NA,NA,NA,NA,7.6,7.6,8.21,8.19,22.5,20.6,6.2,"8.1","",189,"172",NA,17.9,"12.8",0.8,"0.8",286.3,"293.6","B34","B34","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",1,"0-20 cm",0.6,1.1,75,36.68305592,-5.865255503
29021666,29021666,"16-07-18","No",1307,NA,NA,NA,NA,7.6,7.4,8.13,7.91,16.4,16.65,9.2,"13.3","",287,"267",NA,4.4,"< LOD",1.2,"1.1",327.6,"419.4","B13","B31","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",2,"0-20 cm",NA,NA,113,36.73628946,-5.877434135
29022110,29022110,"28-06-18","No",395,NA,NA,NA,NA,4.9,4.9,5.44,6.05,4.22,2.84,7.7,"8","",0,NA,NA,11.7,"15.3",0.9,"0.9",100.6,"41","F40","B14","U112","U111","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",1,"0-20 cm",0.6,1.7,837,40.65812421,-6.857765868
29022146,29022146,"13-06-18","No",1245,NA,NA,NA,NA,4.5,4.5,5.21,5.77,2.36,2.53,5.1,"5.7","",0,NA,NA,12,"14.1",0.7,"0.7",40.6,"47.7","D20","D20","U112","U415","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",1,"0-20 cm",NA,NA,634,40.97462072,-6.944660675
29022398,29022398,"30-05-18","No",1075,NA,NA,NA,NA,5.1,6.1,5.35,6.29,43.4,40.65,52.2,"58.2","",0,"2",NA,56.9,"45.4",4.5,"4.9",146.4,"161","B55","B55","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",3,"0-20 cm",NA,NA,454,43.18389723,-7.588111904
29022422,29022422,"06-08-18","No",1208,NA,NA,NA,NA,4.1,4.4,4.84,5.48,7.15,4.6,54,"44.4","",0,NA,NA,15.4,"< LOD",4.2,"3.4",90.6,"81.9","E20","D20","U111","U111","ES","ES","ES1","ES1","ES11","ES11","ES112","ES112",1,"0-20 cm",NA,NA,560,43.39373837,-7.65278511
29041604,29041604,"22-07-18","No",1279,18,30,42,29,6.6,7,6.67,7.61,133.8,43.24,10.4,"10.5","",0,"1",NA,8.8,"13.3",1.1,"1",199.2,"271","B19","F40","U111","U112","ES","ES","ES6","ES6","ES61","ES61","ES612","ES612",4,"0-20 cm",NA,NA,56,36.18960337,-5.73112493
29041690,29041690,"05-07-18","No",1437,NA,NA,NA,NA,7.5,7.5,7.9,7.67,60.2,163.8,15,"14.4","",270,"281",NA,12.5,"18.2",1.2,"1.2",587.8,"490.8","E30","E30","U111","U112","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",3,"0-20 cm",NA,NA,61,36.95290901,-5.904463924
29041708,29041708,"27-06-18","No",1119,NA,NA,NA,NA,7.6,7.5,7.88,8.02,64.8,36.04,9.2,"13.1","",295,"250",NA,16,"10.5",1.5,"1.3",762.6,"702.5","B42","B34","U111","U111","ES","ES","ES6","ES6","ES61","ES61","ES618","ES618",1,"0-20 cm",NA,NA,51,37.11250501,-5.941434124
29041862,29041862,"17-06-18","No",1333,NA,NA,NA,NA,7.5,7.4,8.19,7.72,12.66,10.4,11.2,"9.4","",96,"88",NA,5.6,"< LOD",1,"0.9",270.6,"110","B41","B13","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",4,"0-20 cm",NA,NA,550,38.47561594,-6.267904048
29041870,29041870,"30-06-18","No",354,NA,NA,NA,NA,7.6,7.4,8.03,7.74,12.17,11.26,7.9,"8.3","",8,"2",NA,12.6,"17.7",0.8,"0.9",349.7,"298.9","B82","B82","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",0.9,1,511,38.54631399,-6.285375606
29041888,29041888,"06-08-18","No",501,NA,NA,NA,NA,7.6,7.1,8.03,8.14,14.78,11.57,8.6,"8","",240,"255",NA,10.2,"< LOD",0.7,"0.8",262.9,"284","B81","B81","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",2,"0-20 cm",NA,NA,394,38.70534404,-6.324876952
29041898,29041898,"06-08-18","No",1412,NA,NA,NA,NA,6.1,5.6,6.36,6.02,5.98,5.59,1.6,"3.4","",0,NA,NA,9.1,"18",0.1,"0.4",51,"69.6","B82","B82","U111","U111","ES","ES","ES4","ES4","ES43","ES43","ES431","ES431",1,"0-20 cm",NA,NA,362,38.79366983,-6.346936692
29042132,29042132,"14-06-18","No",1210,NA,NA,NA,NA,4.8,4.1,5.39,4.76,3.64,13.21,14.1,"12.2","9.7",0,NA,NA,6.4,"< LOD",1.6,"1.3",93.2,"96.9","C10","C10","U120","U120","PT","PT","PT1","PT1","PT16","PT16","PT16J","PT16J",1,"0-20 cm",NA,NA,677,40.85558051,-6.887533901
29042158,29042158,"11-08-18","No",677,NA,NA,NA,NA,4.7,4.8,5.31,5.86,2.92,2.93,7.4,"10.2","",0,NA,NA,12.2,"< LOD",1.2,"1.5",88.8,"124.3","D20","E30","U420","U420","PT","PT","PT1","PT1","PT11","PT11","PT11D","PT11D",3,"0-20 cm",NA,NA,643,41.08410286,-6.950622623
