"POINTID","pH_CaCl2","pH_H2O","EC","OC","CaCO3","P","N","K","Ox_Al","Ox_Fe","Elev","LC","LC_0","LU","BDsample_0","coarse_mas","geometry"
33722284,4.3,4.65,53.6,50,1,14.7,4.6,151.9,NA,NA,600,"E20","E","U111",0.7705,0.09,c(-1.657235301, 42.99903283)
33722838,5.2,5.94,11.12,27.8,NA,68.1,3.1,113.2,NA,NA,160,"B55","B","U111",1.3335,0.12,c(-2.76169861, 47.91538393)
33722906,6.1,6.68,28.34,19.3,1,133.9,2.4,512.1,NA,NA,197,"B16","B","U111",1.313,0.04,c(-2.916291853, 48.51660649)
33741972,7.6,8.04,25.2,19.1,557,11.5,2.1,236.3,NA,NA,1189,"B13","B","U111",1.2195,0.21,c(-1.113716865, 40.2177153)
33742110,7.3,7.78,30.1,28.4,181,99.7,2.9,427.3,NA,NA,451,"B13","B","U111",1.173,0.51,c(-1.335551189, 41.45057602)
33742170,7.6,8.12,46,10.7,266,48.1,1.2,309.5,NA,NA,291,"B43","B","U111",1.4095,0.49,c(-1.435803584, 41.98588818)
33742314,4.8,5.26,12.14,45.9,NA,NA,3.6,129.5,NA,NA,131,"C10","C","U120",0.626,0.18,c(-1.686406332, 43.26892463)
33762022,7.4,7.93,17.56,14.2,203,NA,1.6,296.7,NA,NA,1304,"B14","B","U111",1.4405,0.24,c(-1.169359917, 40.66733434)
33762094,7.3,7.86,15.68,7.1,7,43,1.1,202.3,NA,NA,813,"B82","B","U111",1.3095,0.49,c(-1.285621493, 41.31044801)
33762144,7.8,7.92,128.3,15.4,243,21,1.3,416.2,0.6,1.4,413,"B13","B","U111",1.087,0.12,c(-1.368309875, 41.75668885)
33762184,7.8,8.23,16.73,14.9,261,11.4,1.7,235.2,NA,NA,489,"F40","F","U112",1.0865,0.1,c(-1.435645722, 42.11346876)
33762252,7.5,8.12,17.09,19.1,177,22.4,2.4,245.6,NA,NA,538,"B13","B","U111",1.3845,0.17,c(-1.552604165, 42.71956664)
33762288,6.6,6.88,54,42.3,2,27.4,3.8,57.5,NA,NA,886,"D20","D","U111",0.6755,0.12,c(-1.615825118, 43.04022655)
33762832,5.7,6.13,9.99,20.4,NA,153.1,2.1,253.1,2.7,5.9,191,"B11","B","U111",1.3825,0.04,c(-2.695481915, 47.86848572)
33781948,7.4,7.53,237,6.9,37,NA,0.5,106.8,NA,NA,1230,"D20","D","U420",1.3345,0.31,c(-1.030080024, 40.00832128)
33781984,7.7,8.32,14.93,2.4,299,NA,0.5,127.4,NA,NA,1013,"F40","F","U112",1.4655,0.21,c(-1.086058857, 40.33029899)
33782062,7.2,7.6,13.98,12.9,7,13.8,1.5,232.9,0.8,1.6,1133,"B14","B","U111",1.5435,0.33,c(-1.210055627, 41.02737139)
33782074,7.5,8.13,16.55,14,242,24,1.3,113.1,NA,NA,1008,"B13","B","U111",1.383,0.31,c(-1.229468429, 41.13454776)
33782872,6.1,6.53,20.59,42.1,NA,119.4,3.6,134.2,NA,NA,299,"E20","E","U111",1.003,0.05,c(-2.758678284, 48.22537983)
33802018,7.2,7.98,15.24,12.6,199,10.9,1,187.8,1.3,0.8,1248,"B41","B","U111",1.475,0.33,c(-1.116296935, 40.63689174)
33802032,7.3,7.55,38.5,40.7,26,NA,4.5,361.3,NA,NA,1360,"D20","D","U420",1.125,0.77,c(-1.13852405, 40.76200988)
33802036,7.3,7.82,18.75,22.3,148,17.5,2.1,192.7,NA,NA,1362,"B14","B","U111",1.309,0.55,c(-1.144896902, 40.79775354)
33802810,5.6,6.28,14.74,27.9,NA,55.4,2.7,189.6,0.5,1.6,177,"B11","B","U111",1.312,0.07,c(-2.59415881, 47.6799518)
33803256,4.5,5.32,22.9,45.4,NA,12.1,3.8,78.4,NA,NA,261,"E20","E","U111",1.035,0.4,c(-3.678545639, 51.61719021)
33822024,7.7,8.25,19.57,8.4,59,10.3,1.3,133.7,0.5,0.5,1247,"B14","B","U111",1.42,0.12,c(-1.102436691, 40.69316324)
33822042,7.5,7.97,22,18.3,507,27.1,2.1,239.1,NA,NA,1250,"F40","F","U112",1.4095,0.68,c(-1.131045529, 40.85401979)
33822298,4.8,5.08,24.2,47.75,NA,10.5,3.8,125.7,NA,NA,281,"C10","C","U120",1.165,0.04,c(-1.560665625, 43.13760798)
33822802,4.2,5.01,10.75,32.1,NA,25.4,3.1,97.7,NA,NA,91,"E30","E","U420",1.231,0.1,c(-2.550355526, 47.61219241)
33842164,7.6,7.99,34,19.7,449,142.5,2.4,535.9,NA,NA,328,"E20","E","U420",1.138,0.2,c(-1.306519253, 41.94595055)
33842206,7.6,8.06,28,14.1,405,NA,1.7,179.9,NA,NA,424,"E30","E","U112",1.225,0.04,c(-1.377241234, 42.32054431)
33842218,7.5,7.99,20.1,12.7,398,11.5,1.7,142.2,NA,NA,446,"B11","B","U111",1.1865,0.12,c(-1.397665625, 42.42753362)
33842866,5.5,6.17,13.17,24,NA,33.7,2.5,151.6,NA,NA,231,"B16","B","U111",1.1575,0.05,c(-2.665457383, 48.18157447)
33862010,7.6,8.19,22.4,8.3,192,12,1.2,686.9,NA,NA,1132,"B13","B","U111",1.272,0.1,c(-1.033665031, 40.57328972)
33862028,7.6,8.1,17.34,14.4,248,13.4,1.8,178.1,1.4,1.2,1388,"B14","B","U111",1.4435,0.3,c(-1.062003366, 40.73419248)
33862060,6.6,6.68,21,17.7,1,NA,1.9,158.3,NA,NA,1227,"D10","D","U420",1.4955,0.66,c(-1.112875193, 41.02014511)
33862160,7.5,8.2,31.5,16.2,336,29.4,2.3,197,0.5,1.4,294,"B52","B","U111",1.0925,0.13,c(-1.276022644, 41.91296036)
33862232,7.5,8.16,15.95,8.2,450,NA,1.2,146.9,NA,NA,482,"B13","B","U111",1.5575,0.13,c(-1.397549205, 42.55506313)
33863294,3.5,4.54,21.72,228.7,NA,52.1,13.7,154.1,NA,NA,388,"E20","E","U111",0.354,0.02,c(-3.695822833, 51.96185128)
33882026,7.7,8.24,15.38,10,474,18.1,1.3,202.5,NA,NA,1298,"B14","B","U111",1.4105,0.23,c(-1.035461941, 40.71894714)
33882074,6.7,6.99,17.53,13.2,4,NA,1.3,106,NA,NA,1049,"E30","E","U112",1.314,0.43,c(-1.111793609, 41.14786249)
33882116,7.6,8.3,16.73,10,157,11.5,1,221,NA,NA,509,"B12","B","U111",1.5255,0.05,c(-1.179769656, 41.5229378)
33882200,7.2,7.73,25.9,16,371,33.1,1.9,129.3,0.4,0.5,453,"B13","B","U111",1.158,0.11,c(-1.319146618, 42.27246692)
33882218,7.5,7.95,48.2,15.8,331,17.8,1.8,201.8,0.7,0.9,498,"B11","B","U111",1.161,0.06,c(-1.349622767, 42.43297391)
33901978,7.6,8.24,15.35,11.3,264,NA,1.1,156.2,NA,NA,1265,"C10","C","U120",1.486,0.41,c(-0.937309457, 40.29235782)
33902036,7.4,7.95,21,12.4,369,11.9,1.4,366.9,NA,NA,1283,"B13","B","U111",1.4255,0.15,c(-1.027829999, 40.81095697)
33902114,7.4,8.38,14.52,5.4,69,NA,0.7,260.2,NA,NA,533,"B12","B","U111",1.6735,0.04,c(-1.152835104, 41.50774582)
33902140,7.5,8.05,22.2,17.8,408,15.7,1.7,82.5,NA,NA,323,"F40","F","U112",1.5105,0.27,c(-1.195361301, 41.73984873)
33902280,5.3,5.86,12.95,62.1,NA,NA,4.4,139.6,NA,NA,1123,"C10","C","U120",0.5665,0.27,c(-1.432051886, 42.98828912)
33902770,6.1,6.65,11.39,25.5,NA,46.2,2.6,293,NA,NA,80,"E20","E","U111",1.5405,0.06,c(-2.376416412, 47.34093071)
33903630,3.7,4.52,38.59,536.9,NA,59.1,23,401.3,NA,NA,73,"D20","D","U111",0.193,0,c(-4.630917571, 54.92160253)
33921980,7.8,8.37,14.95,7.9,85,NA,0.9,182.2,1,0.7,1325,"B15","B","U111",1.7075,0.11,c(-0.917157381, 40.31284744)
33922020,7.5,8.14,21.1,15.7,295,14.2,1.9,125.4,1.9,0.8,1271,"B14","B","U111",1.5315,0.38,c(-0.979287947, 40.67055305)
33922038,7.5,8.02,17.85,11.5,105,12.2,1.2,486.8,NA,NA,1226,"B11","B","U111",1.587,0.33,c(-1.007562889, 40.83145737)
33922196,7.4,7.78,27.4,17,295,26,2.1,247.1,NA,NA,511,"F40","F","U112",1.208,0.25,c(-1.264504585, 42.24219067)
33923916,3.9,5.04,17.29,97.6,NA,11.1,6.6,121.9,NA,NA,61,"D20","D","U111",0.4665,0.11,c(-5.590478094, 57.42975254)
33941950,7.2,7.81,33.5,29.4,152,18.9,2.1,195,NA,NA,1048,"E30","E","U111",1.099,0.2,c(-0.848038706, 40.04702197)
33941964,7.7,8.29,19.67,12.5,352,10.9,1.3,285,NA,NA,1089,"E30","E","U112",1.273,0.59,c(-0.869382064, 40.1722984)
33942022,7.4,7.91,20.1,7.5,2,23.8,1.1,311.4,NA,NA,1275,"F40","F","U112",1.674,0.14,c(-0.959044636, 40.69104573)
33942180,7.3,7.57,35.3,18,434,60,2.2,369.4,NA,NA,364,"B11","B","U111",1.193,0.16,c(-1.21385183, 42.10214695)
33942216,7.5,8.07,19.01,13.9,444,11.2,1.8,165.7,NA,NA,652,"E30","E","U112",1.4455,0.08,c(-1.274167718, 42.42325652)
33943296,4.3,5.1,20.93,46.6,NA,36.4,5.1,121.7,NA,NA,239,"E20","E","U111",1.0585,0.07,c(-3.586557051, 51.99286141)
33961984,7.8,8.36,16.39,5,121,NA,0.8,98,NA,NA,1303,"E30","E","U112",1.726,0.24,c(-0.876817451, 40.35381382)
33962088,7.3,7.7,20.6,6.9,3,NA,1,169,NA,NA,836,"F40","F","U112",1.557,0.32,c(-1.039972574, 41.28348703)
33962116,7.4,8.02,21,20.7,563,17.5,2.3,110,NA,NA,663,"B12","B","U111",1.0605,0.13,c(-1.085043834, 41.53356376)
33962134,7.3,7.78,59.8,13.5,413,17.1,1.9,108.3,NA,NA,312,"B52","B","U111",1.1525,0.33,c(-1.114281576, 41.69427881)
33962182,7.2,7.57,31.2,18.3,293,50.1,2,278.7,NA,NA,386,"B12","B","U111",1.2625,0.29,c(-1.193273631, 42.12266816)
33962884,6.2,6.65,13.27,15.3,NA,104.7,1.7,288.3,NA,NA,192,"B11","B","U111",1.471,0.09,c(-2.546026739, 48.35919191)
33981990,7.4,7.98,17.31,9.3,127,NA,1.4,121,NA,NA,1369,"E20","E","U420",1.6015,0.39,c(-0.862775694, 40.41007205)
33982022,7.6,8.23,17.54,13.4,336,NA,1.4,353.7,NA,NA,1358,"B41","B","U111",1.5225,0.16,c(-0.912289123, 40.69625413)
33982230,7.6,8.19,14.86,11.2,381,17.6,1.5,238.4,0.4,0.5,472,"B11","B","U111",1.2845,0.08,c(-1.249713622, 42.55348687)
33983292,5,5.76,8.72,36.5,NA,21.7,3.7,92.7,NA,NA,277,"E20","E","U111",1.0495,0.16,c(-3.518399276, 51.96428635)
34002034,7.6,8.33,20.4,6.3,438,12.1,1,281.7,NA,NA,1223,"F40","F","U112",1.5755,0.21,c(-0.907596901, 40.80614165)
34002136,7.5,7.8,45.3,13,324,46.2,2,316,NA,NA,271,"B16","B","U111",1.311,0.32,c(-1.070035724, 41.71743086)
34003176,5.2,5.92,8.64,36,NA,NA,3.6,89.9,NA,NA,269,"E20","E","U111",0.9945,0.07,c(-3.186693641, 50.94504632)
34003734,5.3,5.66,22.87,45.1,NA,NA,4,164.8,NA,NA,177,"E20","E","U111",0.6955,0.03,c(-4.817761869, 55.85178887)
34021832,7.4,8.05,15.62,10.5,228,25.9,1,514.3,NA,NA,198,"B76","B","U111",1.378,0.05,c(-0.581462147, 39.00023288)
34022002,7.3,7.92,15.09,11,11,NA,1.2,208.8,NA,NA,1411,"B14","B","U111",1.648,0.23,c(-0.834637077, 40.5225741)
34022030,7.5,7.74,39.5,29.8,231,NA,3.9,246.3,NA,NA,1397,"E20","E","U420",1.1595,0.12,c(-0.877950102, 40.77297349)
34022044,7.6,8.17,16.41,12.6,293,NA,0.9,320.3,0.7,1.8,1229,"B11","B","U111",1.461,0.62,c(-0.899784123, 40.89813797)
34022174,7.6,8.04,31,14.3,336,13,1.9,195.4,NA,NA,431,"B11","B","U111",1.3495,0.38,c(-1.108354909, 42.05927712)
34022278,6.7,6.98,25.5,64.5,4,NA,5.6,165.3,1.7,3.6,937,"E20","E","U111",0.695,0.11,c(-1.283131048, 42.98678893)
34041970,7.2,7.76,18.84,9.7,5,NA,1.2,213,NA,NA,1072,"C10","C","U420",1.625,0.11,c(-0.762490596, 40.23885047)
34041988,7.2,7.75,16.24,21.1,680,NA,1.4,127.2,NA,NA,1626,"C22","C","U120",1.2885,0.12,c(-0.789881314, 40.39990946)
34042006,7.5,8.33,14.11,6.4,62,NA,0.7,129.7,NA,NA,1373,"D20","D","U420",1.8425,0.43,c(-0.817463487, 40.56092927)
34042024,7.7,8.23,18.61,11.5,341,NA,1.4,229.1,NA,NA,1321,"B11","B","U111",1.4785,0.23,c(-0.845238922, 40.72191009)
34062008,7.4,7.92,24.4,13.8,258,NA,1.7,231.5,NA,NA,1314,"B11","B","U111",1.4665,0.07,c(-0.797199627, 40.58139133)
34082060,7.5,8.15,16.05,15.2,698,21.8,1.1,160.4,NA,NA,857,"B11","B","U111",1.5065,0.25,c(-0.854358294, 41.04894123)
34082176,7.4,7.82,23.3,11.8,388,18.9,1.5,202.7,0.4,1.6,421,"B13","B","U111",1.2565,0.18,c(-1.039962153, 42.08506588)
34082784,4.8,5.53,5.28,24.6,NA,NA,2.2,86.4,NA,NA,85,"E20","E","U111",1.4135,0.1,c(-2.170370839, 47.49173388)
34083428,3.1,3.87,20.6,233,NA,18.7,9.8,111.6,NA,NA,301,"C21","C","U120",0.2075,0.47,c(-3.749583449, 53.1784178)
34102020,7.6,8.29,14.56,10.9,604,NA,1.2,119,NA,NA,1326,"D20","D","U420",1.4955,0.38,c(-0.768907994, 40.69385872)
34102106,7.3,7.42,235,15.4,313,NA,1.5,166.9,NA,NA,639,"E30","E","U112",0.9615,0.11,c(-0.903283534, 41.46260968)
34102872,6.3,6.55,12.05,15.7,NA,24.2,1.7,237.9,NA,NA,162,"B11","B","U111",1.366,0.13,c(-2.332989127, 48.27414434)
34102908,6.3,6.79,11.78,11.7,NA,46.1,1.4,132.4,0.7,0.3,120,"B16","B","U111",1.3985,0.13,c(-2.412400845, 48.59279862)
34121886,7.6,8.22,15.64,11,210,39.8,1.2,552.7,1.2,1,159,"B77","B","U111",1.411,0.07,c(-0.545302656, 39.49677715)
34122012,7.2,7.44,13.41,27.7,26,NA,3,251.7,NA,NA,1463,"C22","C","U120",1.347,0.4,c(-0.733277388, 40.624861)
34122850,5.3,5.9,9.58,14.6,NA,33.3,1.7,297.3,0.8,2,130,"B11","B","U111",1.4645,0.06,c(-2.258551691, 48.08232947)
34122882,6.2,6.63,27.91,19.6,1,55.2,2.4,385,NA,NA,131,"B16","B","U111",1.3155,0.09,c(-2.328244768, 48.36567145)
34123300,5.1,5.56,5.96,33.4,NA,11.3,3.7,139.5,NA,NA,280,"E20","E","U111",1.1445,0.13,c(-3.338852794, 52.05786309)
34141774,7.6,8.22,18.81,16.8,614,NA,1.3,176,NA,NA,318,"E10","E","U420",0.9345,0.14,c(-0.363017902, 38.49484144)
34143312,6.5,6.72,42.99,30.8,4,39.1,3.6,427.3,NA,NA,257,"B22","B","U111",1.22,0.16,c(-3.342097379, 52.16689761)
34143322,5,5.78,14.51,53.8,NA,21.5,5.8,364,NA,NA,203,"E20","E","U111",0.959,0.08,c(-3.368899204, 52.25502145)
34161996,6.8,7.29,31.6,36.9,25,NA,4.1,375.1,NA,NA,1533,"D20","D","U420",1.342,0.27,c(-0.6622788, 40.48680592)
34162018,7.6,7.95,25.6,15.5,92,NA,1.3,204.9,NA,NA,1155,"E20","E","U111",1.523,0.2,c(-0.695698774, 40.68363686)
34162032,7.5,8.07,19.53,8.7,158,13.8,1.4,161.2,NA,NA,1092,"F40","F","U112",1.468,0.18,c(-0.717115276, 40.80886294)
34162184,7.4,7.86,15.04,11.3,359,30.8,1.3,108.8,NA,NA,565,"B11","B","U111",1.2965,0.03,c(-0.95736262, 42.16698777)
34162756,6.1,6.29,11.81,15.8,NA,11,1.6,133.5,NA,NA,63,"E20","E","U330",1.548,0.09,c(-2.007188401, 47.25526705)
34181898,7.4,7.97,35.4,17.3,172,76.7,1.3,206.1,NA,NA,172,"B76","B","U111",1.36,0.05,c(-0.493805628, 39.61179972)
34182024,7.4,8.04,13.49,11,371,NA,1.3,61.7,NA,NA,1210,"D10","D","U420",1.609,0.34,c(-0.681461154, 40.73985498)
34182132,7.4,7.77,24.8,18.1,356,12.7,2.2,191.5,NA,NA,269,"E20","E","U420",1.717,0.07,c(-0.849790867, 41.70525946)
34182178,7.6,8.24,24.8,7.6,379,NA,1.2,140.4,NA,NA,499,"F40","F","U112",1.4965,0.05,c(-0.923690087, 42.11604157)
34182744,5.4,5.75,10.13,39.1,NA,NA,3.1,160.4,NA,NA,68,"E20","E","U420",1.1095,0.14,c(-1.956380575, 47.15176337)
34201876,7.4,7.99,31.6,11.1,126,29.7,1.3,388.9,NA,NA,83,"B77","B","U111",1.4425,0.07,c(-0.439023333, 39.41712046)
34201972,6.9,7.16,38,72.7,7,54.1,6.9,655.2,NA,NA,1515,"F40","F","U111",1.041,0.28,c(-0.579671058, 40.27706036)
34202062,7.6,8.12,16.03,13,567,44.4,1.6,209.7,NA,NA,909,"B11","B","U111",1.3265,0.1,c(-0.716350984, 41.08224704)
34202146,7.4,7.49,242,17.1,306,20.1,1.8,257.1,NA,NA,378,"D20","D","U420",1.2695,0.06,c(-0.848333326, 41.83289944)
34202854,5.6,6.2,12.48,19.4,1,15.2,2.3,182.6,1,3.3,102,"B16","B","U111",1.2925,0.06,c(-2.160982991, 48.12961889)
34202866,6.9,7.12,18.64,12.6,NA,116.2,1.5,359,NA,NA,151,"B16","B","U111",1.358,0.07,c(-2.186832906, 48.23590788)
34221974,7.1,7.51,36.4,44.2,503,NA,4.5,317.7,NA,NA,1387,"D10","D","U111",0.965,0.39,c(-0.559411525, 40.29747904)
34222096,7.6,7.72,197.8,11.9,408,13.3,1.4,204.4,NA,NA,430,"E30","E","U112",1.08,0.06,c(-0.745606977, 41.38874717)
34222150,7.6,7.84,246,20.6,331,NA,2.1,367.1,0.4,0.7,405,"B12","B","U111",1.203,0.03,c(-0.830906383, 41.87121449)
34222730,4.6,5.36,11.37,16.4,NA,62.2,1.6,75.8,NA,NA,83,"B55","B","U111",1.191,0.15,c(-1.875707733, 47.03336468)
34242002,7.5,8.04,17.72,70.9,454,NA,1.8,88,NA,NA,1330,"D20","D","U415",1.3685,0.2,c(-0.578030528, 40.55061069)
34242074,7.7,7.79,238,10.5,286,13.1,1.3,433.1,NA,NA,544,"F40","F","U112",1.1605,0.09,c(-0.687802175, 41.19464152)
34242272,5.5,6.05,12.34,60.5,1,NA,6,202.4,NA,NA,1462,"E20","E","U111",0.6685,0.21,c(-1.006249017, 42.96265997)
34261794,7.3,7.75,35,13.5,369,27.4,1.5,798,NA,NA,695,"B81","B","U111",1.0615,0.17,c(-0.254817144, 38.68900137)
34261924,7.3,7.45,201,5.8,493,NA,0.5,70.5,0.3,0.2,457,"B74","B","U111",1.3715,0.2,c(-0.439429378, 39.85469924)
34262082,7.6,8.37,16.36,6.5,343,11.4,0.9,92.8,NA,NA,443,"F40","F","U112",1.3355,0.11,c(-0.676592957, 41.26871232)
34262824,4.7,5.36,9.84,23.1,NA,27.1,2.6,155.6,NA,NA,103,"E20","E","U111",1.3225,0.24,c(-2.017658404, 47.87261547)
34282152,7.7,8.19,62.8,15.1,402,31.2,1.9,426.1,NA,NA,342,"B16","B","U111",1.286,0.19,c(-0.762605094, 41.89681574)
34282836,6,6.31,17.31,28.5,NA,31.7,2.7,138.9,NA,NA,173,"B11","B","U111",1.259,0.04,c(-2.01651553, 47.98188099)
34302328,5.4,5.73,19.56,23.3,1,91.4,2.5,398.4,NA,NA,82,"B32","B","U111",1.042,0.19,c(-1.027640165, 43.46987701)
34302720,5.1,5.54,11.6,8,NA,30.6,0.8,118.4,NA,NA,62,"B55","B","U111",1.647,0.14,c(-1.751502098, 46.95608457)
34322080,7.6,8.25,26,7.3,324,12,0.9,291.2,NA,NA,377,"F40","F","U112",1.3115,0.04,c(-0.602714945, 41.25844336)
34322776,5.6,5.99,8.02,19.5,NA,34.9,1.9,197.5,NA,NA,76,"E30","E","U112",1.322,0.11,c(-1.838901995, 47.45573814)
34342040,7.6,8.16,19.07,11.2,282,22.2,1.1,150.1,NA,NA,877,"B54","B","U111",1.514,0.09,c(-0.518263328, 40.90319354)
34342302,5.9,6.59,15.4,18.1,NA,41.4,2.4,203.5,NA,NA,215,"B16","B","U111",1.4435,0.29,c(-0.934942756, 43.24333961)
34342702,4.7,5.27,12.34,18.2,NA,61.1,1.7,79,0.7,2.5,83,"B55","B","U111",1.1265,0.12,c(-1.663724442, 46.80199878)
34362082,7.5,8.28,22.8,13.8,255,18.2,1.3,111.3,NA,NA,347,"B13","B","U111",1.429,0.26,c(-0.558578425, 41.28137458)
34362150,7.6,8.41,18.56,14.6,381,18.1,1.6,196.2,NA,NA,465,"B14","B","U111",1.397,0.23,c(-0.664105867, 41.88918569)
34362178,7.4,7.81,34.4,15.5,340,32,1.7,206.6,NA,NA,475,"B13","B","U111",1.2335,0.06,c(-0.708390263, 42.13930909)
34362268,5,5.31,35.4,50.5,NA,NA,4,144,NA,NA,1302,"C10","C","U120",0.4335,0.19,c(-0.854132369, 42.94268891)
34381810,7.4,7.74,16.81,24.4,62,71.1,2.7,512.8,NA,NA,128,"E30","E","U112",0.8965,0.22,c(-0.140554363, 38.84710909)
34381904,7.6,8.03,38.8,20.3,158,67.2,2,1115.9,NA,NA,96,"B76","B","U111",1.337,0.05,c(-0.272218952, 39.69023866)
34382138,7.9,8.47,29.6,18.1,456,77.2,1.7,793.8,NA,NA,447,"B13","B","U111",1.343,0.06,c(-0.621481788, 41.78450251)
34382156,7.6,8.19,23.5,14.1,308,NA,1.7,270.9,NA,NA,453,"E30","E","U112",1.436,0.14,c(-0.649697887, 41.94533825)
34382818,6.2,6.56,20.54,16.2,NA,41.6,2.2,185.8,NA,NA,82,"B32","B","U111",1.32,0.06,c(-1.846522451, 47.83680449)
34383700,5.1,5.27,75.43,174,NA,22.9,10,162.2,NA,NA,256,"E20","E","U111",0.491,0.06,c(-4.112954364, 55.62170255)
34402006,7.3,7.89,15.18,17.9,603,NA,1.5,174.7,NA,NA,1233,"D20","D","U111",1.5245,0.42,c(-0.39719876, 40.60639003)
34402118,7.6,7.69,238,15.5,369,15.1,1.7,393.5,NA,NA,330,"F40","F","U112",1.0605,0.04,c(-0.566635819, 41.60827862)
34402168,7.5,7.73,48.9,24.2,341,76.9,2.6,564.6,0.5,2.5,427,"B16","B","U111",1.1,0.04,c(-0.64472208, 42.05508873)
34402178,7.6,7.81,130.5,8.8,423,24.1,1.2,197.3,NA,NA,477,"B11","B","U111",1.358,0.07,c(-0.660526059, 42.14441717)
34402298,5.6,6.2,11.02,20.7,NA,23.5,2.6,76.8,NA,NA,342,"B55","B","U111",1.294,0.08,c(-0.855190638, 43.21550139)
34402352,5,5.68,5.97,19.4,NA,32.1,1.5,118.8,NA,NA,93,"C22","C","U120",1.2215,0.03,c(-0.945915612, 43.69698255)
34402712,5.8,6.38,14.08,19.8,NA,42.6,1.9,214.1,1.1,3.6,73,"B32","B","U111",1.2365,0.1,c(-1.605672448, 46.89921693)
34403276,5.9,6.2,19.18,31.9,NA,27.5,3.1,94.7,NA,NA,218,"E20","E","U111",1.4415,0.05,c(-2.874314396, 51.89126741)
34403672,4.3,5.54,7.78,54.6,NA,NA,4,110,NA,NA,176,"E20","E","U361",1.0575,0.14,c(-3.993681752, 55.37913502)
34422080,7.3,7.66,237,12.5,434,24.2,1.1,112.5,0.4,0.2,322,"B13","B","U111",1.2965,0.32,c(-0.48470806, 41.2710175)
34442320,5.3,5.67,5.76,22.9,NA,NA,2.2,343,NA,NA,208,"E20","E","U111",1.2085,0.1,c(-0.843039395, 43.4169105)
34442708,6,6.47,12.71,13.3,NA,26.8,1.5,131.2,0.8,2.8,102,"B16","B","U111",1.4125,0.25,c(-1.545861418, 46.86930922)
34443266,4.7,5.5,8.61,36.1,NA,24.5,3.8,119.5,NA,NA,40,"E20","E","U111",1.2225,0.01,c(-2.791564372, 51.80930265)
34461998,7.2,7.45,52.9,56.1,506,NA,5.6,318.8,NA,NA,1326,"E10","E","U420",1.071,0.19,c(-0.315359012, 40.54216387)
34462890,6,6.51,10.42,15.6,NA,35.1,1.7,190.7,NA,NA,90,"B16","B","U111",1.359,0.04,c(-1.891290633, 48.48658099)
34482148,8,8.07,421,10.3,316,NA,1.3,151.2,NA,NA,500,"E30","E","U321",1.403,0.09,c(-0.51796161, 41.8864945)
34482192,7.4,7.9,19.43,13.3,314,30.4,1.6,328.7,0.6,0.8,694,"B13","B","U111",1.269,0.11,c(-0.586815086, 42.27963068)
34482660,6.8,7.37,13.25,15,3,110,2.1,309.5,NA,NA,59,"B32","B","U111",1.359,0.08,c(-1.401014983, 46.44854298)
34483296,6.7,6.89,31.26,51.5,7,122.2,5.6,951.2,NA,NA,77,"E20","E","U111",1.2895,0.07,c(-2.810581784, 52.08041134)
34483786,4.8,5.03,9.93,66.2,NA,14.5,6,141.6,2,6,131,"D20","D","U111",0.661,0.4,c(-4.233555411, 56.39476436)
34502056,7.6,8.2,17.49,9.8,394,17.2,0.9,141.1,NA,NA,491,"E30","E","U111",1.447,0.11,c(-0.35427787, 41.06625291)
34502098,7.5,8.02,56.3,38.9,323,229.3,4.1,571.5,1,1.3,245,"B52","B","U111",1.172,0.03,c(-0.417491611, 41.44197549)
34502224,7.4,7.68,24.4,22.9,95,40.7,2.8,521.5,NA,NA,821,"E30","E","U112",0.9875,0.29,c(-0.613553348, 42.56795691)
34503420,6.7,7.14,21.99,24.4,9,15.6,2.2,112.7,NA,NA,150,"E20","E","U111",1.0195,0.09,c(-3.108459156, 53.17748012)
34503730,5.1,5.74,33.8,46.9,NA,70.2,4.1,592.7,NA,NA,122,"E20","E","U111",0.909,0.06,c(-4.020590928, 55.90629901)
34522098,7.6,8.33,43,18,412,30.7,2.5,401.5,NA,NA,270,"B12","B","U111",1.177,0.25,c(-0.393818715, 41.44445863)
34522176,7.5,8.44,20,7.7,319,13.1,1.2,68.6,0.3,0.3,518,"B11","B","U111",1.6145,0.09,c(-0.513766104, 42.14173499)
34522698,5.8,6.36,6.16,11.2,NA,36.9,1.2,112,NA,NA,118,"E30","E","U350",1.4855,0.05,c(-1.422573404, 46.7916248)
34523724,6.2,6.53,23.28,53.7,3,NA,3,121,NA,NA,128,"E20","E","U361",0.9085,0.26,c(-3.970122374, 55.85704417)
34542034,7.5,7.52,234,6.5,239,NA,0.8,108,NA,NA,628,"F40","F","U112",1.2475,0.06,c(-0.274652808, 40.87427331)
34542106,7.9,7.98,323,17.9,272,23.5,1.8,364.9,NA,NA,353,"B12","B","U111",1.141,0.09,c(-0.382250198, 41.51848635)
34542712,5.9,6.4,12.56,13.1,NA,80.2,1.7,71.3,1.1,3.3,109,"B55","B","U111",1.316,0.1,c(-1.423817819, 46.91873112)
34543662,5.3,5.82,30.7,63.6,NA,107.2,5.4,376.3,NA,NA,163,"C10","C","U420",0.218,0.29,c(-3.74580804, 55.31530676)
34561990,6.3,6.6,53.6,308.3,92,39.3,17.9,706.8,NA,NA,1292,"C10","C","U120",0.327,0.27,c(-0.187050395, 40.48272265)
34562164,7.8,8.06,204,14.1,269,30.9,1.9,291.6,0.5,2.5,427,"B13","B","U111",1.5215,0.13,c(-0.447273818, 42.03951085)
