"POINTID","SURVEY_DATE","Depth","pH_CaCl2","pH_H2O","EC","OC","OC..20.30.cm.","CaCO3","CaCO3..20.30.cm.","P","N","K","Ox_Al","Ox_Fe","Elev","NUTS_0","NUTS_1","NUTS_2","NUTS_3","TH_LAT","TH_LONG","LC","LU"
26761864,"27-06-18","0-20 cm",4.5,5.42,3.29,"7.2","5.7",NA,NA,"< LOD","0.5","22.1",NA,NA,78,"PT","PT1","PT18","PT181",38.02110541,-8.812989762,"C22","U120"
26761998,"18-07-18","0-20 cm",3.8,4.87,5.97,"22.8","","1",NA,"< LOD","1","49.3",NA,NA,171,"PT","PT1","PT16","PT16B",39.19392373,-9.154804085,"C10","U120"
26762002,"18-07-18","0-20 cm",7,7.68,12.41,"8.6","","7",NA,"54","0.7","204.5",NA,NA,103,"PT","PT1","PT16","PT16B",39.22887796,-9.16526974,"B72","U111"
26781816,"03-07-18","0-20 cm",4.1,5.12,6.36,"53.6","","2",NA,"< LOD","3.3","65.1",NA,NA,105,"PT","PT1","PT18","PT181",37.60451843,-8.67255033,"C22","U120"
26801866,"18-06-18","0-20 cm",4.3,5.43,2.97,"15.9","","1",NA,"< LOD","0.7","23.9",NA,NA,95,"PT","PT1","PT18","PT181",38.04750108,-8.773652515,"C22","U120"
26802028,"21-06-18","0-20 cm",5,5.76,5.62,"3","","1",NA,"< LOD","0.2","32.4",NA,NA,125,"PT","PT1","PT16","PT16B",39.46508987,-9.188492044,"C10","U120"
26821846,"28-06-18","0-20 cm",5,5.53,10.21,"20.7","",NA,NA,"< LOD","2.4","59.1",NA,NA,210,"PT","PT1","PT18","PT181",37.87653787,-8.702020387,"B15","U111"
26841764,"30-05-18","0-20 cm",7.1,7.79,23.3,"48.9","36.7","124",126,"< LOD","3.5","643.7",1.2,2.2,66,"PT","PT1","PT15","PT150",37.16096582,-8.481015615,"B84","U111"
26841826,"10-07-18","0-20 cm",4.7,5.46,5.2,"15.5","",NA,NA,"10.8","1.7","49.3",1.2,4,185,"PT","PT1","PT18","PT181",37.70546324,-8.630849544,"B11","U111"
26841944,"06-07-18","0-20 cm",4.6,4.87,10.18,"4.3","",NA,NA,"60.4","0.6","36.7",NA,NA,57,"PT","PT1","PT17","PT170",38.73964766,-8.925556639,"B21","U111"
26881938,"06-07-18","0-20 cm",4.5,5.28,11.125,"10.4","17.9",NA,NA,"< LOD","0.85","99.75",NA,NA,66,"PT","PT1","PT17","PT170",38.69604951,-8.865543872,"C10","U120"
26881988,"18-07-18","0-20 cm",6.5,7.04,6.7,"2.8","","1",NA,"< LOD","0.4","154.7",NA,NA,143,"PT","PT1","PT16","PT16B",39.13355529,-8.993777214,"B82","U111"
26921850,"29-06-18","0-20 cm",5.3,6.07,5.81,"14.2","",NA,NA,"< LOD","1.4","55.4",NA,NA,161,"PT","PT1","PT18","PT181",37.93361456,-8.601248224,"E20","U111"
26921874,"19-06-18","0-20 cm",5.2,6.17,4.8,"19.2","","1",NA,"< LOD","1.4","209.3",NA,NA,311,"PT","PT1","PT18","PT181",38.14413084,-8.660429092,"C10","U120"
26941804,"08-07-18","0-20 cm",5.1,6.01,6.65,"27.1","","1",NA,"< LOD","2.3","237.9",NA,NA,197,"PT","PT1","PT18","PT181",37.53415879,-8.4672418,"C10","U120"
