"POINTID","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018"
27421740,"PT","PT1","PT15","PT150"
27421762,"PT","PT1","PT15","PT150"
27421780,"PT","PT1","PT15","PT150"
27421902,"PT","PT1","PT18","PT187"
27422006,"PT","PT1","PT18","PT185"
27422010,"PT","PT1","PT18","PT185"
27461842,"PT","PT1","PT18","PT184"
27461868,"PT","PT1","PT18","PT184"
27461892,"PT","PT1","PT18","PT187"
27462022,"PT","PT1","PT16","PT16I"
27462138,"PT","PT1","PT16","PT16D"
27481828,"PT","PT1","PT18","PT184"
27481840,"PT","PT1","PT18","PT184"
27481894,"PT","PT1","PT18","PT187"
27481972,"PT","PT1","PT18","PT186"
27482128,"PT","PT1","PT16","PT16D"
27501780,"PT","PT1","PT15","PT150"
27501802,"PT","PT1","PT18","PT184"
27501892,"PT","PT1","PT18","PT187"
27521862,"PT","PT1","PT18","PT184"
27521880,"PT","PT1","PT18","PT187"
27522042,"PT","PT1","PT16","PT16I"
27522096,"PT","PT1","PT16","PT16E"
27522114,"PT","PT1","PT16","PT16E"
27541756,"PT","PT1","PT15","PT150"
27541792,"PT","PT1","PT18","PT184"
27541810,"PT","PT1","PT18","PT184"
27541828,"PT","PT1","PT18","PT184"
27542110,"PT","PT1","PT16","PT16E"
27561764,"PT","PT1","PT15","PT150"
