"POINTID","Revisited_point","Coarse","Clay","Sand","Silt","Soil_Stones","Elevation","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3"
26762002,"No",NA,NA,NA,NA,1,294,6.4,6.66,3.86,3.4,1,8.6,0.4,88.2,"B72","U111","PT","PT1","PT16","PT16B"
26781816,"No",NA,NA,NA,NA,1,441,4.1,5.27,4.54,25.9,0,0,2.2,86.9,"C10","U120","PT","PT1","PT18","PT181"
26802028,"No",NA,NA,NA,NA,1,201,6.1,6.53,4.46,4.7,0,6.1,0.4,26.6,"C10","U120","PT","PT1","PT16","PT16B"
26821846,"No",NA,NA,NA,NA,1,68,4.8,5.37,8.2,19.4,0,9.8,2.4,75.7,"E10","U111","PT","PT1","PT18","PT181"
26841758,"No",NA,NA,NA,NA,1,233,7.3,7.75,21.5,37.3,11,6.7,1.2,176.3,"F40","U112","PT","PT1","PT15","PT150"
26841764,"No",NA,NA,NA,NA,4,89,7.4,7.56,24.9,50,148,12.4,3.9,736.9,"B84","U111","PT","PT1","PT15","PT150"
26841826,"No",NA,NA,NA,NA,4,141,6.5,6.6,19.95,15.6,9,11.7,1.7,79.3,"F40","U111","PT","PT1","PT18","PT181"
26841836,"No",NA,NA,NA,NA,2,259,5.3,5.86,17.04,34.3,0,13.1,3.7,139.7,"E20","U111","PT","PT1","PT18","PT181"
26841944,"No",NA,NA,NA,NA,1,300,6.1,6.48,3.58,5.7,0,31.2,0.6,24.3,"E30","U112","PT","PT1","PT17","PT170"
26881938,"No",NA,NA,NA,NA,1,598,4.9,5.59,6.92,17.6,0,9.6,1.4,92.8,"C10","U120","PT","PT1","PT17","PT170"
26921850,"No",NA,NA,NA,NA,1,441,5.5,5.84,8.34,12.1,0,7.2,1.2,59.4,"E20","U111","PT","PT1","PT18","PT181"
26921874,"No",NA,NA,NA,NA,1,146,5.6,5.97,4.49,20.4,0,5,1.7,167.5,"C10","U120","PT","PT1","PT18","PT181"
26921896,"No",NA,NA,NA,NA,1,170,4.4,5.2,1.71,2.9,0,0,0.2,13.6,"C10","U120","PT","PT1","PT18","PT181"
26941804,"No",NA,NA,NA,NA,1,642,5.3,5.91,4.7,20.5,0,4.1,2,196.7,"C10","U120","PT","PT1","PT18","PT181"
26941810,"No",NA,NA,NA,NA,1,550,4.4,5.13,5.32,25,0,4.1,2.2,101.7,"C10","U120","PT","PT1","PT18","PT181"
26942016,"No",NA,NA,NA,NA,4,288,4.2,4.85,5.41,15.3,0,5,1.1,37.3,"C10","U120","PT","PT1","PT16","PT16B"
26961834,"No",NA,NA,NA,NA,1,65,5.1,5.62,3.82,13.7,0,4.1,1.2,73.4,"C10","U120","PT","PT1","PT18","PT181"
26962018,"No",NA,NA,NA,NA,1,209,5.3,5.73,14.89,33.6,0,5,2,116.1,"C10","U120","PT","PT1","PT16","PT16B"
27001846,"No",NA,NA,NA,NA,1,572,4.8,5.45,2.05,4.2,0,4.1,0.4,22,"C10","U120","PT","PT1","PT18","PT181"
27001864,"No",NA,NA,NA,NA,1,215,5.2,5.79,4.92,24.6,0,5,1.9,93.9,"C10","U120","PT","PT1","PT18","PT181"
27001882,"No",NA,NA,NA,NA,1,265,4.7,5.09,11.4,7.6,0,42.1,0.7,34.7,"B41","U111","PT","PT1","PT18","PT181"
27001894,"No",NA,NA,NA,NA,1,60,4.6,5.36,1.92,2.9,0,5.8,0.2,15.1,"C10","U120","PT","PT1","PT18","PT181"
27001936,"No",NA,NA,NA,NA,2,192,6.1,6.42,4.16,6.4,0,22.5,0.7,46.5,"F40","U112","PT","PT1","PT17","PT170"
27002038,"No",NA,NA,NA,NA,1,202,6.7,7.05,13.8,9.2,2,46.7,0.9,139.2,"B72","U111","PT","PT1","PT16","PT16B"
27021938,"No",NA,NA,NA,NA,1,157,3.6,4.28,3.19,9.4,0,6.6,0.4,23.1,"C10","U120","PT","PT1","PT17","PT170"
27022016,"No",NA,NA,NA,NA,1,272,5.2,5.89,7,18.9,0,4.8,1.7,134.5,"C10","U120","PT","PT1","PT18","PT185"
27041840,"No",NA,NA,NA,NA,1,379,4.3,5.11,2.89,4.7,0,11.9,0.6,22.7,"E20","U111","PT","PT1","PT18","PT181"
27041876,"No",NA,NA,NA,NA,1,377,4.5,5.41,2.17,7.1,0,4.7,0.6,196.4,"E20","U111","PT","PT1","PT18","PT181"
27061758,"No",NA,NA,NA,NA,1,570,7.6,8.01,18.62,3.9,695,5.9,1.8,418.8,"B74","U111","PT","PT1","PT15","PT150"
27061888,"No",NA,NA,NA,NA,2,348,5.1,5.75,5.3,11.2,0,5.3,0.9,72.1,"C10","U120","PT","PT1","PT18","PT181"
27061970,"No",NA,NA,NA,NA,1,399,6,6.3,10.56,3.7,0,58.4,0.5,45.9,"B16","U111","PT","PT1","PT18","PT185"
27081828,"No",NA,NA,NA,NA,1,323,5,5.54,4.69,12.1,0,5.5,1.4,43,"C10","U120","PT","PT1","PT18","PT184"
27101760,"No",NA,NA,NA,NA,3,166,7.5,7.92,16.2,14.4,14,13.5,1.7,169.4,"B81","U111","PT","PT1","PT15","PT150"
27101814,"No",NA,NA,NA,NA,1,188,5.2,5.74,4.14,12.8,0,5.3,1.7,99.9,"C10","U120","PT","PT1","PT18","PT184"
27101892,"No",NA,NA,NA,NA,4,310,4.8,5.53,1.56,4.3,0,0,0.3,13.3,"C22","U120","PT","PT1","PT18","PT181"
27101940,"No",NA,NA,NA,NA,1,183,5.5,5.81,3.97,10.3,0,17,1,59.7,"F40","U112","PT","PT1","PT17","PT170"
27101964,"No",NA,NA,NA,NA,1,497,6.1,6.37,12.31,4.2,0,33.9,0.5,60.8,"B42","U111","PT","PT1","PT18","PT185"
27102048,"No",NA,NA,NA,NA,1,58,4.8,5.54,2.87,3.5,2,0,0.3,76.7,"C10","U120","PT","PT1","PT16","PT16F"
27121756,"No",NA,NA,NA,NA,2,388,7.4,7.89,15.72,19.9,744,54.1,2.1,104.6,"B75","U111","PT","PT1","PT15","PT150"
27122016,"No",NA,NA,NA,NA,1,201,7,7.23,21.8,18.7,8,7.2,1.9,139.3,"B81","U111","PT","PT1","PT18","PT185"
27141834,"No",NA,NA,NA,NA,1,173,5,5.47,5.19,8.3,0,6.4,0.8,46.8,"E20","U111","PT","PT1","PT18","PT184"
27161812,"No",NA,NA,NA,NA,1,58,6.2,6.52,15.9,15.9,0,13.4,2,27.2,"E10","U111","PT","PT1","PT18","PT184"
27162028,"No",NA,NA,NA,NA,1,162,7.2,7.56,17.74,27.9,357,7.3,3.1,393.7,"B81","U111","PT","PT1","PT16","PT16F"
27181846,"No",NA,NA,NA,NA,1,302,5.3,5.72,5.35,5.9,0,13,0.7,80.1,"B81","U111","PT","PT1","PT18","PT181"
27181912,"No",NA,NA,NA,NA,1,376,6,6.11,9.11,20.8,0,5.3,1.6,85.5,"C10","U120","PT","PT1","PT18","PT187"
27182008,"No",NA,NA,NA,NA,1,433,6.6,6.86,9.43,18.3,2,4.2,1.9,229.8,"E10","U111","PT","PT1","PT18","PT185"
27201772,"No",NA,NA,NA,NA,2,226,6.4,6.57,18.13,22.3,3,0,1.9,144.3,"C10","U120","PT","PT1","PT15","PT150"
27201962,"No",NA,NA,NA,NA,1,593,4.2,4.96,3.84,13.5,0,5,0.9,37.1,"C32","U120","PT","PT1","PT18","PT185"
27202006,"No",NA,NA,NA,NA,2,136,7.3,7.58,16.61,11.7,338,20.7,1.9,156.5,"B43","U111","PT","PT1","PT18","PT185"
27202042,"No",NA,NA,NA,NA,1,85,7.2,7.75,18.87,10,389,13.5,1.3,154.2,"E20","U111","PT","PT1","PT16","PT16F"
27221750,"No",NA,NA,NA,NA,1,71,7.1,7.36,20.8,24.4,551,6.4,1.5,237.4,"D10","U410","PT","PT1","PT15","PT150"
27221804,"No",NA,NA,NA,NA,1,66,5.7,6.08,6.44,11,0,5.5,1.2,42,"E20","U111","PT","PT1","PT18","PT184"
27221822,"No",NA,NA,NA,NA,1,138,5.9,6.15,7.57,15,1,15.2,1.5,172.3,"C10","U120","PT","PT1","PT18","PT184"
27221858,"No",NA,NA,NA,NA,1,230,4.6,5.24,4.03,7.4,0,8.2,0.8,63.4,"E10","U111","PT","PT1","PT18","PT184"
27241758,"No",NA,NA,NA,NA,1,278,7.5,7.89,23,15.4,686,8.7,2,262.6,"B81","U111","PT","PT1","PT15","PT150"
