"POINTID","Elevation","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2","pH_H20","EC","OC","CaCO3","P","N","K","LC","LU","NUTS_0","NUTS_1","NUTS_2","NUTS_3","LC0_Desc.x","Revisited_point","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
26921874,146,NA,NA,NA,NA,1,5.6,5.97,4.49,20.4,0,5,1.7,167.5,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26921896,170,NA,NA,NA,NA,1,4.4,5.2,1.71,2.9,0,0,0.2,13.6,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26941804,642,NA,NA,NA,NA,1,5.3,5.91,4.7,20.5,0,4.1,2,196.7,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26941810,550,NA,NA,NA,NA,1,4.4,5.13,5.32,25,0,4.1,2.2,101.7,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26942016,288,NA,NA,NA,NA,4,4.2,4.85,5.41,15.3,0,5,1.1,37.3,"C10","U120","PT","PT1","PT16","PT16B","Woodland","No",1.068,1.111,NA,1.089,1.0895,0.15,0.988188338138576,0.062855769230769
26961834,65,NA,NA,NA,NA,1,5.1,5.62,3.82,13.7,0,4.1,1.2,73.4,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
26962018,209,NA,NA,NA,NA,1,5.3,5.73,14.89,33.6,0,5,2,116.1,"C10","U120","PT","PT1","PT16","PT16B","Woodland","No",0.956,1.219,NA,1.088,1.0875,0.18,0.96435478839555,0.075288461538462
27001846,572,NA,NA,NA,NA,1,4.8,5.45,2.05,4.2,0,4.1,0.4,22,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
27001864,215,NA,NA,NA,NA,1,5.2,5.79,4.92,24.6,0,5,1.9,93.9,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
27001882,265,NA,NA,NA,NA,1,4.7,5.09,11.4,7.6,0,42.1,0.7,34.7,"B41","U111","PT","PT1","PT18","PT181","Cropland","No",1.43,1.413,1.505,1.421,1.4215,0.03,1.40184800311259,0.016401923076923
27001894,60,NA,NA,NA,NA,1,4.6,5.36,1.92,2.9,0,5.8,0.2,15.1,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
27001936,192,NA,NA,NA,NA,2,6.1,6.42,4.16,6.4,0,22.5,0.7,46.5,"F40","U112","PT","PT1","PT17","PT170","Bareland","No",NA,NA,NA,NA,NA,NA,NA,NA
27002038,202,NA,NA,NA,NA,1,6.7,7.05,13.8,9.2,2,46.7,0.9,139.2,"B72","U111","PT","PT1","PT16","PT16B","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
27021938,157,NA,NA,NA,NA,1,3.6,4.28,3.19,9.4,0,6.6,0.4,23.1,"C10","U120","PT","PT1","PT17","PT170","Woodland","No",1.485,1.527,1.521,1.506,1.506,0.08,1.45284248564238,0.046338461538462
27022016,272,NA,NA,NA,NA,1,5.2,5.89,7,18.9,0,4.8,1.7,134.5,"C10","U120","PT","PT1","PT18","PT185","Woodland","No",1.516,1.27,1.314,1.393,1.393,0.18,1.264175101947,0.096438461538462
27041840,379,NA,NA,NA,NA,1,4.3,5.11,2.89,4.7,0,11.9,0.6,22.7,"E20","U111","PT","PT1","PT18","PT181","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
27041876,377,NA,NA,NA,NA,1,4.5,5.41,2.17,7.1,0,4.7,0.6,196.4,"E20","U111","PT","PT1","PT18","PT181","Grassland","No",NA,NA,NA,NA,NA,NA,NA,NA
27061758,570,NA,NA,NA,NA,1,7.6,8.01,18.62,3.9,695,5.9,1.8,418.8,"B74","U111","PT","PT1","PT15","PT150","Cropland","No",1.305,1.228,1.136,1.267,1.2665,0.09,1.20535837474834,0.043840384615385
27061888,348,NA,NA,NA,NA,2,5.1,5.75,5.3,11.2,0,5.3,0.9,72.1,"C10","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
27061970,399,NA,NA,NA,NA,1,6,6.3,10.56,3.7,0,58.4,0.5,45.9,"B16","U111","PT","PT1","PT18","PT185","Cropland","No",1.245,1.319,1.223,1.282,1.282,0,1.282,0
27081828,323,NA,NA,NA,NA,1,5,5.54,4.69,12.1,0,5.5,1.4,43,"C10","U120","PT","PT1","PT18","PT184","Woodland","No",1.197,1.429,1.43,1.313,1.313,0.26,1.11847588350409,0.1313
27101760,166,NA,NA,NA,NA,3,7.5,7.92,16.2,14.4,14,13.5,1.7,169.4,"B81","U111","PT","PT1","PT15","PT150","Cropland","No",NA,NA,NA,NA,NA,NA,NA,NA
27101814,188,NA,NA,NA,NA,1,5.2,5.74,4.14,12.8,0,5.3,1.7,99.9,"C10","U120","PT","PT1","PT18","PT184","Woodland","No",1.269,1.359,1.273,1.314,1.314,0.12,1.23097382816339,0.060646153846154
27101892,310,NA,NA,NA,NA,4,4.8,5.53,1.56,4.3,0,0,0.3,13.3,"C22","U120","PT","PT1","PT18","PT181","Woodland","No",NA,NA,NA,NA,NA,NA,NA,NA
27101940,183,NA,NA,NA,NA,1,5.5,5.81,3.97,10.3,0,17,1,59.7,"F40","U112","PT","PT1","PT17","PT170","Bareland","No",NA,NA,NA,NA,NA,NA,NA,NA
