"SURVEY_DATE","POINTID_2018","Elev","Depth","Coarse","Clay","Sand","Silt","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","OC..20.30.cm.","CaCO3_2018","CaCO3..20.30.cm.","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","NUTS_0_2018","NUTS_1_2018","NUTS_2_2018","NUTS_3_2018","TH_LAT","TH_LONG","LC_2018","LU_2018","BD.0.10","BD.10.20","BD.20.30","BD.0.20","BDsample_0","coarse_mas","BDfine_0_2","coarse_vol"
"09-07-18",26941810,175,"0-20 cm",NA,NA,NA,NA,1,4.5,5.38,8,"31.1","","1",NA,"< LOD","2.4","135.3",NA,NA,"PT","PT1","PT18","PT181",37.58685722,-8.481727657,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"16-08-18",26942016,242,"0-20 cm",NA,NA,NA,NA,4,3.9,4.49,5.89,"15","",NA,NA,"< LOD","1.2","38.2",NA,NA,"PT","PT1","PT16","PT16B",39.39184536,-8.998901767,"C10","U120",1.068,1.111,NA,1.089,1.0895,0.15,0.988188338138576,0.062855769230769
"30-06-18",26961834,145,"0-20 cm",NA,NA,NA,NA,1,4.8,5.74,4.66,"13.6","","1",NA,"< LOD","1.1","96.8",NA,NA,"PT","PT1","PT18","PT181",37.80194714,-8.517892982,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"05-07-18",26962018,259,"0-20 cm",NA,NA,NA,NA,1,5,5.67,12.67,"39.8","",NA,NA,"< LOD","2.4","110.1",NA,NA,"PT","PT1","PT16","PT16B",39.41382056,-8.981530426,"C10","U120",0.956,1.219,NA,1.088,1.0875,0.18,0.96435478839555,0.075288461538462
"01-07-18",27001846,129,"0-20 cm",NA,NA,NA,NA,1,4.5,5.31,3.69,"3.3","","1",NA,"< LOD","0.3","27.7",NA,NA,"PT","PT1","PT18","PT181",37.91600888,-8.502923022,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"19-06-18",27001864,255,"0-20 cm",NA,NA,NA,NA,1,4.5,5.49,5.75,"32.5","","1",NA,"< LOD","2.1","201.6",NA,NA,"PT","PT1","PT18","PT181",38.07396855,-8.547006763,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"17-06-18",27001882,146,"0-20 cm",NA,NA,NA,NA,1,4.8,5.47,7.58,"8.2","7.3",NA,NA,"38.5","0.7","42.6",NA,NA,"PT","PT1","PT18","PT181",38.23186429,-8.591381992,"B23","U111",1.43,1.413,1.505,1.421,1.4215,0.03,1.40184800311259,0.016401923076923
"09-07-18",27001936,99,"0-20 cm",NA,NA,NA,NA,2,5.7,6.28,4.53,"6.5","",NA,NA,"22.5","0.7","38.6",NA,NA,"PT","PT1","PT17","PT170",38.70516812,-8.726281891,"E30","U112",NA,NA,NA,NA,NA,NA,NA,NA
"30-06-18",27002038,71,"0-20 cm",NA,NA,NA,NA,1,6.1,6.64,13.26,"11.5","",NA,NA,"81.6","1.3","186",NA,NA,"PT","PT1","PT16","PT16B",39.59761767,-8.988560552,"B72","U111",NA,NA,NA,NA,NA,NA,NA,NA
"09-07-18",27021938,106,"20-30 cm",NA,NA,NA,NA,1,NA,NA,NA,"","2.8","",NA,"","","",NA,NA,"PT","PT1","PT17","PT170",38.72710826,-8.708951935,"C10","U120",1.485,1.527,1.521,1.506,1.506,0.08,1.45284248564238,0.046338461538462
"07-05-18",27022016,221,"0-20 cm",NA,NA,NA,NA,1,6.4,6.93,7.05,"6.4","5.8","1",NA,NA,"0.5","57.7",1.4,2.6,"PT","PT1","PT18","PT185",39.40977721,-8.908556192,"B81","U111",1.516,1.27,1.314,1.393,1.393,0.18,1.264175101947,0.096438461538462
"30-06-18",27041840,118,"0-20 cm",NA,NA,NA,NA,1,4.7,5.71,4.83,"6.2","",NA,NA,"13.5","0.8","45.1",NA,NA,"PT","PT1","PT18","PT181",37.87204858,-8.444053459,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"20-06-18",27041876,129,"0-20 cm",NA,NA,NA,NA,1,4.8,5.88,2.97,"6","",NA,NA,"< LOD","0.7","30.4",NA,NA,"PT","PT1","PT18","PT181",38.18799401,-8.532129552,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"08-06-18",27061758,182,"0-20 cm",NA,NA,NA,NA,1,7,7.78,16.61,"21.1","16.3","577",627,"< LOD","1.8","360.2",NA,NA,"PT","PT1","PT15","PT150",37.15573516,-8.225788031,"B74","U111",1.305,1.228,1.136,1.267,1.2665,0.09,1.20535837474834,0.043840384615385
"17-06-18",27061888,133,"0-20 cm",NA,NA,NA,NA,2,4.8,5.96,3.46,"9.5","","1",NA,"< LOD","0.7","73.6",NA,NA,"PT","PT1","PT18","PT181",38.29762997,-8.539497845,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"01-06-18",27061970,82,"0-20 cm",NA,NA,NA,NA,1,5.3,5.65,13.14,"3.3","3.2",NA,NA,"54.9","0.4","28.5",NA,NA,"PT","PT1","PT18","PT185",39.01619339,-8.745206354,"B21","U111",1.245,1.319,1.223,1.282,1.282,0,1.282,0
"13-05-18",27081828,181,"0-20 cm",NA,NA,NA,NA,1,4.8,5.86,3.65,"11","6.7",NA,NA,"< LOD","1.2","42.7",NA,NA,"PT","PT1","PT18","PT184",37.77534776,-8.370764946,"C10","U120",1.197,1.429,1.43,1.313,1.313,0.26,1.11847588350409,0.1313
"23-07-18",27101814,244,"0-20 cm",NA,NA,NA,NA,1,5.4,5.81,4.61,"20.7","12.9",NA,NA,"< LOD","1.8","81.8",NA,NA,"PT","PT1","PT18","PT184",37.65667873,-8.314985341,"C10","U120",1.269,1.359,1.273,1.314,1.314,0.12,1.23097382816339,0.060646153846154
"15-06-18",27101892,104,"0-20 cm",NA,NA,NA,NA,4,4.4,5.36,3.77,"5.5","","1",NA,"< LOD","0.3","19.3",NA,NA,"PT","PT1","PT18","PT181",38.34145735,-8.504861164,"C32","U120",NA,NA,NA,NA,NA,NA,NA,NA
"09-07-18",27101940,89,"0-20 cm",NA,NA,NA,NA,1,5.5,6.18,5.82,"6.1","",NA,NA,"23.6","0.7","75.9",NA,NA,"PT","PT1","PT17","PT170",38.76226676,-8.624439327,"E20","U111",NA,NA,NA,NA,NA,NA,NA,NA
"01-06-18",27101964,93,"0-20 cm",NA,NA,NA,NA,1,5.9,6.37,9.41,"2.6","",NA,NA,"41.7","0.4","30.4",NA,NA,"PT","PT1","PT18","PT185",38.97250221,-8.685027762,"B21","U111",NA,NA,NA,NA,NA,NA,NA,NA
"21-06-18",27102048,223,"0-20 cm",NA,NA,NA,NA,1,4.9,5.84,3.73,"4.8","","2",NA,NA,"0.2","36.7",NA,NA,"PT","PT1","PT16","PT16F",39.7074376,-8.901391332,"C10","U120",NA,NA,NA,NA,NA,NA,NA,NA
"14-07-18",27121756,239,"0-20 cm",NA,NA,NA,NA,2,7.3,8,17.18,"26","","711",NA,"23","2.6","177.4",NA,NA,"PT","PT1","PT15","PT150",37.15098681,-8.155341858,"F40","U415",NA,NA,NA,NA,NA,NA,NA,NA
