"POINTID","Elev","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","CaCO3_2018","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","LC_0","LC_2018","LU_2018","BDsample_0","coarse_mas","geometry"
33062106,799,"1",7.5,8.01,21.4,13.7,337,15.7,1.6,359.5,NA,NA,"F","F40","U112",1.1815,0.13,c(-2.1313643, 41.31976164)
33062278,0,"3",7.4,7.96,21.9,13.4,270,22.7,1.7,393.8,NA,NA,"B","B41","U111",1.3305,0.41,c(-2.44463858, 42.8504417)
33062848,139,"3",5.8,6.37,12.83,26.8,1,104,2.9,386.8,0.8,1.9,"B","B16","U111",1.0805,0.07,c(-3.655922453, 47.89797461)
33081708,243,"2",7.6,7.73,276,50.1,84,57.5,1.5,412.4,NA,NA,"B","B43","U111",0.838,0.06,c(-1.459423568, 37.76599437)
33081874,745,"1",7.5,8.12,14.43,8.9,126,28.5,0.9,319.6,NA,NA,"E","E30","U112",1.212,0.19,c(-1.717958936, 39.25197413)
33081892,794,"1",7.4,8.25,14.41,6.7,464,14.5,0.9,475,NA,NA,"E","E30","U112",1.387,0.09,c(-1.746978454, 39.41288115)
33082116,913,"1",7.4,7.44,247,16.5,502,10.8,1.4,283.8,NA,NA,"F","F40","U112",0.9305,0.09,c(-2.125399492, 41.41174957)
33082864,204,"1",5.2,5.35,38.91,145,NA,31.8,11.5,214,NA,NA,"E","E20","U111",0.5975,0.07,c(-3.667921422, 48.04244428)
33102006,1514,"1",7.3,7.55,22.7,47.3,10,NA,4.7,774.8,NA,NA,"D","D10","U420",0.971,0.23,c(-1.912226464, 40.4338068)
33102046,1294,"1",7.4,7.8,13.59,37.9,35,NA,3.5,425.5,NA,NA,"C","C23","U420",1.024,0.09,c(-1.980224426, 40.79065063)
33102114,996,"1",7.5,8.01,16.48,20.4,230,25.7,2.2,550.4,NA,NA,"B","B18","U111",1.2005,0.13,c(-2.09827597, 41.39681864)
33102208,1212,"1",6.2,6.3,50.1,39.9,2,19.6,4.1,486.4,NA,NA,"D","D20","U111",0.9925,0.19,c(-2.266740509, 42.23380467)
33122048,1220,"1",5.9,6.28,6.73,39.5,1,NA,3.6,190.8,NA,NA,"C","C22","U420",0.917,0.22,c(-1.960266634, 40.81133822)
33122098,860,"1",7.6,8.23,14.76,8,268,11.2,0.7,126.8,NA,NA,"B","B13","U111",1.186,0.08,c(-2.046669676, 41.25711782)
33122120,1025,"1",7.4,7.81,22.8,19.6,275,11.3,1.8,361.7,0.7,0.7,"B","B53","U111",1.171,0.3,c(-2.085224929, 41.45316118)
33122156,1082,"1",7.3,7.98,11.49,9.5,20,24.7,1,185.1,NA,NA,"B","B13","U111",1.3445,0.05,c(-2.149038077, 41.77382912)
33141710,226,"1",7.6,7.77,111.2,11.8,453,68.2,1.7,695.8,NA,NA,"B","B43","U111",0.9005,0.06,c(-1.395338631, 37.79202638)
33141740,335,"1",7.5,7.93,65.9,9.4,626,15.1,0.9,412.6,0.2,0.8,"B","B75","U111",1.2215,0.18,c(-1.440656449, 38.06088473)
33141808,799,"1",7.7,8.28,14.73,19.3,303,12.8,0.8,145.5,0.6,0.4,"B","B13","U111",1.2955,0.17,c(-1.545279412, 38.66984068)
33142100,826,"1",7.6,8.1,15.34,6.6,210,NA,1,288.4,NA,NA,"B","B13","U111",1.1535,0.04,c(-2.026605733, 41.27781232)
33142268,1073,"1",6.9,7.17,29.2,43.6,13,NA,3.3,163.7,NA,NA,"C","C10","U120",1.085,0.22,c(-2.329362662, 42.77339492)
33142852,140,"1",4.8,5.36,11.02,29.4,NA,22.5,3,96.1,NA,NA,"E","E20","U111",1.037,0.05,c(-3.559942128, 47.94647337)
33161724,374,"1",7.8,8.29,110.5,5.6,446,NA,0.6,239.6,NA,NA,"F","F40","U112",1.264,0.1,c(-1.394012703, 37.92020637)
33161742,360,"1",7.4,8.13,32.9,8.9,605,11.6,0.7,333.2,NA,NA,"B","B74","U111",1.0535,0.04,c(-1.42123315, 38.08150897)
33161828,925,"1",7.9,8.53,11.59,53.6,110,NA,0.4,157,NA,NA,"B","B74","U111",1.623,0.1,c(-1.553850537, 38.8515672)
33162048,1163,"1",7.8,8.35,18.23,13,218,14.8,0.9,514.4,NA,NA,"B","B13","U111",1.2135,0.07,c(-1.913490159, 40.81702316)
33162080,1214,"1",7.4,7.94,14.14,61.5,481,NA,3,116.4,NA,NA,"C","C10","U420",1.112,0.32,c(-1.968387898, 41.10238864)
33162228,401,"1",7.4,8.01,18.12,13,122,22.2,1.7,500.8,NA,NA,"F","F40","U111",1.275,0.08,c(-2.231451668, 42.42054454)
33181700,242,"1",7.5,7.98,31,14,390,10.1,1.4,562.2,NA,NA,"E","E30","U112",0.6455,0.19,c(-1.335657043, 37.70774894)
33181812,819,"1",7.7,8.51,15.7,6.4,380,28.5,0.7,302.9,NA,NA,"B","B82","U111",1.3535,0.37,c(-1.50618454, 38.7111052)
33182050,1125,"1",7.5,8.21,13.52,9.9,297,18.4,0.9,377.2,0.7,0.6,"B","B14","U111",1.048,0.12,c(-1.89350385, 40.83769741)
33182064,1256,"1",7.5,8.12,15.92,19.2,324,23.1,1.9,635.8,NA,NA,"B","B11","U111",1.076,0.15,c(-1.917411132, 40.96256373)
33182122,1072,"1",7.5,7.99,15.32,12.8,407,16.8,0.9,155.3,NA,NA,"B","B11","U111",1.189,0.09,c(-2.017858768, 41.47960489)
33182158,1154,"2",5.6,5.89,12.28,21.9,NA,NA,1.6,175.1,NA,NA,"C","C10","U120",1.2245,0.03,c(-2.081364563, 41.80031635)
33182222,464,"3",7.5,8.19,16.72,8.8,69,18.1,1,254.7,NA,NA,"B","B82","U111",1.1805,0.05,c(-2.196518313, 42.37007654)
33182230,387,"4",7.6,8.13,30.4,12.6,231,26.4,1.7,658.1,NA,NA,"B","B82","U111",1.2255,0.04,c(-2.211119414, 42.44126144)
33202038,1407,"1",7.4,7.88,12.72,35.5,37,NA,3.3,408.1,NA,NA,"C","C10","U420",1.0555,0.08,c(-1.849754281, 40.7334734)
33202088,998,"1",7.5,8.1,14.26,5.5,204,11.8,0.8,203.7,NA,NA,"B","B31","U111",1.048,0.11,c(-1.935177736, 41.17941034)
33221806,826,"3",7.6,8.43,12.83,18.8,130,NA,0.7,98.2,NA,NA,"E","E20","U111",1.3795,0.33,c(-1.451562407, 38.66283388)
33222072,1293,"1",7.5,8.02,14.11,5.6,731,40.6,0.8,178.2,NA,NA,"B","B13","U111",1.149,0.22,c(-1.884189041, 41.03957909)
33222076,1235,"3",7.5,8.02,16.65,24.8,169,NA,1.4,310.1,NA,NA,"D","D10","U420",1.267,0.15,c(-1.891039192, 41.07525038)
33222206,734,"1",7.4,8.25,10.23,3.7,105,NA,0.6,74.2,0.2,0.1,"B","B74","U111",1.373,0.28,c(-2.119625319, 42.23348722)
33222252,615,"1",7.5,8.04,15.87,12,332,NA,1.3,182,0.6,0.7,"B","B13","U111",1.013,0.26,c(-2.203368441, 42.64282988)
33222318,440,"3",6.8,7.23,24.4,24.9,5,NA,2.4,89,NA,NA,"E","E20","U111",0.929,0.11,c(-2.326248299, 43.22970386)
33241804,822,"1",7.6,8.24,16.24,5.7,370,20.5,0.8,201.9,NA,NA,"B","B82","U111",1.572,0.21,c(-1.425824231, 38.64763794)
33241828,960,"2",7.5,8.29,14.92,11.3,105,13.5,1,279.5,NA,NA,"E","E30","U112",1.354,0.08,c(-1.462983429, 38.86247804)
33242254,552,"3",7.5,8.04,22.3,12.9,83,39.4,1.4,256.3,NA,NA,"B","B74","U111",0.944,0.39,c(-2.182961837, 42.66353901)
33261874,774,"3",7.7,8.19,14.71,4.8,289,16.2,0.9,205.6,NA,NA,"F","F40","U112",1.25,0.37,c(-1.512296501, 39.27677465)
33261978,1518,"2",7.1,7.38,31.1,115.5,325,11.2,4.5,208.1,NA,NA,"C","C22","U120",0.91,0.41,c(-1.679884, 40.20628735)
33262202,624,"3",7.5,8.22,17.12,5.9,116,14.2,0.5,100.5,0.2,0.4,"B","B73","U111",1.2825,0.07,c(-2.064604681, 42.20365729)
33262896,189,"2",5,5.59,13.17,18,NA,27.9,2.3,140.1,NA,NA,"F","F40","U111",1.3085,0.06,c(-3.506113989, 48.35446226)
33281826,926,"2",7.6,8.22,14.61,4.5,365,21.6,0.7,155.6,NA,NA,"F","F40","U112",1.3655,0.23,c(-1.414442519, 38.84999928)
33282078,1095,"1",7.5,7.88,14.22,14.7,286,25.6,1.3,301.4,NA,NA,"B","B13","U111",1.181,0.21,c(-1.823982948, 41.1015635)
33282856,156,"1",4.3,4.94,16.01,39.5,NA,17.9,4,51,NA,NA,"E","E20","U361",0.917,0.12,c(-3.384494609, 48.00466205)
33301858,770,"3",7.5,8.3,15.14,6.6,458,63,0.8,172.2,NA,NA,"B","B81","U111",1.248,0.16,c(-1.441473625, 39.1390856)
33301954,1182,"2",6.8,7.29,8.03,5.2,3,NA,0.5,84.4,NA,NA,"C","C10","U120",1.51,0.1,c(-1.594405771, 39.99743092)
33302242,504,"3",7.3,7.83,15.98,15.5,346,20.7,1.4,164.6,NA,NA,"B","B11","U111",1.3625,0.04,c(-2.088855342, 42.56547535)
33322034,1420,"2",7.6,8.19,15.84,8.2,204,12.9,1.4,229.2,NA,NA,"F","F40","U112",1.1175,0.12,c(-1.702864558, 40.71460187)
33322042,1223,"1",7.5,8.24,15.28,14.5,500,NA,0.9,365.8,NA,NA,"B","B13","U111",1.096,0.2,c(-1.716246514, 40.78599916)
33322870,302,"1",5.5,6.03,16.88,44.3,NA,112.5,4.4,634.6,5.3,7.1,"E","E20","U111",1.345,0.1,c(-3.364554142, 48.13476006)
33341696,198,"1",7.6,7.88,105.5,6.9,360,59.5,1.2,426.1,0.5,0.3,"B","B13","U111",0.801,0.28,c(-1.150976526, 37.69313879)
33341832,938,"1",7.5,8.31,15,14.4,241,19.9,1.2,456.5,NA,NA,"C","C10","U120",1.2695,0.31,c(-1.355529894, 38.91180396)
33342038,1289,"3",7.3,7.63,24.3,13.4,3,37.7,1.7,437.3,NA,NA,"F","F40","U112",1.04,0.14,c(-1.686176633, 40.75308688)
33342062,1158,"1",7.4,8.03,14.92,2.3,481,13.3,0.9,206.2,NA,NA,"F","F40","U112",1.4465,0.09,c(-1.726433241, 40.96725373)
33342884,278,"2",6.4,6.62,12.15,21,1,97.2,2.5,283.2,1.7,6.8,"F","F40","U111",1.275,0.05,c(-3.371129574, 48.26160419)
33343208,15,"1",7.2,7.23,20.43,17.6,58,24.8,2.1,186,NA,NA,"B","B23","U111",1.354,0.13,c(-4.198340473, 51.11625443)
33362046,1290,"2",5.9,6.47,2.28,5.8,NA,NA,0.5,40,NA,NA,"C","C10","U420",1.685,0.22,c(-1.676152621, 40.82726734)
33362060,1139,"1",7.5,8.02,18.37,24.8,595,NA,2.6,272,NA,NA,"D","D20","U420",1.102,0.18,c(-1.699617954, 40.9521992)
33362096,857,"1",7,7.37,16.86,14.9,1,NA,1.8,191.7,NA,NA,"E","E10","U420",1.304,0.32,c(-1.76054891, 41.27334072)
33363162,243,"1",4.6,5.52,13.08,59.3,NA,67.2,6.2,163.7,NA,NA,"E","E20","U111",0.6515,0.23,c(-4.045355469, 50.71508911)
33382002,1444,"1",7.5,8.25,14.46,13.7,617,NA,1.1,228.7,NA,NA,"D","D20","U420",1.275,0.22,c(-1.579966508, 40.43722255)
33382110,754,"1",7.5,8.04,16.27,9.1,172,NA,1,245.4,NA,NA,"E","E30","U415",1.255,0.31,c(-1.760866079, 41.40099353)
33402066,1145,"1",7.5,8.04,12.49,11.6,22,27.6,1.3,357.9,NA,NA,"B","B13","U111",1.235,0.28,c(-1.662777101, 41.01130276)
33402202,411,"1",7.6,8.38,18.27,4.2,110,18.5,0.7,178.7,NA,NA,"B","B82","U111",1.387,0.12,c(-1.897203316, 42.223699)
33402246,497,"2",7.4,8.08,16.43,15.9,247,25.9,1.8,462.9,NA,NA,"B","B13","U111",1.1085,0.18,c(-1.97578893, 42.61546688)
33421980,1560,"1",7.2,7.76,16.74,33.2,534,NA,1.6,203.3,NA,NA,"D","D20","U420",1.3205,0.26,c(-1.497644362, 40.24619956)
33422016,1474,"1",7.3,7.55,22.8,104.4,156,10.1,8.5,666.1,NA,NA,"D","D10","U420",0.797,0.16,c(-1.55637052, 40.56775008)
33422866,210,"1",4.2,4.74,18.46,68.1,NA,28.4,6,58,NA,NA,"C","C10","U120",0.6335,0.13,c(-3.222652503, 48.11557217)
33422880,269,"1",5,5.73,7.75,26.7,NA,26,2.7,112.2,NA,NA,"E","E20","U350",1.2185,0.11,c(-3.255426908, 48.2392177)
33422902,281,"1",5.2,5.92,13.48,39.2,1,31.4,3.7,278.1,NA,NA,"E","E20","U111",1.1095,0.18,c(-3.307343087, 48.43347565)
33441690,108,"1",7.7,8.26,65.2,7.5,311,68.6,0.9,465.4,NA,NA,"F","F40","U112",0.846,0.08,c(-1.030525078, 37.65241868)
33441708,194,"1",7.6,7.77,114.1,12.6,480,66.1,1.3,655.5,0.3,1,"B","B43","U111",0.865,0.16,c(-1.056690514, 37.81390734)
33442040,1254,"1",6.9,7.16,11.03,6.3,3,12.7,0.8,108.5,NA,NA,"B","B13","U111",1.308,0.29,c(-1.572589303, 40.7847854)
33442076,1095,"1",7.4,7.78,14.61,12.8,381,17,1.2,570.7,NA,NA,"B","B13","U111",1.1025,0.15,c(-1.632582369, 41.10608249)
33442270,1100,"1",6.5,6.65,34,72.6,4,NA,6.6,202.6,NA,NA,"E","E20","U111",0.703,0.18,c(-1.970923869, 42.83480375)
33442932,148,"1",6.2,6.7,11.35,14.9,1,41.5,1.7,114.4,NA,NA,"E","E20","U111",1.3915,0.07,c(-3.352164912, 48.70153973)
33461826,857,"1",7.6,8.28,13.87,8.8,292,21.1,0.7,180,NA,NA,"B","B82","U111",1.363,0.16,c(-1.209921642, 38.87413195)
33462052,1139,"1",7.4,8.08,14.39,29.1,23,NA,3.1,376.7,NA,NA,"D","D20","U420",1.1615,0.43,c(-1.56906407, 40.89466085)
33462168,622,"1",7.6,8.18,15.06,7.5,387,13.5,0.9,113.1,NA,NA,"F","F40","U112",1.308,0.07,c(-1.76598473, 41.92926568)
33481922,1156,"1",7.4,7.94,13.06,10,40,NA,0.6,111.3,NA,NA,"C","C22","U420",1.3105,0.1,c(-1.335664022, 39.73590271)
33502294,871,"3",3.8,4.15,19.63,100,NA,NA,6.2,144.9,NA,NA,"C","C10","U120",0.5305,0.07,c(-1.941884613, 43.05696087)
33502852,160,"1",4.6,5.37,9.17,39.4,NA,61.2,3.3,124.9,NA,NA,"E","E20","U111",1.2955,0.14,c(-3.084297008, 48.00465823)
33521706,139,"1",7.9,8.07,95.6,12.1,438,57.4,1,397.1,NA,NA,"F","F40","U112",0.901,0.1,c(-0.964235306, 37.80637919)
33522038,1107,"1",7.5,8.23,14.26,7.4,70,NA,0.9,287.4,NA,NA,"B","B13","U111",1.3265,0.2,c(-1.475731988, 40.77790656)
33541946,1122,"1",7.2,7.8,16.78,21.1,536,NA,1.7,430.7,NA,NA,"C","C22","U120",1.3265,0.21,c(-1.304340896, 39.95858086)
33542042,1084,"2",7.6,8.27,17.81,12.1,624,22.1,1.3,305,NA,NA,"B","B13","U111",1.0105,0.22,c(-1.458895395, 40.81635431)
33542230,402,"1",7.4,8.08,22.1,13.7,356,21.8,1.5,224.7,NA,NA,"B","B41","U111",1.0225,0.01,c(-1.778882125, 42.49289175)
33561702,85,"1",7.7,8.1,50.4,12,469,43.8,1.2,526.4,NA,NA,"B","B43","U111",0.833,0.03,c(-0.913699658, 37.77566091)
33562026,1139,"1",7.5,7.87,15.87,29.7,609,NA,2.6,346.9,NA,NA,"C","C10","U120",1.2135,0.54,c(-1.409380889, 40.67619106)
33562196,312,"1",6.9,7.78,27,17.3,311,18.6,2.1,349.8,0.7,1.9,"F","F40","U112",1.092,0.02,c(-1.695321479, 42.19279968)
33562836,113,"1",5,5.69,10.58,33,NA,53.2,3.3,168.4,2.8,4.6,"B","B32","U111",1.272,0.21,c(-2.968439973, 47.87272613)
33562926,118,"1",6.3,6.58,161.97,20.4,1,136.7,3,2209.9,1,0.8,"B","B16","U111",1.2865,0.05,c(-3.177095181, 48.66792065)
33581994,1138,"1",6.9,7.37,21.1,8.9,NA,NA,1,87.8,NA,NA,"C","C10","U420",1.906,0.59,c(-1.334392961, 40.3930161)
33582000,1206,"1",7.7,8.07,30.4,16.1,506,14.8,1.7,193.4,NA,NA,"F","F40","U112",1.3755,0.31,c(-1.344025134, 40.44662991)
33582012,1155,"1",7.5,8.16,18.25,16.5,603,NA,1.8,357.3,NA,NA,"B","B15","U111",1.1365,0.33,c(-1.363356689, 40.5538441)
33582030,1024,"1",7.5,8.26,14.87,10,243,13.2,1.3,537.6,NA,NA,"E","E30","U111",1.155,0.08,c(-1.392523103, 40.7146319)
33582174,388,"1",7.5,8.02,52,16.4,328,56.7,1.8,511.5,NA,NA,"B","B42","U111",1.2435,0.31,c(-1.633386722, 41.99951033)
33582292,1191,"1",4.6,4.95,57.9,144.2,NA,45.9,10,128.8,NA,NA,"C","C10","U120",0.553,0.4,c(-1.841256784, 43.05055493)
33582814,101,"1",5.9,6.32,16.65,36.3,NA,33.6,3.4,85.5,NA,NA,"E","E20","U111",1.372,0.07,c(-2.892391283, 47.68134564)
33582822,104,"1",5.3,6.03,12.61,29,NA,46.7,2.5,139.1,NA,NA,"B","B16","U111",1.319,0.12,c(-2.910392664, 47.75208737)
33601746,116,"1",7.6,7.87,90.7,15.7,533,51.8,1,320.5,NA,NA,"B","B76","U111",0.9345,0.1,c(-0.932490183, 38.1755522)
33602008,1100,"1",7.6,8.03,22.1,20.1,524,36.5,2.1,264.7,NA,NA,"E","E30","U112",1.3625,0.5,c(-1.333601637, 40.5208082)
33602044,1066,"1",7.6,8.34,17.08,26.2,832,12.6,1.9,92.1,NA,NA,"D","D20","U420",1.11,0.11,c(-1.391933106, 40.84237762)
33602260,486,"2",7.6,8.28,18.43,15.9,250,10,1.5,264.9,NA,NA,"E","E30","U112",1.4425,0.1,c(-1.759771144, 42.76850411)
33621986,1190,"1",7.7,8.14,20.8,16,457,15.3,1.5,182.8,NA,NA,"F","F40","U112",1.5995,0.51,c(-1.275119805, 40.32689953)
33622266,467,"4",6.5,7.08,9.98,13.7,1,24.2,1.8,236.6,2.1,3.7,"B","B13","U111",1.0775,0.27,c(-1.746282738, 42.82474353)
33622846,137,"1",6,6.42,25.46,31,NA,120.5,3.4,605.4,1.1,5,"B","B16","U111",1.1755,0.08,c(-2.911898108, 47.97055214)
33641826,886,"1",7.4,8.1,17.11,21,472,29.9,0.8,178,NA,NA,"E","E30","U112",1.3325,0.19,c(-1.005272429, 38.89783113)
33641952,1162,"1",7.3,7.91,32.1,15.3,193,NA,1.7,272.8,0.4,0.8,"B","B11","U111",1.4455,0.17,c(-1.198208058, 40.02560403)
33641988,1158,"1",7.4,7.85,21,41.3,582,NA,3.2,245.4,NA,NA,"C","C23","U420",1.2085,0.51,c(-1.255064178, 40.34745543)
33642042,981,"1",7.4,7.92,23.1,23.7,332,31.5,2,200.9,0.8,0.7,"B","B13","U111",1.3875,0.23,c(-1.341845886, 40.82993085)
33642142,629,"1",7.6,8.22,15.45,9.1,406,13.3,1,239.1,NA,NA,"B","B82","U111",1.1785,0.16,c(-1.507458802, 41.7224643)
33642298,890,"1",3.7,4.28,20.6,121,NA,14.1,7.2,212.8,NA,NA,"C","C10","U120",0.6305,0.26,c(-1.779262842, 43.11244579)
33642852,145,"1",6,6.66,11.93,21.4,NA,112,2.5,231.4,NA,NA,"B","B16","U111",1.2975,0.14,c(-2.89906078, 48.02673068)
33662002,1058,"1",7.7,8.23,18.6,7.8,369,NA,0.9,257.1,1.3,0.6,"B","B13","U111",1.702,0.21,c(-1.254101709, 40.47525728)
33662020,1081,"1",7.6,8.16,20.8,21.3,310,21.6,1.5,241,NA,NA,"F","F40","U112",1.471,0.73,c(-1.282926203, 40.63609916)
33662110,626,"1",7.3,7.64,28.3,28.9,627,82,2.8,524.3,NA,NA,"B","B81","U111",1.272,0.38,c(-1.430117461, 41.43971431)
33662236,508,"1",7.5,8.11,19.55,11.4,369,21.8,1.3,169.8,NA,NA,"E","E30","U112",1.289,0.05,c(-1.645143224, 42.56314607)
33681992,1083,"2",7.8,8.27,18.17,6.8,178,10.5,0.8,97.5,NA,NA,"F","F40","U112",1.5865,0.4,c(-1.214917268, 40.38855452)
33682010,1091,"1",7.8,8.32,18.41,7.1,389,11.4,0.7,122.3,NA,NA,"B","B13","U111",1.554,0.39,c(-1.24357325, 40.54942652)
33682052,944,"1",7.5,8.1,13.51,5.1,16,NA,0.8,218.9,NA,NA,"B","B13","U111",1.534,0.15,c(-1.31122049, 40.92463957)
33682898,269,"1",5.7,6.21,17.18,22.3,NA,54.3,2.3,132.3,NA,NA,"B","B16","U111",1.288,0.08,c(-2.951234426, 48.43961704)
33702020,1227,"1",7.3,7.79,20.8,19.8,519,NA,2.4,154.1,NA,NA,"C","C10","U420",1.2345,0.43,c(-1.236231627, 40.64146049)
33702206,471,"1",7.4,8.14,16.25,16.9,316,17.6,1.5,184.4,NA,NA,"F","F40","U111",1.1595,0.07,c(-1.545041321, 42.30136338)
33721992,1041,"1",7.7,8.18,20.2,10.8,172,15.5,1,131.1,NA,NA,"B","B18","U111",1.7,0.18,c(-1.168397292, 40.39388034)
33722082,925,"1",7.4,7.55,67.8,14.3,437,111.8,1.6,721.3,NA,NA,"B","B13","U111",1.245,0.21,c(-1.313122991, 41.19792265)
33722122,450,"1",7.5,7.99,34.8,26.2,544,122.5,2.2,888.6,NA,NA,"E","E20","U420",1.297,0.2,c(-1.379096458, 41.55496011)
33722150,447,"1",7.5,7.52,239,11.4,313,19.1,1.5,218.9,NA,NA,"F","F40","U112",1.2245,0.3,c(-1.425899475, 41.80477276)
33722168,293,"1",7.6,8.25,21.9,17,223,64.6,1.9,309.1,0.7,1.2,"B","B11","U111",1.393,0.33,c(-1.456261622, 41.9653176)
33722284,600,"1",4.3,4.65,53.6,50,1,14.7,4.6,151.9,NA,NA,"E","E20","U111",0.7705,0.09,c(-1.657235301, 42.99903283)
33722838,160,"1",5.2,5.94,11.12,27.8,NA,68.1,3.1,113.2,NA,NA,"B","B55","U111",1.3335,0.12,c(-2.76169861, 47.91538393)
33741972,1189,"1",7.6,8.04,25.2,19.1,557,11.5,2.1,236.3,NA,NA,"B","B13","U111",1.2195,0.21,c(-1.113716865, 40.2177153)
33742110,451,"1",7.3,7.78,30.1,28.4,181,99.7,2.9,427.3,NA,NA,"B","B13","U111",1.173,0.51,c(-1.335551189, 41.45057602)
33742170,291,"1",7.6,8.12,46,10.7,266,48.1,1.2,309.5,NA,NA,"B","B43","U111",1.4095,0.49,c(-1.435803584, 41.98588818)
33742314,131,"1",4.8,5.26,12.14,45.9,NA,NA,3.6,129.5,NA,NA,"C","C10","U120",0.626,0.18,c(-1.686406332, 43.26892463)
33762022,1304,"1",7.4,7.93,17.56,14.2,203,NA,1.6,296.7,NA,NA,"B","B14","U111",1.4405,0.24,c(-1.169359917, 40.66733434)
33762094,813,"1",7.3,7.86,15.68,7.1,7,43,1.1,202.3,NA,NA,"B","B82","U111",1.3095,0.49,c(-1.285621493, 41.31044801)
33762144,413,"1",7.8,7.92,128.3,15.4,243,21,1.3,416.2,0.6,1.4,"B","B13","U111",1.087,0.12,c(-1.368309875, 41.75668885)
33762184,489,"1",7.8,8.23,16.73,14.9,261,11.4,1.7,235.2,NA,NA,"F","F40","U112",1.0865,0.1,c(-1.435645722, 42.11346876)
33762252,538,"1",7.5,8.12,17.09,19.1,177,22.4,2.4,245.6,NA,NA,"B","B13","U111",1.3845,0.17,c(-1.552604165, 42.71956664)
33762288,886,"2",6.6,6.88,54,42.3,2,27.4,3.8,57.5,NA,NA,"D","D20","U111",0.6755,0.12,c(-1.615825118, 43.04022655)
33762832,191,"1",5.7,6.13,9.99,20.4,NA,153.1,2.1,253.1,2.7,5.9,"B","B11","U111",1.3825,0.04,c(-2.695481915, 47.86848572)
33781948,1230,"2",7.4,7.53,237,6.9,37,NA,0.5,106.8,NA,NA,"D","D20","U420",1.3345,0.31,c(-1.030080024, 40.00832128)
33781984,1013,"2",7.7,8.32,14.93,2.4,299,NA,0.5,127.4,NA,NA,"F","F40","U112",1.4655,0.21,c(-1.086058857, 40.33029899)
33782062,1133,"1",7.2,7.6,13.98,12.9,7,13.8,1.5,232.9,0.8,1.6,"B","B14","U111",1.5435,0.33,c(-1.210055627, 41.02737139)
33782074,1008,"1",7.5,8.13,16.55,14,242,24,1.3,113.1,NA,NA,"B","B13","U111",1.383,0.31,c(-1.229468429, 41.13454776)
33782872,299,"1",6.1,6.53,20.59,42.1,NA,119.4,3.6,134.2,NA,NA,"E","E20","U111",1.003,0.05,c(-2.758678284, 48.22537983)
33802018,1248,"1",7.2,7.98,15.24,12.6,199,10.9,1,187.8,1.3,0.8,"B","B41","U111",1.475,0.33,c(-1.116296935, 40.63689174)
33802032,1360,"1",7.3,7.55,38.5,40.7,26,NA,4.5,361.3,NA,NA,"D","D20","U420",1.125,0.77,c(-1.13852405, 40.76200988)
33802036,1362,"1",7.3,7.82,18.75,22.3,148,17.5,2.1,192.7,NA,NA,"B","B14","U111",1.309,0.55,c(-1.144896902, 40.79775354)
33802810,177,"1",5.6,6.28,14.74,27.9,NA,55.4,2.7,189.6,0.5,1.6,"B","B11","U111",1.312,0.07,c(-2.59415881, 47.6799518)
33803256,261,"1",4.5,5.32,22.9,45.4,NA,12.1,3.8,78.4,NA,NA,"E","E20","U111",1.035,0.4,c(-3.678545639, 51.61719021)
33822024,1247,"1",7.7,8.25,19.57,8.4,59,10.3,1.3,133.7,0.5,0.5,"B","B14","U111",1.42,0.12,c(-1.102436691, 40.69316324)
33822042,1250,"1",7.5,7.97,22,18.3,507,27.1,2.1,239.1,NA,NA,"F","F40","U112",1.4095,0.68,c(-1.131045529, 40.85401979)
33822298,281,"1",4.8,5.08,24.2,47.75,NA,10.5,3.8,125.7,NA,NA,"C","C10","U120",1.165,0.04,c(-1.560665625, 43.13760798)
33822802,91,"1",4.2,5.01,10.75,32.1,NA,25.4,3.1,97.7,NA,NA,"E","E30","U420",1.231,0.1,c(-2.550355526, 47.61219241)
33842164,328,"1",7.6,7.99,34,19.7,449,142.5,2.4,535.9,NA,NA,"E","E20","U420",1.138,0.2,c(-1.306519253, 41.94595055)
33842206,424,"1",7.6,8.06,28,14.1,405,NA,1.7,179.9,NA,NA,"E","E30","U112",1.225,0.04,c(-1.377241234, 42.32054431)
33842218,446,"1",7.5,7.99,20.1,12.7,398,11.5,1.7,142.2,NA,NA,"B","B11","U111",1.1865,0.12,c(-1.397665625, 42.42753362)
33842866,231,"1",5.5,6.17,13.17,24,NA,33.7,2.5,151.6,NA,NA,"B","B16","U111",1.1575,0.05,c(-2.665457383, 48.18157447)
33862010,1132,"1",7.6,8.19,22.4,8.3,192,12,1.2,686.9,NA,NA,"B","B13","U111",1.272,0.1,c(-1.033665031, 40.57328972)
33862028,1388,"4",7.6,8.1,17.34,14.4,248,13.4,1.8,178.1,1.4,1.2,"B","B14","U111",1.4435,0.3,c(-1.062003366, 40.73419248)
33862060,1227,"2",6.6,6.68,21,17.7,1,NA,1.9,158.3,NA,NA,"D","D10","U420",1.4955,0.66,c(-1.112875193, 41.02014511)
33862160,294,"1",7.5,8.2,31.5,16.2,336,29.4,2.3,197,0.5,1.4,"B","B52","U111",1.0925,0.13,c(-1.276022644, 41.91296036)
33862232,482,"1",7.5,8.16,15.95,8.2,450,NA,1.2,146.9,NA,NA,"B","B13","U111",1.5575,0.13,c(-1.397549205, 42.55506313)
