"POINTID","Elev","Soil_Stones","pH_CaCl2_2018","pH_H2O","EC_2018","OC_2018","CaCO3_2018","P_2018","N_2018","K_2018","Ox_Al","Ox_Fe","LC_0","LC_2018","LU_2018","BDsample_0","coarse_mas","geometry"
27462138,77,"1",4.1,5.04,2.37,3.3,NA,NA,NA,NA,NA,NA,"C","C22","U120",1.351,0.02,c(-8.72738882, 40.57415894)
27481828,188,"1",6.2,6.8,8.95,23.6,NA,NA,2.1,60.7,NA,NA,"C","C10","U120",1.226,0.4,c(-7.92837558, 37.86093134)
27481894,225,"1",5.5,6.1,8.02,14.7,NA,NA,1.3,78.2,NA,NA,"C","C10","U120",1.26,0.19,c(-8.086193948, 38.44107094)
27482128,77,"1",5.7,6.17,5.02,9.1,NA,NA,0.8,15.9,NA,NA,"E","E20","U111",1.1965,0.37,c(-8.677925269, 40.49121854)
27501780,295,"4",5.4,6.31,3.17,6.2,NA,NA,0.9,67.2,NA,NA,"D","D10","U415",1.526,0.17,c(-7.793951199, 37.44268222)
27501802,233,"2",5.8,6.35,6.15,12,NA,10.7,1.3,46.3,NA,NA,"E","E20","U111",1.365,0.35,c(-7.845168807, 37.63637118)
27501892,249,"1",4.6,5.59,5.85,7.1,NA,NA,0.7,29.6,NA,NA,"E","E20","U111",1.2,0.08,c(-8.059040764, 38.4277697)
27522114,133,"1",5.5,5.86,5.93,4,NA,NA,0.3,12.3,NA,NA,"C","C22","U120",1.2865,0.14,c(-8.595175679, 40.37768345)
27541792,217,"2",5.5,6.29,3.52,9.7,NA,NA,1.5,48.8,NA,NA,"E","E20","U111",1.4235,0.28,c(-7.777729769, 37.55673214)
27541810,214,"1",5.4,6.18,8.59,23.5,NA,10.8,2.1,72.3,NA,NA,"C","C22","U120",1.055,0.27,c(-7.819694228, 37.71519302)
27541828,220,"2",5.9,6.67,5.15,9.8,NA,12.3,1.2,105.9,NA,NA,"E","E30","U111",1.1555,0.22,c(-7.861935525, 37.87359195)
27542110,135,"2",7.5,8.35,16.44,7.2,467,NA,1,230.9,5.6,3.3,"B","B82","U111",1.334,0.13,c(-8.561770601, 40.34711342)
27561812,220,"1",5.3,6.14,5.86,18.1,NA,NA,1.2,47.7,NA,NA,"C","C10","U120",1.5175,0.42,c(-7.802264626, 37.73699578)
27561952,162,"3",4.5,5.44,4.51,4.2,NA,NA,0.5,27,NA,NA,"C","C10","U120",1.447,0.21,c(-8.138163986, 38.9673951)
27561988,225,"2",4.3,5.15,5,17.9,NA,NA,1,76.5,NA,NA,"C","C10","U120",1.0075,0.26,c(-8.22738568, 39.28318073)
27562118,113,"1",4.9,5.43,11.52,12,NA,127.2,1,49.1,NA,NA,"B","B41","U111",1.4755,0.13,c(-8.559769342, 40.42146744)
27601794,199,"4",5.7,6.55,4.08,13.9,NA,NA,1.1,111.7,NA,NA,"D","D20","U420",1.3235,0.16,c(-7.716184921, 37.5868922)
27641752,222,"1",4.8,5.7,4.94,25.7,NA,NA,2.6,176.7,NA,NA,"C","C10","U120",1.1425,0.21,c(-7.575663712, 37.22513623)
27641896,278,"1",4.5,4.92,13.05,8,NA,NA,0.9,55,1.6,1.4,"B","B55","U111",1.242,0.09,c(-7.912367462, 38.49264562)
27661882,379,"1",5.3,5.74,5.74,26.5,NA,NA,1.8,136.9,NA,NA,"C","C10","U120",1.068,0.31,c(-7.856539308, 38.37380684)
27681946,148,"4",5.2,6.01,4.36,4.2,NA,12.6,0.6,76.4,NA,NA,"B","B15","U111",1.253,0.2,c(-7.988548455, 38.94034874)
27702222,117,"1",4.6,4.82,24.9,37.3,NA,65.2,3,97.5,1.4,3.2,"B","B12","U111",0.995,0.03,c(-8.674812639, 41.36098366)
27722056,408,"1",4.1,5.03,7.01,75.5,NA,NA,3,59.5,NA,NA,"C","C32","U120",1.176,0.58,c(-8.216930883, 39.91368778)
27722228,106,"1",5,5.85,13.6,41.6,NA,119.9,3.75,382.65,NA,NA,"B","B55","U111",1.162,0.12,c(-8.667760969, 41.41779435)
27722242,122,"1",5,5.44,30.3,47.3,NA,34.7,4.1,220.2,NA,NA,"B","B16","U111",0.8845,0.19,c(-8.705776471, 41.53997645)
27741830,199,"2",7.2,7.88,18.93,14.4,18,NA,1.2,442.8,2.8,1.5,"B","B32","U111",1.216,0.31,c(-7.644974287, 37.93306867)
27741866,410,"1",4.9,5.69,5.78,29.2,NA,NA,2.2,124,NA,NA,"C","C10","U120",1.059,0.25,c(-7.729403411, 38.24989582)
27741890,249,"1",6,6.66,3.65,2.9,NA,NA,0.2,18.3,NA,NA,"E","E30","U112",1.2955,0.13,c(-7.786313911, 38.46097827)
27741908,310,"1",5.6,6.07,5.73,7.7,NA,27.7,0.8,90.2,0.7,2.5,"E","E30","U112",1.1595,0.11,c(-7.829328729, 38.61921895)
27742232,191,"1",4.1,4.93,5.17,68.4,NA,NA,3.4,43.9,NA,NA,"C","C10","U120",0.6615,0.14,c(-8.655287129, 41.45714479)
27762242,196,"2",3.7,4.46,5.46,94,NA,NA,3.6,31.8,9.3,3.6,"C","C22","U120",0.5575,0.1,c(-8.659084, 41.54886066)
27781794,152,"2",5.5,6.34,3.61,9.6,NA,NA,1.2,44.7,NA,NA,"E","E20","U111",1.3875,0.25,c(-7.517479223, 37.62426656)
27781902,285,"1",4.9,5.55,6.69,8.4,NA,14.9,1,47.5,0.7,1.2,"B","B81","U111",1.3635,0.35,c(-7.770210409, 38.57488475)
27782284,130,"1",5,5.37,36.2,32.5,NA,61.3,3,106.3,NA,NA,"E","E20","U415",1.001,0.07,c(-8.75063462, 41.91971201)
27801810,261,"2",4.6,5.19,13.34,38.8,NA,60.2,3.3,227.4,NA,NA,"C","C10","U120",0.9965,0.49,c(-7.532160065, 37.76937439)
27821838,220,"4",7.2,8.05,15.63,14.3,42,NA,1.2,380.1,NA,NA,"E","E30","U112",1.163,0.05,c(-7.574821012, 38.02012413)
27821886,243,"1",5.5,5.96,22.1,7.2,NA,12.9,0.8,327.5,NA,NA,"B","B81","U111",1.2755,0.41,c(-7.68746079, 38.44255539)
27841822,214,"3",5.9,6.38,10.82,23.5,NA,NA,2.3,84,NA,NA,"E","E20","U111",1.3545,0.2,c(-7.51554572, 37.88335187)
27842416,308,"1",3.7,4.07,16.56,91.6,1,14.6,6.9,61.2,NA,NA,"C","C22","U120",0.955,0.08,c(-9.052521428, 43.082807)
27862032,533,"4",4.5,5.59,3.77,15.5,NA,NA,1.7,49.9,NA,NA,"C","C22","U120",1.3575,0.36,c(-7.997159656, 39.73333602)
27881848,222,"1",7.3,8.14,16.57,9,147,NA,0.7,174.6,NA,NA,"B","B13","U111",1.238,0.16,c(-7.53140522, 38.12060219)
27881938,294,"1",5,5.62,16.84,13.7,NA,NA,1.4,78.2,NA,NA,"C","C10","U120",1.135,0.3,c(-7.744310472, 38.91231073)
27882298,185,"1",4.5,5,17.85,53.4,NA,57.1,4.1,55.2,NA,NA,"C","C10","U120",0.9785,0.31,c(-8.671696186, 42.06407222)
27901954,245,"4",6.5,7.06,15.12,8.4,2,NA,0.9,72.4,NA,NA,"B","B81","U111",1.257,0.17,c(-7.760376461, 39.05710362)
27902146,361,"4",4,4.31,18.06,45.8,NA,NA,3.4,72.9,NA,NA,"C","C10","U120",0.883,0.09,c(-8.241522697, 40.74060181)
27921800,250,"2",4.8,5.69,3.71,15.2,NA,19,1.7,113,NA,NA,"C","C10","U120",0.8965,0.17,c(-7.376471987, 37.70594423)
27921848,232,"1",7.2,7.74,21.7,24.4,743,NA,2.3,172,NA,NA,"E","E30","U112",1.0115,0.23,c(-7.486914425, 38.12886698)
27921970,241,"2",6,6.46,13.4,15.7,NA,97.5,1.8,129.3,NA,NA,"E","E20","U111",1.1455,0.33,c(-7.776581692, 39.20186454)
27922046,563,"1",3.7,4.53,6.37,116.1,NA,NA,3.6,72.3,NA,NA,"C","C32","U120",0.6195,0.16,c(-7.963795322, 39.86889223)
27922096,322,"1",4.1,4.5,20.5,41.1,NA,NA,3,118.2,NA,NA,"C","C10","U120",0.825,0.37,c(-8.089911916, 40.30714232)
27922412,442,"4",4.2,4.75,10.78,85.5,NA,21.1,7.1,77.6,NA,NA,"C","C10","U120",0.972,0.06,c(-8.945357554, 43.06614317)
27961830,257,"3",6,6.64,7.29,11.4,NA,17.3,1,111.5,0.5,0.4,"B","B15","U111",1.18,0.36,c(-7.400866372, 37.97854304)
27962406,383,"1",4.2,4.81,31.3,60.6,1,85.7,6.2,213.9,8.7,10.4,"B","B55","U111",1.141,0.07,c(-8.880337636, 43.02295198)
27981972,241,"2",4.4,4.81,12.54,7.6,NA,12.7,0.8,56.7,NA,NA,"E","E10","U120",1.3935,0.35,c(-7.713670721, 39.23202797)
27982170,421,"3",5,5.58,14.02,63.9,NA,157.7,4.9,62.6,NA,NA,"B","B44","U370",1.2395,0.34,c(-8.211525863, 40.96790225)
27982368,187,"3",4.6,5.17,4.12,28.3,1,50.9,2.4,26.8,NA,NA,"A","A30","U319",1.082,0.47,c(-8.748552828, 42.69653039)
28001832,321,"1",6.9,7.39,14.66,15.8,6,NA,1.5,272.7,NA,NA,"B","B81","U111",1.2835,0.15,c(-7.361045307, 38.00436825)
28002400,380,"1",5.2,5.76,17.13,53.7,1,130.2,4.9,82.1,NA,NA,"B","B55","U111",1.3375,0.15,c(-8.815422826, 42.97971315)
28022110,323,"3",4.2,4.84,4.8,32.5,NA,NA,2.1,50.1,NA,NA,"C","C10","U120",1.0635,0.47,c(-8.010723245, 40.45120013)
28022146,469,"1",3.9,4.85,4.18,55.1,NA,NA,2.8,36.9,NA,NA,"C","C32","U120",1.072,0.07,c(-8.102979965, 40.76648479)
28022250,144,"1",4.2,5.01,5.75,18.9,NA,17.1,1.3,49.6,NA,NA,"D","D10","U415",1.116,0.1,c(-8.376746755, 41.6759665)
28022380,382,"1",5.9,6.36,16.71,61.5,1,67.8,5.7,243.6,14.7,8.9,"B","B16","U111",1.1745,0.19,c(-8.7348188, 42.81000969)
28042122,355,"1",3.9,4.63,9.28,28.1,NA,NA,1.8,60.7,NA,NA,"C","C22","U120",0.91,0.28,c(-8.018305845, 40.56059987)
28082380,103,"1",5.2,5.88,6.06,11.5,1,NA,1.3,100.9,NA,NA,"D","D20","U415",1.193,0.29,c(-8.663349068, 42.82338984)
28082404,459,"2",3.9,4.5,11.85,115,NA,16.5,8.4,62.4,NA,NA,"C","C10","U120",1.2315,0.39,c(-8.731238933, 43.03246402)
28101854,246,"2",5.3,5.97,6.67,12.2,NA,NA,1.5,152.2,NA,NA,"C","C10","U120",1.2125,0.29,c(-7.300388487, 38.21867155)
28102060,574,"3",3.6,4.52,12.16,97.5,NA,NA,4.7,84.1,NA,NA,"C","C22","U120",0.7965,0.38,c(-7.793248633, 40.02982153)
28102114,426,"4",4.2,5.21,3.97,16.5,NA,NA,0.8,105.5,NA,NA,"C","C22","U120",1.2045,0.29,c(-7.928871831, 40.50330277)
28102420,247,"1",4.4,5.28,7.39,72.1,NA,12.5,5,42.4,NA,NA,"C","C32","U120",0.8555,0.1,c(-8.752898803, 43.1762671)
28122020,266,"1",4,5.17,2.79,6.4,NA,NA,0.8,36,NA,NA,"C","C10","U120",1.151,0.62,c(-7.671810213, 39.68293879)
28142050,516,"1",3.8,4.48,6.13,129.6,NA,16.2,5.2,96.5,NA,NA,"C","C22","U120",1.0305,0.64,c(-7.722771242, 39.95049214)
28142338,424,"2",5.3,5.64,36.2,137.5,4,22.2,11.6,168.2,NA,NA,"D","D20","U420",0.6475,0.04,c(-8.474975549, 42.47048879)
28162332,537,"1",3.7,4.08,12.71,97.2,1,NA,7.7,56.4,NA,NA,"E","E20","U111",1.065,0.29,c(-8.434749495, 42.42253976)
28181964,357,"1",5.1,5.62,5.36,17.5,NA,NA,1.5,83.8,NA,NA,"E","E10","U111",1.0255,0.31,c(-7.468486588, 39.20333372)
28182048,385,"1",4.1,5.06,3.26,40.1,NA,NA,2.2,83.4,NA,NA,"C","C22","U120",1.0485,0.23,c(-7.672168018, 39.94132617)
28201948,330,"1",5.5,5.96,28.5,15.7,NA,22.1,1.8,273.4,NA,NA,"E","E20","U111",1.175,0.2,c(-7.407858387, 39.06673816)
28202116,417,"1",4.6,4.89,19.54,15.8,NA,41.1,1.6,124.9,0.6,4,"B","B53","U111",1.4275,0.29,c(-7.818808675, 40.54203908)
28202196,249,"2",5.8,6.25,13.29,28.9,NA,77,2.2,145.5,NA,NA,"E","E30","U415",1.0265,0.39,c(-8.023889996, 41.24276057)
28222270,618,"1",4,4.76,5.69,96.7,1,NA,4.5,96.6,NA,NA,"E","E30","U120",0.7545,0.08,c(-8.19578408, 41.89422623)
28222378,340,"1",4.5,5.24,7.59,134.3,1,NA,9.7,72,NA,NA,"C","C10","U120",0.754,0.13,c(-8.490892704, 42.83697702)
28241938,379,"1",5.5,6.48,5.79,15.6,NA,NA,1.3,147.4,NA,NA,"C","C10","U120",1.164,0.37,c(-7.339146943, 38.98697265)
28242042,336,"2",4.3,5.25,3.33,11,NA,NA,1,38.4,NA,NA,"E","E10","U120",1.0965,0.36,c(-7.588942545, 39.90118363)
28262056,477,"2",4.1,4.84,5.55,54.3,NA,NA,2.8,41.1,NA,NA,"C","C10","U120",1.1415,0.59,c(-7.600453995, 40.0282755)
28262080,727,"1",4.4,5.15,5.91,117.6,NA,13,6.9,57.1,NA,NA,"D","D10","U415",0.798,0.37,c(-7.659742483, 40.23892377)
28262098,873,"1",4.1,4.43,11.4,88.6,NA,18.2,5.9,52,NA,NA,"C","C32","U120",0.692,0.4,c(-7.704563866, 40.39684159)
28262354,599,"4",4.2,4.85,7.9,98.7,NA,13.3,7.5,121.9,NA,NA,"C","C10","U120",0.829,0.19,c(-8.376691089, 42.63643594)
28281952,359,"1",5.3,5.69,14.95,12.1,NA,NA,1.5,63.1,NA,NA,"E","E20","U111",1.1745,0.01,c(-7.327065208, 39.11836279)
28282042,398,"1",4.9,5.33,32.7,23.1,1,52.9,2.4,165.3,NA,NA,"E","E20","U111",1.0665,0.29,c(-7.543287973, 39.90950945)
28282136,650,"1",4.1,4.39,16.17,85,NA,NA,5.5,81.1,NA,NA,"C","C32","U120",0.682,0.28,c(-7.777096453, 40.73425467)
28282190,767,"2",4.7,5.06,26.4,46.8,NA,80,3.4,109.5,NA,NA,"E","E10","U415",0.9205,0.27,c(-7.915247279, 41.20732272)
28282334,712,"1",3.9,4.29,11.05,72.3,NA,NA,5.1,83.7,NA,NA,"C","C22","U120",0.769,0.15,c(-8.298033609, 42.46625999)
28301756,99,"1",6.8,7.2,9.55,4.8,1,NA,0.7,206.5,NA,NA,"B","B31","U111",1.1535,0.21,c(-6.858424314, 37.39430662)
28302282,1070,"2",4,4.36,9.11,64.6,NA,15.5,5,73,NA,NA,"F","F10","U420",1.1055,0.44,c(-8.133780206, 42.01639763)
28322424,392,"1",4.2,4.75,10.47,152,1,13.2,10.7,99.6,NA,NA,"C","C10","U120",0.9345,0.1,c(-8.500435638, 43.26003306)
28342404,367,"2",3.7,4.18,21.1,100.8,NA,26.5,7.2,140.1,NA,NA,"C","C10","U120",0.7585,0.13,c(-8.420203055, 43.09010229)
28362148,849,"1",3.9,4.86,4.38,24.1,NA,36.9,1.3,58.4,NA,NA,"C","C22","U120",0.9675,0.31,c(-7.714967797, 40.85629928)
28362220,268,"2",5.1,5.96,5.76,15.2,NA,NA,1.3,175.1,NA,NA,"B","B82","U111",1.189,0.28,c(-7.899791819, 41.48698393)
28362360,426,"2",5.4,5.96,14.38,34.1,NA,73.5,3.3,533.8,NA,NA,"E","E30","U312",1.1065,0.19,c(-8.274261006, 42.71064701)
28362378,363,"1",4.3,5.07,5.59,90,1,11.1,6.2,74.3,NA,NA,"C","C22","U120",0.833,0.15,c(-8.323911903, 42.8677188)
28362414,373,"1",4.3,4.75,9.42,93.6,NA,NA,6.3,55,NA,NA,"C","C33","U120",0.799,0.2,c(-8.42427799, 43.18168656)
28382100,1490,"1",4.4,4.75,5.35,66.8,NA,10.6,3.7,62.4,NA,NA,"D","D20","U120",0.9875,0.55,c(-7.571541371, 40.4394979)
28382268,1020,"4",4.3,5,6.22,73.9,1,NA,3.9,108.7,NA,NA,"F","F40","U120",0.8705,0.26,c(-8.002371094, 41.91121174)
28382362,454,"1",6.4,6.58,21.2,45.1,2,32.7,4.3,165.2,NA,NA,"B","B55","U111",1.4635,0.05,c(-8.255945099, 42.73245975)
28402054,453,"1",4.6,5.23,4.1,19.3,NA,52,1.3,113.3,2.2,1.1,"B","B82","U111",1.3465,0.27,c(-7.435441499, 40.03978223)
28402306,450,"1",4,4.59,10.14,84.8,NA,10.6,4.6,83.9,NA,NA,"C","C32","U120",0.7,0.15,c(-8.080119232, 42.24770771)
28402378,310,"1",5.1,5.64,11.48,101.1,1,NA,7.5,53.1,NA,NA,"C","C33","U420",0.6505,0.16,c(-8.276175142, 42.87645195)
28421754,119,"1",7.5,8.03,15.01,11.6,157,NA,1.2,295.8,1,1,"B","B31","U111",1.2605,0.07,c(-6.721746631, 37.40037811)
28422424,100,"1",4.9,5.88,4.09,11.6,1,NA,1.2,144.1,NA,NA,"B","B55","U111",1.512,0.2,c(-8.380353098, 43.28205369)
28441774,302,"1",5.7,5.91,8.73,40.8,1,24.8,4.1,111.4,NA,NA,"D","D20","U111",1.027,0.26,c(-6.743347982, 37.58107022)
28442408,447,"1",5.5,6.09,33.5,92.7,3,NA,8.3,114.3,NA,NA,"D","D20","U120",0.719,0.12,c(-8.311575272, 43.14690911)
28482206,941,"1",4.2,4.83,3.55,54.8,NA,14.1,3.3,38.8,NA,NA,"D","D20","U111",0.899,0.35,c(-7.723445629, 41.38981111)
28482326,487,"1",4.2,4.71,3.14,34.6,NA,NA,1.9,43.2,NA,NA,"C","C32","U120",0.945,0.26,c(-8.039181389, 42.43969812)
28482368,390,"1",5.2,5.82,8.97,52.5,1,37,4.5,49.5,7,5.9,"B","B55","U111",1.0945,0.28,c(-8.153230881, 42.80655165)
28501736,126,"1",6.8,7.52,14.74,5,3,NA,0.5,170.5,0.2,0.9,"B","B75","U111",1.1355,0.17,c(-6.59463209, 37.25693209)
28502024,282,"1",5,5.84,3.26,6.4,NA,NA,0.7,63.1,NA,NA,"C","C10","U120",1.419,0.31,c(-7.248743873, 39.79667943)
28502280,908,"1",4.5,5.16,11.83,76.4,1,18.6,6.5,119.1,NA,NA,"D","D10","U120",0.903,0.03,c(-7.892831414, 42.04180912)
28522106,1304,"1",4.2,4.53,17.68,78.2,NA,20.9,5.8,63.5,NA,NA,"C","C10","U120",0.811,0.12,c(-7.425186888, 40.5212293)
28542018,301,"1",5,5.87,2.78,7.9,NA,NA,0.7,33.3,NA,NA,"C","C10","U120",1.521,0.47,c(-7.188806116, 39.75207571)
28542144,669,"1",4.2,4.65,18.13,42.5,NA,22.9,2.5,62.9,NA,NA,"B","B74","U111",0.8295,0.45,c(-7.496487261, 40.85885734)
28542192,869,"1",4.7,5.29,3.97,40.7,NA,17.5,3.1,55.2,NA,NA,"F","F10","U420",1.299,0.36,c(-7.617644148, 41.27974826)
28542210,781,"1",4.4,5.04,4.02,32.5,NA,55.3,2.6,29.9,NA,NA,"D","D10","U420",1.234,0.45,c(-7.663657682, 41.43747713)
28542318,442,"1",4,4.65,4.15,23.9,NA,141.4,1.9,95.8,NA,NA,"C","C32","U120",1.208,0.27,c(-7.94658216, 42.38264415)
28562290,849,"1",4.1,4.76,7.19,49.3,1,10.6,3.6,88.8,NA,NA,"C","C10","U420",1.208,0.16,c(-7.848472302, 42.14205449)
